mandala	sukta	verse	pada_letter	pratika	match_status	elizarenkova_ref	rvlinks_anchor	pratika_verified_in_elizarenkova
1	1	1	a	agnim īḍe (ŚŚ.ŚG. īle) purohitam	joined	samudra:01_rigveda.no_tags#1.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.01	n
1	1	1	b	yajñasya devam ṛtvijam	joined	samudra:01_rigveda.no_tags#1.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.01	y
1	1	1	c	hotāraṃ ratnadhātamam	joined	samudra:01_rigveda.no_tags#1.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.01	y
1	1	2	a	agniḥ pūrvebhir ṛṣibhiḥ	joined	samudra:01_rigveda.no_tags#1.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.02	y
1	1	2	b	īḍyo nūtanair uta	joined	samudra:01_rigveda.no_tags#1.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.02	y
1	1	2	c	sa devāṃ eha vakṣati	joined	samudra:01_rigveda.no_tags#1.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.02	y
1	1	3	a	agninā rayim aśnavat	joined	samudra:01_rigveda.no_tags#1.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.03	y
1	1	3	b	dhenā jigāti dāśuṣe	joined	samudra:01_rigveda.no_tags#1.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.03	n
1	1	3	b	poṣam eva dive-dive	joined	samudra:01_rigveda.no_tags#1.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.03	y
1	1	3	c	yaśasaṃ vīravattamam	joined	samudra:01_rigveda.no_tags#1.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.03	y
1	1	4	a	agne yaṃ yajñam adhvaram	joined	samudra:01_rigveda.no_tags#1.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.04	y
1	1	4	b	viśvataḥ paribhūr asi	joined	samudra:01_rigveda.no_tags#1.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.04	y
1	1	4	c	sa id deveṣu gachati	joined	samudra:01_rigveda.no_tags#1.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.04	n
1	1	5	a	agnir hotā kavikratuḥ	joined	samudra:01_rigveda.no_tags#1.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.05	y
1	1	5	b	satyaś citraśravastamaḥ	joined	samudra:01_rigveda.no_tags#1.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.05	y
1	1	5	c	devo devebhir ā gamat	joined	samudra:01_rigveda.no_tags#1.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.05	y
1	1	6	a	yad aṅga dāśuṣe tvam	joined	samudra:01_rigveda.no_tags#1.6	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.06	y
1	1	6	b	agne bhadraṃ kariṣyasi	joined	samudra:01_rigveda.no_tags#1.6	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.06	y
1	1	6	c	tavet tat satyam aṅgiraḥ	joined	samudra:01_rigveda.no_tags#1.6	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.06	y
1	1	7	a	upa tvāgne dive-dive	joined	samudra:01_rigveda.no_tags#1.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.07	y
1	1	7	b	doṣāvastar dhiyā vayam	joined	samudra:01_rigveda.no_tags#1.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.07	y
1	1	7	c	namo bharanta emasi	joined	samudra:01_rigveda.no_tags#1.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.07	y
1	1	8	a	rājantam adhvarāṇām	joined	samudra:01_rigveda.no_tags#1.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.08	y
1	1	8	b	gopām ṛtasya dīdivim	joined	samudra:01_rigveda.no_tags#1.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.08	y
1	1	8	c	vardhamānaṃ sve dame	joined	samudra:01_rigveda.no_tags#1.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.08	y
1	1	9	a	sa naḥ piteva sūnave (AVŚ.KS.21.14c, putrebhyaḥ)	joined	samudra:01_rigveda.no_tags#1.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.09	y
1	1	9	b	agne sūpāyano bhava	joined	samudra:01_rigveda.no_tags#1.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.09	n
1	1	9	c	sacasvā naḥ svastaye	joined	samudra:01_rigveda.no_tags#1.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.001.html#rv01.001.09	y
1	2	1	a	vāyav ā yāhi darśata	joined	samudra:01_rigveda.no_tags#2.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.002.html#rv01.002.01	y
1	2	1	b	ime somā araṃkṛtāḥ	joined	samudra:01_rigveda.no_tags#2.1	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.002.html#rv01.002.01	n
