chain_id	step_index	source	sutra_code	step_result
ch0000000	0	Ashtadhyayi	1.2.45	asura
ch0000000	1	Ashtadhyayi	4.1.2	asura Sas
ch0000000	2	Ashtadhyayi	1.3.4	asura Sas
ch0000000	3	Ashtadhyayi	1.3.8	asura Sas
ch0000000	4	Ashtadhyayi	1.3.9	asura as
ch0000000	5	Ashtadhyayi	1.4.13	asura as
ch0000000	6	Ashtadhyayi	1.4.18	asura as
ch0000000	7	Ashtadhyayi	1.4.14	asura as
ch0000000	8	Ashtadhyayi	6.1.102	asura As
ch0000000	9	Ashtadhyayi	6.1.103	asura An
ch0000000	10	Ashtadhyayi	6.1.101	asurA n
ch0000000	11	Ashtadhyayi	8.4.37	asurA n
ch0000000	12	Ashtadhyayi	8.4.68	asurA n
ch0000001	0	Ashtadhyayi	1.2.45	asura
ch0000001	1	Ashtadhyayi	4.1.2	asura Bis
ch0000001	2	Ashtadhyayi	1.3.4	asura Bis
ch0000001	3	Ashtadhyayi	1.4.13	asura Bis
ch0000001	4	Ashtadhyayi	7.1.9	asura Es
ch0000001	5	Ashtadhyayi	1.4.18	asura Es
ch0000001	6	Ashtadhyayi	1.4.14	asura Es
ch0000001	7	Ashtadhyayi	6.1.88	asur Es
ch0000001	8	Ashtadhyayi	8.2.66	asur Eru~
ch0000001	9	Ashtadhyayi	1.3.2	asur Er
ch0000001	10	Ashtadhyayi	8.3.15	asur EH
ch0000001	11	Ashtadhyayi	8.4.68	asur EH
ch0000002	0	Ashtadhyayi	1.2.45	Aditya
ch0000002	1	Ashtadhyayi	4.1.2	Aditya Nas
ch0000002	2	Ashtadhyayi	1.3.4	Aditya Nas
ch0000002	3	Ashtadhyayi	1.3.8	Aditya Nas
ch0000002	4	Ashtadhyayi	1.3.9	Aditya as
ch0000002	5	Ashtadhyayi	1.1.73	Aditya as
ch0000002	6	Ashtadhyayi	1.1.73	Aditya as
ch0000002	7	Ashtadhyayi	1.4.13	Aditya as
ch0000002	8	Ashtadhyayi	7.1.12	Aditya sya
ch0000002	9	Ashtadhyayi	1.4.17	Aditya sya
ch0000002	10	Ashtadhyayi	1.4.14	Aditya sya
ch0000002	11	Ashtadhyayi	8.4.68	Aditya sya
ch0000003	0	Ashtadhyayi	1.2.45	iti
ch0000003	1	Ashtadhyayi	4.1.2	iti su~
ch0000003	2	Ashtadhyayi	1.3.2	iti su~
ch0000003	3	Ashtadhyayi	1.3.9	iti s
ch0000003	4	Ashtadhyayi	1.4.7	iti s
ch0000003	5	Ashtadhyayi	1.1.43	iti s
ch0000003	6	Ashtadhyayi	1.4.7	iti s
ch0000003	7	Ashtadhyayi	1.1.43	iti s
ch0000003	8	Ashtadhyayi	1.4.13	iti s
ch0000003	9	Ashtadhyayi	1.4.14	iti s
ch0000003	10	Ashtadhyayi	8.2.66	iti ru~
ch0000003	11	Ashtadhyayi	1.3.2	iti r
ch0000003	12	Ashtadhyayi	8.3.15	iti H
ch0000004	0	Ashtadhyayi	1.3.1	kf
ch0000004	1	Ashtadhyayi	3.3.162	kf lo~w
ch0000004	2	Ashtadhyayi	1.3.2	kf lo~w
ch0000004	3	Ashtadhyayi	1.3.3	kf lo~w
ch0000004	4	Ashtadhyayi	1.3.9	kf l
ch0000004	5	Ashtadhyayi	1.3.78	kf l
ch0000004	6	Ashtadhyayi	3.4.78	kf sip
ch0000004	7	Ashtadhyayi	1.3.3	kf sip
ch0000004	8	Ashtadhyayi	1.3.9	kf si
ch0000004	9	Ashtadhyayi	3.4.113	kf si
ch0000004	10	Ashtadhyayi	3.1.68	kf Sap si
ch0000004	11	Ashtadhyayi	1.3.3	kf Sap si
ch0000004	12	Ashtadhyayi	1.3.8	kf Sap si
