card	lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	md_sense_ids	md_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_eligible	population_share	synthetic
C001	A	A#1	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:66039:1	3. m. angeblich auch = und _im_							skd:3155:1	ā , ākāraḥ . dvitīyasvaravarṇaḥ . asyoccāraṇasthānaṃ kaṇṭhaḥ . sa ca dīrghaḥ plutaśca bhavati . ākāraṃ paramāścaryyaṃ śaṅkhajyotirmmayaṃ priye . brahmaviṣṇumayaṃ varṇaṃ tathā rudramayaṃ priye . pañcaprāṇamayaṃ varṇaṃ svayaṃ paramakuṇḍalī .. iti kāmadhenutantre .. as…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C002	cara	cara#7	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:24903:11	Bachstelze							skd:12237:1	cara , gamane . adane . ācāre . iti kavikalpa- drumaḥ .. (bhvāṃ-paraṃ-sakaṃ-seṭ .) carati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C003	meDya	meDya#2	aligned	1-1-1-0-0-0	ls	0.333	mbh r			pwg:61987:4	zum Opfer geeignet, opferrein; rein; durch die Berührung, durch den Genuss [Page5-0903] nicht verunreinigend	mw:167939:1	fit for a sacrifice or oblation, free from blemish (as a victim), clean, pure, not defiling (by contact or by being eaten), ; ; &amp;c	ap90:23485:3	2 Relating to a sacrifice, sacrificial							shared literary witness, weighted 1/df within the lemma	lo <0.40|non-skd	1434	0.210975	no
C004	pAra	pAra#2	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:44592:4	Quecksilber							skd:21224:1	pāra , t ka karmmasamāptau . iti kavikalpadrumaḥ .. (adanta curāṃ-paraṃ-sakaṃ-seṭ .) apapārat . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C005	kula	kula#1	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:18029:6	ein best. Stein; das Haupt einer Innung; edel, vor Andern ausgezeichnet							skd:8218:1	kula ja bandhau . saṃhatau . iti kavikalpadrumaḥ .. (bhvāṃ-paraṃ-akaṃ-kvacit sakaṃ seṭ . jvalādiḥ .) ja kolaḥ kulaḥ . kolati kulīnaḥ sarvveṣāṃ bandhuḥ syādityarthaḥ . saṃhatī rāśīkaraṇamiti caturbhujaḥ .. kecittu saṃhatisthāne saṃkhyānaṃ paṭhitvā kolati kulālaḥ gaṇayat…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C006	DA	DA#4	aligned	0-1-1-0-0-0	gloss	0.467						mw:100607:8	( Ā. ) to direct or fix the mind or attention ( , , , &amp;c.) upon, think of ( loc. or dat. ), fix or resolve upon ( loc. dat. acc. with or a sentence closed with )	ap90:16000:3	2 To fix upon, direct (the mind or thoughts &amp;c.) towards (with dat. or loc. )							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|non-skd	3203	0.471237	no
C007	manTa	manTa#3	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:57557:11	eine best. Augenkrankheit; Augenschmalz							skd:26230:1	mantha , ga gāhe . iti kavikalpadrumaḥ .. (kryā0-para0- saka0-seṭ .) gāho viloḍanam . ga, mathāti dadhi vallavī . rathaṃ mamantha sahayam . iti durgā- dāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C008	suvarRa	suvarRa#1	aligned	1-1-1-0-0-0	gloss+ls	0.889	rv			pwg:111463:2	schönfarbig, schön aussehend; von schimmernder Farbe, goldig; Gold; Silber	mw:249813:1	mf( )n. of a good or beautiful colour, brilliant in hue, bright, golden, yellow, &amp;c. &amp;c	ap90:30402:2	1 Of good or beautiful colour, brilliant in hue, bright, yellow, golden							shared literary witness, weighted 1/df within the lemma	hi >=0.70|non-skd	2070	0.304546	no
C009	as	as#8	aligned	1-0-1-0-0-0	ls	0.370	malli r			pwg:7257:29	niederwerfen, niederlegen, niedersetzen; das Leben aufgeben; gestorben; er bringt einen neuen Umstand zur Sprache; auf Etwas niedersetzen, niederlegen, aufsetzen, auflegen; auf ein Gemälde aufgetragen, gemalt; auf die Strasse werfen, ablegen, aufgeben; ein Ge…			ap90:5378:46	3 To shine (The examples usually cited to illustrate this sense are ; ; But the sense of or ‘shone’ is far-fetched, though Vāmana is disposed to take it. It seems preferable to regard in these instances as equivalent to , either taking it, as Śākaṭāyana does,…							shared literary witness, weighted 1/df within the lemma	lo <0.40|non-skd	1434	0.210975	no
C010	vara	vara#9	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:88106:7	Bdellion							skd:31179:1	vara , t ka īpse . iti kavikalpadrumaḥ .. (adanta- curā0-para0-saka0-seṭ .) rephopadhaḥ . varayati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
