abbrev	work_key	display	era	via	mode_share
AIT. BR	aitareyabrahmana citirt nach den 8 panc	aitareyabrahmana citirt nach den 8 panc	vedic	dcs	1.0
AIT. BR.	aitareyabrahmana citirt nach den 8 panc	aitareyabrahmana citirt nach den 8 panc	vedic	dcs	1.0
AK	amarakosa	amarakosa	classical	dharmamitra	1.0
AK.	amarakosa	amarakosa	classical	dharmamitra	1.0
AK. II	amarakosa	amarakosa	classical	dharmamitra	1.0
AK. II.	amarakosa	amarakosa	classical	dharmamitra	1.0
AK. ebend	amarakosa	amarakosa	classical	dharmamitra	1.0
AV	atharvavedasamhita	atharvavedasamhita	vedic	dcs	1.0
AV.	atharvavedasamhita	atharvavedasamhita	vedic	dcs	1.0
AV. PRĀT	atharvana-pratisakhya	Atharvaveda-Prātiśākhya	epic-sutra	hand:class	1.0
AV. PRĀT.	atharvana-pratisakhya	Atharvaveda-Prātiśākhya	epic-sutra	hand:class	1.0
AV. PRĀT. S	atharvana-pratisakhya	Atharvaveda-Prātiśākhya	epic-sutra	hand:class	1.0
AV. PRĀT. S II,	atharvana-pratisakhya	Atharvaveda-Prātiśākhya	epic-sutra	hand:class	1.0
AV. PRĀT. S.	atharvana-pratisakhya	Atharvaveda-Prātiśākhya	epic-sutra	hand:class	1.0
BHAG	bhagavadgita	bhagavadgita	epic-sutra	dharmamitra	0.986
BHAG.	bhagavadgita	bhagavadgita	epic-sutra	dharmamitra	1.0
BHARTṚ	bhartrhari	Bhartṛhari (Vākyapadīya)	classical	hand:class	1.0
BHARTṚ.	bhartrhari	Bhartṛhari (Vākyapadīya)	classical	hand:class	1.0
BHARTṚ. Suppl.	bhartrhari	Bhartṛhari (Vākyapadīya)	classical	hand:class	1.0
BHAṬṬ	bhattikavya	bhattikavya	classical	dharmamitra	1.0
BHAṬṬ.	bhattikavya	bhattikavya	classical	dharmamitra	1.0
BHĀG. P	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀG. P.	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀG. P. I, Einl. LXV	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀG. P. I, LXXVIII	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀG. P. I, X	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀG. P. I, XLVI	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀG. P. I, XXXVII. fg	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀG. P. I, p. XCV	bhagavatapurana	bhagavatapurana	early-medieval	dcs	1.0
BHĀVAPR	bhavaprakasa	Bhāvaprakāśa	late-medieval	dharmamitra	1.0
BHĀVAPR.	bhavaprakasa	Bhāvaprakāśa	late-medieval	dharmamitra	1.0
BHĀVAPR. ebend	bhavaprakasa	Bhāvaprakāśa	late-medieval	dharmamitra	1.0
BHĀṢĀP	bhasapariccheda	Bhāṣāpariccheda	late-medieval	hand:class	1.0
BHĀṢĀP.	bhasapariccheda	Bhāṣāpariccheda	late-medieval	hand:class	1.0
BHĀṢĀP. S.	bhasapariccheda	Bhāṣāpariccheda	late-medieval	hand:class	1.0
BṚH. ĀR.	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	dcs	1.0
BṚH. ĀR. UP	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	dcs	1.0
BṚH. ĀR. UP.	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	dcs	1.0
BṚH. ĀR. UP. S	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	dcs	1.0
BṚH. ĀR. UP. S.	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	dcs	1.0
BṚH. ĀR. UP. p	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	dcs	1.0
BṚH. ĀR. UP. p.	brhadaranyakopanisad	Bṛhadāraṇyakopaniṣad	vedic	dcs	1.0
CAṬHOP.	sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	hand:class	1.0
CHĀND. UP	chandogyopanisad	chandogyopanisad	vedic	dcs	1.0
CHĀND. UP.	chandogyopanisad	chandogyopanisad	vedic	dcs	1.0
CHĀND. UP. S	chandogyopanisad	chandogyopanisad	vedic	dcs	1.0
CHĀND. UP. S.	chandogyopanisad	chandogyopanisad	vedic	dcs	1.0
D.	sahityadarpana	sahityadarpana	late-medieval	dharmamitra	1.0
DAŚAK	dasakumaracarita	dasakumaracarita	classical	dharmamitra	1.0
DAŚAK.	dasakumaracarita	dasakumaracarita	classical	dharmamitra	1.0
DĀY.	dayabhaga	Dāyabhāga	early-medieval	hand:class	1.0
DĀYABH.	dayabhaga	Dāyabhāga	early-medieval	hand:class	1.0
GOBH	gobhila-grhyasutra	Gobhila-Gṛhyasūtra	epic-sutra	hand:class	1.0
GOBH.	gobhila-grhyasutra	Gobhila-Gṛhyasūtra	epic-sutra	hand:class	1.0
GĪT	gitagovinda	gitagovinda	early-medieval	dcs	1.0
GĪT.	gitagovinda	gitagovinda	early-medieval	dcs	1.0
GĪT. Einl. VIII	gitagovinda	gitagovinda	early-medieval	dcs	1.0
GĪT. S	gitagovinda	gitagovinda	early-medieval	dcs	1.0
GĪT. S.	gitagovinda	gitagovinda	early-medieval	dcs	1.0
H	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani	early-medieval	hand:class	1.0
H an	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani	early-medieval	hand:class	1.0
H an.	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani	early-medieval	hand:class	1.0
H ś.	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani	early-medieval	hand:class	1.0
H.	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani	early-medieval	hand:class	1.0
H. an	hemacandra s anekarthasamgraha	hemacandra s anekarthasamgraha	early-medieval	hand:class	1.0
H. an.	hemacandra s anekarthasamgraha	hemacandra s anekarthasamgraha	early-medieval	hand:class	1.0
H. ś	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani	early-medieval	hand:class	1.0
H. ś.	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani	early-medieval	hand:class	1.0
HALĀY	halayudha	halayudha	early-medieval	hand:class	1.0
HALĀY.	halayudha	halayudha	early-medieval	hand:class	1.0
HALĀY. Ind	halayudha	halayudha	early-medieval	hand:class	1.0
HARIV	harivamsa im ten bande des mbh aus die	harivamsa im ten bande des mbh aus die	epic-sutra	dharmamitra	0.998
HARIV.	harivamsa im ten bande des mbh aus die	harivamsa im ten bande des mbh aus die	epic-sutra	dharmamitra	0.994
HARIV. LANGL.	harivamsa im ten bande des mbh aus die	harivamsa im ten bande des mbh aus die	epic-sutra	dharmamitra	1.0
HARIV. LANGL. I,	harivamsa im ten bande des mbh aus die	harivamsa im ten bande des mbh aus die	epic-sutra	dharmamitra	1.0
HARIV. LANGL. II,	harivamsa im ten bande des mbh aus die	harivamsa im ten bande des mbh aus die	epic-sutra	dharmamitra	1.0
HARIV. LANGL. t. I, p.	harivamsa im ten bande des mbh aus die	harivamsa im ten bande des mbh aus die	epic-sutra	dharmamitra	1.0
HIT	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT I,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT II,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT III,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT SCHL.	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT ed. SCHL.	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT.	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. I,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. I, II,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. I, Pr	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. I.	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. II,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. III,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. IV,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. PR.	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. SCHL.	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. ed. JOHNS	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. ed. JOHNS.	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
HIT. ed. JOHNS. I,	hitopadesa	hitopadesa	early-medieval	dharmamitra	1.0
KATHĀS	kathasaritsagara	kathasaritsagara	early-medieval	dharmamitra	1.0
KATHĀS.	kathasaritsagara	kathasaritsagara	early-medieval	dharmamitra	1.0
KAUŚ	kausika s sutra zum atharvaveda 1 adhy	kausika s sutra zum atharvaveda 1 adhy	vedic	dcs	1.0
KAUŚ.	kausika s sutra zum atharvaveda 1 adhy	kausika s sutra zum atharvaveda 1 adhy	vedic	dcs	1.0
KAUṢ. UP	kausitakyupanisad	kausitakyupanisad	epic-sutra	hand:class	1.0
KAUṢ. UP.	kausitakyupanisad	kausitakyupanisad	epic-sutra	hand:class	0.946
KIR	kiratarjuniya	kiratarjuniya	classical	dcs	1.0
KIR.	kiratarjuniya	kiratarjuniya	classical	dcs	1.0
KULL	kulluka	Kullūka Bhaṭṭa (commentary apparatus)	late-medieval	hand:class	1.0
KULLŪKA	kulluka	Kullūka Bhaṭṭa (commentary apparatus)	late-medieval	hand:class	1.0
KUMĀRAS	kumarasambhava	kumarasambhava	classical	dcs	1.0
KUMĀRAS.	kumarasambhava	kumarasambhava	classical	dcs	1.0
KĀTY. ŚR	katyayana-srautasutra	Kātyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
KĀTY. ŚR.	katyayana-srautasutra	Kātyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
KĀTY. ŚR. Comm	katyayana-srautasutra	Kātyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
KĀTY. ŚR. Comm.	katyayana-srautasutra	Kātyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
KĀTY. ŚR. p	katyayana-srautasutra	Kātyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
KĀTY. ŚR. p.	katyayana-srautasutra	Kātyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
KĀṬY. ŚR.	sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	hand:class	1.0
LĀṬY	latyayana-srautasutra	Lāṭyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
LĀṬY.	latyayana-srautasutra	Lāṭyāyana-Śrautasūtra	epic-sutra	hand:class	1.0
M	manu s gesetzbuch in der ausg von loise	manu s gesetzbuch in der ausg von loise	epic-sutra	dcs	0.997
M.	manu s gesetzbuch in der ausg von loise	manu s gesetzbuch in der ausg von loise	epic-sutra	dcs	1.0
M. ,	manu s gesetzbuch in der ausg von loise	manu s gesetzbuch in der ausg von loise	epic-sutra	dcs	1.0
MALLIN	mallinatha	Mallinātha Sūri (commentary apparatus)	late-medieval	hand:class	1.0
MBH	mahabharata	mahabharata	epic-sutra	dcs	1.0
MBH.	mahabharata	mahabharata	epic-sutra	dcs	1.0
MBH. ed. Bomb.	mahabharata	mahabharata	epic-sutra	dcs	1.0
MEGH	meghaduta	meghaduta	classical	dcs	1.0
MEGH.	meghaduta	meghaduta	classical	dcs	1.0
MEGH. ed. ST. VI	meghaduta	meghaduta	classical	dcs	1.0
MĀLAT.	malatimadhava	Mālatīmādhava	classical	hand:class	1.0
MĀLAV	malavikagnimitra	malavikagnimitra	classical	hand:class	1.0
MĀLAV.	malavikagnimitra	malavikagnimitra	classical	hand:class	1.0
MĀRK. P	markandeyapurana	markandeyapurana	classical	dharmamitra	1.0
MĀRK. P.	markandeyapurana	markandeyapurana	classical	dharmamitra	1.0
MĀRK. P. S.	markandeyapurana	markandeyapurana	classical	dharmamitra	1.0
N	nalopakhyana	Nalopākhyāna	epic-sutra	hand:class	1.0
N.	nalopakhyana	Nalopākhyāna	epic-sutra	hand:class	1.0
N. (BRUCE)	nalopakhyana	Nalopākhyāna	epic-sutra	hand:class	1.0
N. ed. BRUCE	nalopakhyana	Nalopākhyāna	epic-sutra	hand:class	1.0
NIR	nirukta	Nirukta (Yāska) with the Nighaṇṭus	epic-sutra	hand:class	1.0
NIR.	nirukta	Nirukta (Yāska) with the Nighaṇṭus	epic-sutra	hand:class	1.0
NIR. a. a. O	nirukta	Nirukta (Yāska) with the Nighaṇṭus	epic-sutra	hand:class	1.0
P	panini s acht bucher grammatischer regel	panini s acht bucher grammatischer regel	epic-sutra	hand:class	0.937
P.	panini s acht bucher grammatischer regel	panini s acht bucher grammatischer regel	epic-sutra	hand:class	0.922
P. (Bd. II, S.	panini s acht bucher grammatischer regel	panini s acht bucher grammatischer regel	epic-sutra	hand:class	1.0
P. I, S.	panini s acht bucher grammatischer regel	panini s acht bucher grammatischer regel	epic-sutra	hand:class	1.0
P. II, xv. fgg	panini s acht bucher grammatischer regel	panini s acht bucher grammatischer regel	epic-sutra	hand:class	1.0
P. a. a. O	panini s acht bucher grammatischer regel	panini s acht bucher grammatischer regel	epic-sutra	hand:class	1.0
PAT	patanjali	patanjali	epic-sutra	hand:class	1.0
PAT. a. a. O	patanjali	patanjali	epic-sutra	hand:class	1.0
PAT. a. a. O.	patanjali	patanjali	epic-sutra	hand:class	1.0
PAÑCAT	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT I,	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT II,	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT III,	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT IV,	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT V,	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT daśak.	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT ed. orn.	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT.	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT. Bd. I, S.	pancatantra	pancatantra	classical	dharmamitra	1.0
PAÑCAT. I,	pancatantra	pancatantra	classical	dharmamitra	1.0
