locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
RĀMĀYAṆA. Ohne eine nähere Angabe ist be	ramayana ohne eine nahere angabe ist be	ramayana		epic-sutra		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			5234
ṚGVEDA. Es wird nach Maṇḍala	rgveda es wird nach mandala	rgveda		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			4984
BHĀGAVATAPURĀṆA	bhagavatapurana	bhagavatapurana		early-medieval		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			3802
MANU'S Gesetzbuch in der Ausg. von LOISE	manu s gesetzbuch in der ausg von loise	manu s gesetzbuch in der ausg von loise		epic-sutra		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			3235
KATHĀSARITSĀGARA	kathasaritsagara	kathasaritsagara		early-medieval		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			2580
MEDINĪKOṢA	medinikosa	medinikosa				hand:disputed	seed	H4016 hand-checked seed call (hand:disputed)			2323
VARĀHAMIHIRA'S BṚHATSAM̃HITĀ.	varahamihira s brhatsamhita	varahamihira s brhatsamhita		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			2188
The ŚATAPATHABRĀHMAṆA in the Mādhyandina	the satapathabrahmana in the madhyandina	the satapathabrahmana in the madhyandina		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			2160
HEMACANDRA'S ANEKĀRTHASAM̃GRAHA	hemacandra s anekarthasamgraha	hemacandra s anekarthasamgraha		early-medieval		hand:class	seed	H4016 hand-checked seed call (hand:class)			2025
Indische Sprüche. Sanskrit und deutsch h	indische spruche sanskrit und deutsch h	indische spruche sanskrit und deutsch h				anthology	seed	H4016 hand-checked seed call (anthology)			1926
HARIVAṂŚA im 4ten Bande des MBH. Aus die	harivamsa im ten bande des mbh aus die	harivamsa im ten bande des mbh aus die		epic-sutra		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			1846
HEMACANDRA'S ABHIDHĀNACINTĀMAṆI	hemacandra s abhidhanacintamani	hemacandra s abhidhanacintamani		early-medieval		hand:class	seed	H4016 hand-checked seed call (hand:class)			1811
SUŚRUTA	susruta	susruta				hand:disputed	seed	H4016 hand-checked seed call (hand:disputed)			1771
AMARAKOṢA nach der Ausgabe von COLEBROOK	amarakosa nach der ausgabe von colebrook	amarakosa		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			1760
ATHARVAVEDASAM̃HITĀ	atharvavedasamhita	atharvavedasamhita		vedic		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			1630
Indische Sprüche. Sanskrit und Deutsch.	indische spruche sanskrit und deutsch	indische spruche sanskrit und deutsch				anthology	seed	H4016 hand-checked seed call (anthology)			1520
RAGHUVAṂŚA	raghuvamsa	raghuvamsa		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			1489
PĀṆINI'S acht Bücher grammatischer Regel	panini s acht bucher grammatischer regel	panini s acht bucher grammatischer regel		epic-sutra		hand:class	seed	H4016 hand-checked seed call (hand:class)			1377
PAÑCATANTRA. Pantschatantrum sive quinqu	pancatantra pantschatantrum sive quinqu	pancatantra		classical		dharmamitra	seed	H4016 hand-checked seed call via the Dharmamitra chronology			1203
