signature	count	share_pct
NOUN|Cpd	589935	10.370813
PART|	414149	7.280568
ADV|	339182	5.962679
NOUN|Nom Sing Masc	315721	5.550245
CONJ|	203247	3.572998
NOUN|Acc Sing Masc	167602	2.946374
NOUN|Nom Sing Neut	142486	2.504845
ADJ|Cpd	126438	2.222728
NOUN|Acc Sing Neut	118440	2.082126
VERB|	114233	2.008169
ADJ|Nom Sing Masc	110136	1.936145
VERB|Sing p3 Pres Ind	108623	1.909547
NOUN|Nom Sing Fem	102803	1.807234
PRON|Nom Sing Masc	86796	1.525838
NOUN|Nom Plur Masc	82380	1.448206
VERB|Sing p3 Pres Opt	81153	1.426636
NOUN|Loc Sing Masc	73116	1.285349
VERB|Nom Sing Masc	70211	1.23428
VERB|Sing p3 Past Ind	68415	1.202707
NOUN|Gen Sing Masc	62814	1.104244
NOUN|Acc Sing Fem	62459	1.098003
ADJ|Nom Sing Neut	60872	1.070105
NOUN|Loc Sing Neut	57555	1.011793
PRON|Nom Sing Neut	55192	0.970253
NOUN|Ins Sing Masc	54232	0.953376
NOUN|Voc Sing Masc	53056	0.932703
PRON|Acc Sing Neut	47231	0.830301
VERB|Nom Sing Neut	46915	0.824746
VERB|Cpd	45427	0.798588
NOUN|Acc Plur Masc	41777	0.734422
NOUN|Ins Plur Masc	40781	0.716913
PRON|Cpd	40608	0.713872
NOUN|Ins Sing Neut	39639	0.696837
ADJ|Acc Sing Masc	39126	0.687819
ADJ|Acc Sing Neut	38297	0.673245
ADJ|Nom Plur Masc	36171	0.635871
PRON|Acc Sing Masc	34935	0.614143
PRON|Nom Plur Masc	34906	0.613633
VERB|Plur p3 Pres Ind	33824	0.594612
PRON|Gen Sing	32392	0.569438
VERB|Sing p3 Impf Ind	31870	0.560261
SCONJ|	31499	0.553739
NOUN|Gen Plur Masc	30326	0.533119
ADP|	30318	0.532978
NOUN|Abl Sing Masc	30212	0.531114
VERB|Sing p2 Pres Imp	30107	0.529269
ADJ|Nom Sing Fem	28975	0.509369
PRON|Gen Sing Masc	28867	0.50747
