period	period_key	lemma_slp1	lemma_iast	a6_count	tsv_count	delta	ratio	ratio_log2
до -800	1 -800	indra	indra	5476	3395	2081	1.613	0.690
до -800	1 -800	agni	agni	4943	3003	1940	1.646	0.719
до -800	1 -800	deva	deva	5144	3351	1793	1.535	0.618
до -800	1 -800	as	as	4442	2847	1595	1.560	0.642
до -800	1 -800	BU	bhū	3796	2694	1102	1.409	0.495
до -800	1 -800	kf	kṛ	3787	2426	1361	1.561	0.642
до -800	1 -800	soma	soma	2620	1541	1079	1.700	0.766
до -800	1 -800	DA	dhā	2396	1571	825	1.525	0.609
до -800	1 -800	div	div	2240	1266	974	1.769	0.823
до -800	1 -800	vid	vid	1882	1574	308	1.196	0.258
до -800	1 -800	ap	ap	1792	969	823	1.849	0.887
до -800	1 -800	i	i	1847	1103	744	1.675	0.744
до -800	1 -800	yajYa	yajña	1755	1271	484	1.381	0.466
до -800	1 -800	go	go	1530	811	719	1.887	0.916
до -800	1 -800	jan	jan	1454	876	578	1.660	0.731
до -800	1 -800	gam	gam	1379	836	543	1.650	0.722
до -800	1 -800	vac	vac	1201	399	802	3.010	1.590
до -800	1 -800	brahman	brahman	1260	797	463	1.581	0.661
до -800	1 -800	pU	pū	1165	752	413	1.549	0.632
до -800	1 -800	yaj	yaj	1168	774	394	1.509	0.594
до -800	1 -800	raTa	ratha	1193	643	550	1.855	0.892
до -800	1 -800	pfTivI	pṛthivī	1172	571	601	2.053	1.037
до -800	1 -800	vAc	vāc	1081	622	459	1.738	0.797
до -800	1 -800	loka	loka	1141	841	300	1.357	0.440
до -800	1 -800	dA	dā	1078	691	387	1.560	0.642
до -800	1 -800	manas	manas	1103	500	603	2.206	1.141
до -800	1 -800	yA	yā	1117	659	458	1.695	0.761
до -800	1 -800	rUpa	rūpa	928	721	207	1.287	0.364
до -800	1 -800	prARa	prāṇa	956	485	471	1.971	0.979
до -800	1 -800	pitf	pitṛ	1060	527	533	2.011	1.008
до -800	1 -800	hu	hu	929	390	539	2.382	1.252
до -800	1 -800	sTA	sthā	1014	570	444	1.779	0.831
до -800	1 -800	Bf	bhṛ	1032	577	455	1.789	0.839
до -800	1 -800	han	han	992	776	216	1.278	0.354
до -800	1 -800	tri	tri	928	696	232	1.333	0.415
до -800	1 -800	ahar	ahar	1029	1070	-41	0.962	-0.056
до -800	1 -800	varuRa	varuṇa	1095	569	526	1.924	0.944
до -800	1 -800	sUrya	sūrya	993	548	445	1.812	0.858
до -800	1 -800	pA	pā	946	992	-46	0.954	-0.068
до -800	1 -800	hvA	hvā	959	580	379	1.653	0.725
до -800	1 -800	su	su	975	2516	-1541	0.388	-1.368
до -800	1 -800	ah	ah	834	582	252	1.433	0.519
до -800	1 -800	aSvin	aśvin	946	539	407	1.755	0.812
до -800	1 -800	marut	marut	980	525	455	1.867	0.900
до -800	1 -800	nf	nṛ	900	521	379	1.727	0.789
до -800	1 -800	pati	pati	937	474	463	1.977	0.983
до -800	1 -800	brU	brū	813	550	263	1.478	0.564
до -800	1 -800	SaMs	śaṁs	815	541	274	1.506	0.591
до -800	1 -800	Atman	ātman	878	239	639	3.674	1.877
до -800	1 -800	aSva	aśva	860	501	359	1.717	0.780
до -800	1 -800	vAja	vāja	862	476	386	1.811	0.857
до -800	1 -800	vah	vah	833	485	348	1.718	0.780
до -800	1 -800	Sru	śru	812	415	397	1.957	0.968
до -800	1 -800	fta	ṛta	810	490	320	1.653	0.725
до -800	1 -800	mahat	mahat	798	420	378	1.900	0.926
до -800	1 -800	rAjan	rājan	804	412	392	1.951	0.965
до -800	1 -800	hotf	hotṛ	805	478	327	1.684	0.752
до -800	1 -800	av	av	779	446	333	1.747	0.805
до -800	1 -800	jana	jana	755	424	331	1.781	0.832
до -800	1 -800	paSu	paśu	779	780	-1	0.999	-0.002
до -800	1 -800	mitra	mitra	762	420	342	1.814	0.859
до -800	1 -800	vfD	vṛdh	715	440	275	1.625	0.700
до -800	1 -800	bfhat	bṛhat	751	409	342	1.836	0.877
до -800	1 -800	Aditya	āditya	712	354	358	2.011	1.008
до -800	1 -800	uttara	uttara	643	183	460	3.514	1.813
до -800	1 -800	namas	namas	635	465	170	1.366	0.450
до -800	1 -800	vfzan	vṛṣan	670	537	133	1.248	0.319
до -800	1 -800	praTama	prathama	718	415	303	1.730	0.791
до -800	1 -800	maDu	madhu	682	399	283	1.709	0.773
до -800	1 -800	uzas	uṣas	692	386	306	1.793	0.842
до -800	1 -800	kAma	kāma	667	401	266	1.663	0.734
до -800	1 -800	prajA	prajā	703	370	333	1.900	0.926
до -800	1 -800	mAtf	mātṛ	654	320	334	2.044	1.031
до -800	1 -800	sahasra	sahasra	667	349	318	1.911	0.934
до -800	1 -800	mah	mah	652	423	229	1.541	0.624
до -800	1 -800	Uti	ūti	621	400	221	1.552	0.635
до -800	1 -800	sva	sva	665	402	263	1.654	0.726
до -800	1 -800	yam	yam	630	371	259	1.698	0.764
до -800	1 -800	havis	havis	651	334	317	1.949	0.963
до -800	1 -800	savitf	savitṛ	656	357	299	1.838	0.878
до -800	1 -800	vIra	vīra	616	348	268	1.770	0.824
до -800	1 -800	gir	gir	645	365	280	1.767	0.821
до -800	1 -800	puruza	puruṣa	649	204	445	3.181	1.670
до -800	1 -800	Sata	śata	609	341	268	1.786	0.837
до -800	1 -800	priya	priya	621	365	256	1.701	0.767
до -800	1 -800	vAyu	vāyu	598	294	304	2.034	1.024
до -800	1 -800	putra	putra	623	270	353	2.307	1.206
до -800	1 -800	stu	stu	590	664	-74	0.889	-0.170
до -800	1 -800	puru	puru	620	351	269	1.766	0.821
до -800	1 -800	car	car	614	324	290	1.895	0.922
до -800	1 -800	rayi	rayi	605	337	268	1.795	0.844
до -800	1 -800	juz	juṣ	595	326	269	1.825	0.868
до -800	1 -800	vasu	vasu	616	667	-51	0.924	-0.115
до -800	1 -800	indu	indu	579	356	223	1.626	0.702
до -800	1 -800	ji	ji	548	349	199	1.570	0.651
до -800	1 -800	saKi	sakhi	561	344	217	1.631	0.706
до -800	1 -800	yuj	yuj	537	486	51	1.105	0.144
до -800	1 -800	DI	dhī	556	345	211	1.612	0.688
до -800	1 -800	sfj	sṛj	552	400	152	1.380	0.465
до -800	1 -800	dfS	dṛś	539	207	332	2.604	1.381
до -800	1 -800	tanU	tanū	593	361	232	1.643	0.716
до -800	1 -800	pA	pā	567	992	-425	0.572	-0.807
до -800	1 -800	anna	anna	546	285	261	1.916	0.938
до -800	1 -800	mada	mada	539	324	215	1.664	0.734
до -800	1 -800	vad	vad	508	290	218	1.752	0.809
до -800	1 -800	Ayus	āyus	515	258	257	1.996	0.997
до -800	1 -800	pada	pada	546	310	236	1.761	0.817
до -800	1 -800	kratu	kratu	526	303	223	1.736	0.796
до -800	1 -800	saptan	saptan	497	358	139	1.388	0.473
до -800	1 -800	Gfta	ghṛta	531	292	239	1.818	0.863
до -800	1 -800	rE	rai	533	287	246	1.857	0.893
до -800	1 -800	amfta	amṛta	524	364	160	1.440	0.526
до -800	1 -800	stoma	stoma	497	427	70	1.164	0.219
до -800	1 -800	svasti	svasti	402	295	107	1.363	0.446
до -800	1 -800	vid	vid	506	1574	-1068	0.321	-1.637
до -800	1 -800	antarikza	antarikṣa	512	287	225	1.784	0.835
до -800	1 -800	kavi	kavi	507	298	209	1.701	0.767
до -800	1 -800	vrata	vrata	490	296	194	1.655	0.727
до -800	1 -800	iz	iṣ	499	495	4	1.008	0.012
до -800	1 -800	prajApati	prajāpati	433	319	114	1.357	0.441
до -800	1 -800	aDvara	adhvara	484	272	212	1.779	0.831
до -800	1 -800	ugra	ugra	491	280	211	1.754	0.810
до -800	1 -800	jyotis	jyotis	492	288	204	1.708	0.773
до -800	1 -800	man	man	469	223	246	2.103	1.073
до -800	1 -800	muc	muc	467	258	209	1.810	0.856
до -800	1 -800	sad	sad	467	301	166	1.551	0.634
до -800	1 -800	tva	tva	433	323	110	1.341	0.423
до -800	1 -800	aS	aś	428	373	55	1.147	0.198
до -800	1 -800	fzi	ṛṣi	473	262	211	1.805	0.852
до -800	1 -800	viS	viś	462	442	20	1.045	0.064
до -800	1 -800	vIrya	vīrya	471	350	121	1.346	0.428
до -800	1 -800	nI	nī	476	264	212	1.803	0.850
до -800	1 -800	paS	paś	452	297	155	1.522	0.606
до -800	1 -800	ojas	ojas	470	296	174	1.588	0.667
до -800	1 -800	mad	mad	443	6940	-6497	0.064	-3.970
до -800	1 -800	cakzus	cakṣus	433	176	257	2.460	1.299
до -800	1 -800	devatA	devatā	447	235	212	1.902	0.928
до -800	1 -800	brahman	brahman	442	797	-355	0.555	-0.851
до -800	1 -800	bfhaspati	bṛhaspati	448	258	190	1.736	0.796
до -800	1 -800	aditi	aditi	455	250	205	1.820	0.864
до -800	1 -800	vajra	vajra	454	303	151	1.498	0.583
до -800	1 -800	grah	grah	426	193	233	2.207	1.142
до -800	1 -800	samudra	samudra	431	242	189	1.781	0.833
до -800	1 -800	sinDu	sindhu	442	234	208	1.889	0.918
до -800	1 -800	karman	karman	432	147	285	2.939	1.555
до -800	1 -800	Buvana	bhuvana	436	236	200	1.847	0.886
до -800	1 -800	jAtavedas	jātavedas	419	234	185	1.791	0.840
до -800	1 -800	barhis	barhis	434	213	221	2.038	1.027
до -800	1 -800	paTin	pathin	429	229	200	1.873	0.906
до -800	1 -800	garBa	garbha	426	240	186	1.775	0.828
до -800	1 -800	yoni	yoni	427	262	165	1.630	0.705
до -800	1 -800	dAS	dāś	415	237	178	1.751	0.808
до -800	1 -800	upAs	upās	360	50	310	7.200	2.848
до -800	1 -800	uru	uru	428	251	177	1.705	0.770
до -800	1 -800	dvi	dvi	375	248	127	1.512	0.597
до -800	1 -800	duh	duh	427	252	175	1.694	0.761
до -800	1 -800	brAhmaRa	brāhmaṇa	395	221	174	1.787	0.838
до -800	1 -800	agra	agra	423	217	206	1.949	0.963
до -800	1 -800	Candas	chandas	382	354	28	1.079	0.110
до -800	1 -800	maGavan	maghavan	434	392	42	1.107	0.147
до -800	1 -800	nAman	nāman	406	169	237	2.402	1.264
до -800	1 -800	e	e	383	189	194	2.026	1.019
до -800	1 -800	asura	asura	421	284	137	1.482	0.568
до -800	1 -800	gf	gṛ	404	245	159	1.649	0.722
до -800	1 -800	ukTa	uktha	397	265	132	1.498	0.583
до -800	1 -800	vftra	vṛtra	412	342	70	1.205	0.269
до -800	1 -800	rudra	rudra	389	209	180	1.861	0.896
до -800	1 -800	mahi	mahi	392	224	168	1.750	0.807
до -800	1 -800	havya	havya	410	220	190	1.864	0.898
до -800	1 -800	devI	devī	382	217	165	1.760	0.816
до -800	1 -800	tf	tṛ	371	230	141	1.613	0.690
до -800	1 -800	Ajya	ājya	353	123	230	2.870	1.521
до -800	1 -800	vAta	vāta	364	203	161	1.793	0.842
до -800	1 -800	vfzaBa	vṛṣabha	397	214	183	1.855	0.892
до -800	1 -800	fc	ṛc	337	167	170	2.018	1.013
до -800	1 -800	Badra	bhadra	339	222	117	1.527	0.611
до -800	1 -800	sAman	sāman	370	295	75	1.254	0.327
до -800	1 -800	sahas	sahas	383	214	169	1.790	0.840
до -800	1 -800	vf	vṛ	325	356	-31	0.913	-0.131
до -800	1 -800	avas	avas	363	219	144	1.658	0.729
до -800	1 -800	hari	hari	368	328	40	1.122	0.166
до -800	1 -800	iz	iṣ	331	495	-164	0.669	-0.581
до -800	1 -800	hasta	hasta	356	164	192	2.171	1.118
до -800	1 -800	diS	diś	360	201	159	1.791	0.841
до -800	1 -800	satya	satya	339	307	32	1.104	0.143
до -800	1 -800	Dana	dhana	339	194	145	1.747	0.805
до -800	1 -800	Savas	śavas	364	197	167	1.848	0.886
до -800	1 -800	sac	sac	351	199	152	1.764	0.819
до -800	1 -800	cit	cit	345	891	-546	0.387	-1.369
до -800	1 -800	vipra	vipra	356	284	72	1.254	0.326
до -800	1 -800	dakziRa	dakṣiṇa	318	69	249	4.609	2.204
до -800	1 -800	Baga	bhaga	345	189	156	1.825	0.868
до -800	1 -800	hava	hava	314	197	117	1.594	0.673
до -800	1 -800	rADas	rādhas	341	193	148	1.767	0.821
до -800	1 -800	vizRu	viṣṇu	315	191	124	1.649	0.722
до -800	1 -800	anta	anta	350	164	186	2.134	1.094
до -800	1 -800	citra	citra	338	194	144	1.742	0.801
до -800	1 -800	prAYc	prāñc	327	103	224	3.175	1.667
до -800	1 -800	catur	catur	297	167	130	1.778	0.831
до -800	1 -800	jIv	jīv	310	129	181	2.403	1.265
до -800	1 -800	payas	payas	333	185	148	1.800	0.848
до -800	1 -800	rajas	rajas	338	175	163	1.931	0.950
до -800	1 -800	savana	savana	336	232	104	1.448	0.534
до -800	1 -800	SUra	śūra	331	196	135	1.689	0.756
