period	p period_key	lemma_slp1	lemma_iast	a6_count	tsv_count	delta
до -800	1 -800	marut	marut	980	525	455
до -800	1 -800	virUpa	virūpa	43	35	8
до -800	1 -800	upanayana	upanayana	27	1	26
-800..-300	2 -300	pattra	pattra	138	4	134
-800..-300	2 -300	durga	durga	76	7	69
-800..-300	2 -300	paripracC	paripracch	48	0	48
-300..200	3200	kAma	kāma	3961	2705	1256
-300..200	3200	kftsna	kṛtsna	759	459	300
-300..200	3200	ArAma	ārāma	152	104	48
200..700	4700	amfta	amṛta	47	200	-153
200..700	4700	agastya	agastya	41	26	15
200..700	4700	sAtmya	sātmya	38	51	-13
700..1200	5 1200	jawA	jaṭā	114	92	22
700..1200	5 1200	lakzay	lakṣay	88	151	-63
700..1200	5 1200	apekzA	apekṣā	45	88	-43
1200..1700	6 1700	vyAja	vyāja	68	6	62
1200..1700	6 1700	parIkz	parīkṣ	54	9	45
1200..1700	6 1700	pratipAdana	pratipādana	32	4	28
1700..1956	7 1900	saMKyA	saṁkhyā	126	14	112
1700..1956	7 1900	DA	dhā	68	1	67
1700..1956	7 1900	paNka	paṅka	39	1	38
