lemma_slp1	layer	sense_id	sense_gloss	count_all	sense_rank	lemma_share	n_texts	dispersion_dp	largest_text_share	count_adj	sense_rank_adj	count_bal_uniform	sense_rank_bal	count_nonsastra	sense_rank_nonsastra	top_genre	top_genre_share	periods	provenance	confidence
A	mw	A#12	towards (only in asma/d A/ , ‘towards us’), RV.	46	1	0.6301	4	0.9366	0.8043	2.92	1	11.66	2	46	1	veda	1.0		attested	
A	mw	A#17	(as a conjunctive particle) moreover, further, and (it is placed either between the two words connec	15	2	0.2055	9	0.9502	0.4667	0.75	2	53.66	1	6	2	vyakarana	0.4667		attested	
A	mw	A#7	4. A/ (as a prefix to verbs, especially of motion, and their derivatives) near, near to, towards (se	12	3	0.1644	1	0.9711	1.0	0.35	3	7.68	3	0	3	vyakarana	1.0		attested	
A	wn	132912	towards	46	1	0.3833	4	0.9366	0.8043	2.92	1	18.78	3	46	1	veda	1.0		attested	
A	wn	101213	ākāra — the letter ā	44	2	0.3667	2	0.9709	0.9773	1.28	2	23.65	2	0	5	vyakarana	0.9773		attested	
A	wn	129907	until	15	3	0.125	9	0.9502	0.4667	0.75	3	66.37	1	6	2	vyakarana	0.4667		attested	
A	wn	132060	ā — the prefix or preposition ā	12	4	0.1	1	0.9711	1.0	0.35	4	3.81	5	0	5	vyakarana	1.0		attested	
A	wn	135131	ā [suffix] — [gramm.] inflectional substitute element -ā	1	5	0.0083	1	0.9711	1.0	0.03	6	0.32	7	0	5	vyakarana	1.0		attested	
A	wn	136184	according to — dt. 'gem￤￟'	1	5	0.0083	1	0.9563	1.0	0.04	5	0.41	6	1	3	veda	1.0		attested	
A	wn	136207	since — dt. 'seit'	1	5	0.0083	1	0.9968	1.0	0.0	7	6.67	4	1	3	katha	1.0		attested	
ABA	mw	ABA#5	to look like, Kathās. ; MBh. &c.	12	1	0.6667	5	0.6015	0.5	4.78	1	13.02	1	9	1	epic	0.6667		attested	
ABA	mw	ABA#2	to shine or blaze towards, RV. ; AV. ;	4	2	0.2222	1	0.8032	1.0	0.79	2	1.11	3	4	2	epic	1.0		attested	
ABA	mw	ABA#3	to irradiate, outshine, illumine, RV. ; AV. ; TB. ; BhP. ;	1	3	0.0556	1	0.9563	1.0	0.04	4	3.6	2	1	3	veda	1.0		attested	
ABA	mw	ABA#4	to appear, become visible or apparent, BhP. ; MBh. ; Hariv. ; Rājat. &c.;	1	3	0.0556	1	0.8032	1.0	0.2	3	0.28	4	1	3	epic	1.0		attested	
ABA	wn	93894	look — give a certain impression or have a certain outward aspect; 'She seems to be sleeping'; 'This	11	1	0.6111	4	0.6133	0.5455	4.25	1	9.42	1	9	1	epic	0.7273		attested	
