verse	lemma	devanagari	iast	form_type	code	tense	pada	vclass	root	root_tr	prefix	stem_end	gender	compound	mark	rule	sandhi	verse_iast	gloss_en	gloss_ru
1.01	dhṛta-rāṣṭra	धृतराष्ट्रः	dhṛtarāṣṭraḥ	nam	11							a	m	BV	B	h1	ḥ u → Ø u	dhṛtarāṣṭra uvāca	by whom the kingdom is held, Dhṛtarāṣṭra	царь Дхритараштра
1.01	√vac	उवाच	uvāca	verb	11	6	P	2	√vac	to speak					R				he spoke	сказал
1.01	dharma-kṣetra	धर्मक्षेत्रे	dharma-kṣetre	nam	71				√dhṛ			a	n	TP	B			dharma-kṣetre kuru-kṣetre samavetā yuyutsavaḥ	in the field of dharma	в месте паломничества
1.01	kuru-kṣetra	कुरुक्षेत्रे	kuru-kṣetre	nam	71							a	n	TP	B				in the field of the Kurus	в месте под названием Курукшетра
1.01	sam-aveta	समवेताः	samavetāḥ	partcpl	13	ppp		2	√i	come together	sam-ava		m			h1	ḥ y → Ø y		assembled	собравшиеся
1.01	yuyutsu	युयुत्सवः	yuyutsavaḥ	adj	13	des.		1,4	√yudh	to fight			m					yoddhum icchantaḥ	desiring to fight	желающие вступить в бой
1.01	māmaka	मामकाः	māmakāḥ	nam	13							a	m		B			māmakāḥ pāṇḍavāś caiva kim akurvata saṃjaya	my, mine	те, кто на моей стороне (мои сыновья)
1.01	pāṇḍava	पाण्डवाः	pāṇḍavāḥ	nam	13				pāṇḍu	white, pale		a	m		B	h5	ḥ c → ś c	pāṇḍoḥ putrā iti	the sons of Pāṇḍu	сыновья Панду
1.01	ca	च	ca	indecl												v6	a e → ai		and	и
1.01	eva	एव	eva	indecl															certainly, just, merely	безусловно
1.01	kim	किम्	kim	pronoun	21	intrg							n						what?	что
1.01	√kṛ	अकुर्वत	akurvata	verb	13	4	A	8	√kṛ	to do					R				they did	сделали
1.01	sam-jaya	सञ्जय​	saṁjaya	nam	81				√ji	to conquer	sam	a	m		B			jaya – victory	conquest, complete victory, Saṁjaya	о Санджая
1.02	sam-jaya	सञ्जयः	saṁjayaḥ		11				√ji			a	m			h1	ḥ u → Ø u	saṃjaya uvāca	conquest, complete victory, Saṁjaya	Санджая
1.02	√vac	उवाच​	uvāca		1v.1	Perf. P			√vac										he spoke	сказал
1.02	√dṛś	दृष्ट्वा	dṛṣṭvā			absol.			√dṛś									dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanas tadā	after seeing	осмотрев
1.02	tu	तु	tu			av.													but, then, or, and	но
1.02	pāṇḍava-anīka	पाण्डवानीकम्	pāṇḍavānīkam		2n.1 n.							a	n	TP		m	m v → ṃ v		the army of the sons of Pāṇḍu	армию Пандавов
1.02	vyūḍha	व्यूढम्	vyūḍham		2n.1 n.	PP			√vah			a	n			m	m d → ṃ d		divided, arrayed	выстроенную в боевые порядки
1.02	dur-yodhana	दुर्योधनः	duryodhanaḥ		1n.1 m.				√yudh			a	m			h5	ḥ t → s t		difficult to fight with, Duryodhana	царь Дурьйодхана
1.02	tadā	तदा	tadā			av.						ā							at that time, then	тогда
1.02	ācārya	आचार्यम्	ācāryam		2n.1 m.				√car			a	m					ācāryam upasaṅgamya rājā vacanam abravīt	to teacher	к учителю
1.02	upa-sam-√gam	उपसङ्गम्य​	upasaṅgamya			absol.			√gam										having approached	подойдя
1.02	rājan	राजा	rājā		1n.1 m.				√raj			an	m						king	царь
1.02	vacana	वचनम्	vacanam		2n.1 n.				√vac			a	n						speech	речь
1.02	√brū	अब्रवीत्	abravīt		1v.1	Imperf. P			√brū										he spoke	произнес
1.03	√dṛś	पश्य​	paśya		2v.1	Imperat. P			√dṛś							v6	a e → ai	paśyaitāṃ pāṇḍu-putrāṇām ācārya mahatīṃ camūm	you must see	взгляни
1.03	etat	एताम्	etām		2n.1 f.	sn.						t	f						this	на эту
1.03	pāṇḍu-putra	पाण्डुपुत्राणाम्	pāṇḍu-putrāṇām		6n.3 m.				√puṣ			a	m	TP					of the sons of Pāṇḍu	сыновей Панду
1.03	ācārya	आचार्य​	ācārya		8n.1 m.				√car			a	m						O teacher!	о учитель
1.03	mahatī	महतीम्	mahatīm		2n.1 f.				√mah			ī	f			m	m c → ṃ c		great	огромную
1.03	camū	चमूम्	camūm		2n.1 f.							ū	f						army, troops	армию
1.03	vyūḍhā	व्यूढाम्	vyūḍhām		2n.1 f.	PP			√vah			ā	f			m	m d → ṃ d	vyūḍhāṃ drupada-putreṇa tava śiṣyeṇa dhīmatā	divided, arrayed	построенную
1.03	drupada-putra	द्रुपदपुत्रेण​	drupada-putreṇa		3n.1 m.				√dru			a	m	TP					by the son of Drupada	сыном Друпады
1.03	yuṣmat	तव​	tava		6n.1	sn.						t							your	твоим
1.03	śiṣya	शिष्येण​	śiṣyeṇa		3n.1 m.	PF			√śās			a	m						by the one to be taught, by a disciple	учеником
1.03	dhīmant	धीमता	dhīmatā		3n.1 m.				√dhī			t	m						by the one having intellect	мудрым.
1.04	atra	अत्र​	atra			av.												atra śūrā maheṣv-āsā bhīmārjuna-samā yudhi	here	здесь
1.04	śūra	शूराः	śūrāḥ		1n.3 m.							a	m			h1	ḥ m → Ø m		the heroes	герои
1.04	mahā-iṣu-āsa	महेष्वासाः	maheṣv-āsāḥ		1n.3 m.				√mah			a	m	BV		h1	ḥ b → Ø b		those who have great bows	меткие лучники
1.04	bhīma-arjuna-sama	भीमार्जुनसमाः	bhīmārjuna-samāḥ		1n.3 m.				√bhī			a	m	TP		h1	ḥ y → Ø y		who are equal to Bhīma and Arjuna	Бхиме и Арджуне равные
1.04	yudh	युधि	yudhi		7n.1 f.				√yudh			h	f						in battle	в бою
1.04	yuyudhāna	युयुधानः	yuyudhānaḥ		1n.1 m.				√yudh			a	m			h3	ḥ v → o v	yuyudhāno virāṭaś ca drupadaś ca mahā-rathaḥ	eager to fight, Yuyudhāna = Sātyaki	Ююдхана
1.04	virāṭa	विराटः	virāṭaḥ		1n.1 m.				√rāj			a	m			h5	ḥ c → ś c		brilliant, reighning, Virāṭa	Вирата
1.04	ca	च​	ca			av.													and	также
1.04	dru-pada	द्रुपदः	drupadaḥ		1n.1 m.				√dru			a	m			h5	ḥ c → ś c		pillar, column or a rapid step, Drupada	Друпада
1.04	ca	च​	ca			av.													and	также
1.04	mahā-ratha	महारथः	mahā-rathaḥ		1n.1 m.				√mah			a	m	BV					who has a great chariot	великий воин.
1.05	dhṛṣṭa-ketu	धृष्टकेतुः	dhṛṣṭa-ketuḥ		1n.1 m.				√dhṛṣ			u	m			h5	ḥ c → ś c	dhṛṣṭa-ketuś cekitānaḥ kāśi-rājaś ca vīryavān	bold leader, Dhṛṣṭaketu	Дхриштакету
1.05	cekitāna	चेकितानः	cekitānaḥ		1n.1 m.				√cit			a	m						highly intelligent, Cekitāna	Чекитана
1.05	kāśi-rāja	काशिराजः	kāśi-rājaḥ		1n.1 m.				√raj			a	m	TP		h5	ḥ c → ś c		king of Kaśi	Кашираджа
1.05	ca	च​	ca			av.													and	и
1.05	vīrya-vant	वीर्यवान्	vīryavān		1n.1 m.							t	m						having strenght, valorous	могучий
1.05	puru-jit	पुरुजित्	purujit		1n.1 m.							t	m					purujit kunti-bhojaś ca śaibyaś ca nara-puṃgavaḥ	conquering widely, Purujit	Пуруджит
1.05	kunti-bhoja	कुन्तिभोजः	kunti-bhojaḥ		1n.1 m.				√bhuj			a	m			h5	ḥ c → ś c		ruler of the Kunti land	Кунтибходжа
1.05	ca	च​	ca			av.													and	и
1.05	śaibya	शैब्यः	śaibyaḥ		1n.1 m.							a	m			h5	ḥ c → ś c		ruler of the Śibi land	Шайбья
1.05	ca	च​	ca			av.													and	и
1.05	nara-puṅgava	नरपुञ्गवः	nara-puṁgavaḥ		1n.1 m.							a	m	TP					bull among men, best of men	герой среди людей.
1.06	yudhā-manyu	युधामन्युः	yudhā-manyuḥ		1n.1 m.				√yudh			u	m			h5	ḥ c → ś c	yudhā-manyuś ca vikrānta uttamaujāś ca vīryavān	fighting with spirit, Yudhāmanyu	Юдхаманью
1.06	ca	च​	ca			av.													and	и
1.06	vikrānta	विक्रान्तः	vikrāntaḥ		1n.1 m.	PP			√kram			a	m			h1	ḥ u → Ø u		courageous	могучий
1.06	uttama-ojas	उत्तमौजाः	uttamaujāḥ		1n.1 m.							s	m			h5	ḥ c → ś c		supreme strenght, Uttamaujās	Уттамауджа
1.06	ca	च​	ca			av.													and	и
1.06	vīrya-vant	वीर्यवान्	vīryavān		1n.1 m.							t	m						having strenght, valorous	обладающий необыкновенной силой
1.06	saubhadra	सौभद्रः	saubhadraḥ		1n.1 m.							a	m			h3	ḥ d → o d	saubhadro draupadeyāś ca sarva eva mahā-rathāḥ	the son of Subhadra Abhimanyu	сын Субхадры
1.06	draupadeya	द्रौपदेयाः	draupadeyāḥ		1n.3 m.							a	m			h5	ḥ c → ś c		the sons of Draupadī	сыновья Драупади
1.06	ca	च​	ca			av.													and	и
1.06	sarva	सर्वे	sarve		1n.3 m.	sn.						a	m			v3	e e → a e		all	все
1.06	eva	एव​	eva			av.													certainly, just, merely	безусловно
1.06	mahā-ratha	महारथाः	mahā-rathāḥ		1n.3 m.				√mah			a	m	BV					those who have great chariots	великие воины, сражающиеся на колесницах.
1.07	asmat	अस्माकम्	asmākam		6n.3	sn.						t				m	m t → ṃ t	asmākaṃ tu viśiṣṭā ye tān nibodha dvijottama	our	наши
1.07	tu	तु	tu			av.													but, then, or, and	но
1.07	viśiṣṭa	विशिष्टाः	viśiṣṭāḥ		1n.3 m.	PP			√śiṣ			a	m			h1	ḥ y → Ø y		excellent, distinguished	необыкновенно могущественные
1.07	yat	ये	ye		1n.3 m.	sn.						t	m						those who	которые
1.07	tat	तान्	tān		2n.3 m.	sn.						t	m						them	их
1.07	ni-√budh	निबोध​	nibodha		2v.1	Imperat. P			√budh										you must know	узнай же
1.07	dvi-ja-uttama	द्विजोत्तम​	dvijottama		8n.1 m.							a	m	TP					O best among twiceborn	о лучший из брахманов
1.07	nāyaka	नायकाः	nāyakāḥ		1n.3 m.				√nī			a	m			h1	ḥ m → Ø m	nāyakā mama sainyasya saṃjñārthaṃ tān bravīmi te	leaders	военачальники
1.07	asmat	मम​	mama		6n.1	sn.						t							my	мои
