verse	form	lemma	gold_case_num_gender	class	kosha_analyses
1.04	bhīmārjuna-samāḥ	bhīma-arjuna-sama	nom/pl/m	GAP	
1.09	nānā-śastra-praharaṇāḥ	nānā-śastra-praharaṇa	nom/pl/m	GAP	
1.10	bhīṣmābhirakṣitam	bhīṣma-abhi-rakṣita	nom/sg/n	GAP	
1.10	bhīmābhirakṣitam	bhīma-abhi-rakṣita	nom/sg/n	GAP	
1.12	harṣaṁ	harṣa	acc/sg/m	GAP	
1.13	paṇavānaka-gomukhāḥ	paṇava-ānaka-gomukha	nom/pl/m	GAP	
1.16	kuntī-putraḥ	kuntī-putra	nom/sg/m	GAP	
1.16	sughoṣa-maṇi-puṣpakau	su-ghoṣa-maṇi-puṣpaka	acc/du/m	GAP	
1.20	śastra-saṁpāte	śastra-saṁpāta	loc/sg/m	GAP	
1.22	raṇa-samudyame	raṇa-sam-ud-yama	loc/sg/m	GAP	
1.23	yotsyamānān	yotsyamāna	acc/pl/m	GAP	
1.23	priya-cikīrṣavaḥ	priya-cikīrṣu	instr/sg/m	DIVERGE	nom.pl.f;nom.pl.m;voc.pl.f;voc.pl.m
1.28	viṣīdan	viṣīdant	nom/sg/m	GAP	
1.33	sukhāni	sukha	instr/pl/n	DIVERGE	acc.pl.n;nom.pl.n;voc.pl.n
1.35	ghnataḥ	ghnant	acc/pl/m	GAP	
1.38	lobhopahata-cetasaḥ	lobha-upahata-cetas	nom/pl/m	GAP	
1.38	kula-kṣaya-kṛtam	kula-kṣaya-kṛta	acc/sg/m	GAP	
1.39	kula-kṣaya-kṛtam	kula-kṣaya-kṛta	acc/sg/m	GAP	
1.39	prapaśyadbhiḥ	pra-paśyant	instr/pl/m	GAP	
1.41	adharmābhibhavāt	a-dharma-abhi-bhava	abl/sg/m	GAP	
1.41	kula-striyaḥ	kula-strī	nom/pl/f	GAP	
1.43	varṇa-saṁkara-kārakaiḥ	varṇa-saṁkara-kāraka	instr/pl/m	GAP	
1.44	utsanna-kula-dharmāṇāṁ	utsanna-kula-dharma	gen/pl/m	GAP	
1.45	mahat	mahant	acc/sg/n	DIVERGE	nom.sg.f;voc.sg.f
1.45	rājya-sukha-lobhena	rājya-sukha-lobha	instr/sg/m	GAP	
2.01	aśru-pūrṇākulekṣaṇam	aśru-pūrṇa-ākula-īkṣaṇa	acc/sg/m	GAP	
2.01	viṣīdantam	viṣīdant	acc/sg/m	GAP	
2.02	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
2.07	kārpaṇya-doṣopahata-svabhāvaḥ	kārpaṇya-doṣa-upahata-svabhāva	nom/sg/m	GAP	
2.07	dharma-saṁmūḍha-cetāḥ	dharma-saṁmūḍha-cetas	nom/sg/m	GAP	
2.10	viṣīdantam	viṣīdant	acc/sg/m	GAP	
2.11	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
2.14	śītoṣṇa-sukha-duḥkha-dāḥ	śīta-uṣṇa-sukha-duḥkha-da	nom/pl/m	GAP	
2.16	asataḥ	a-sant	gen/sg/n	GAP	
2.16	sataḥ	sant	gen/sg/n	DIVERGE	nom.sg.m
2.21	kaṁ	kim	acc/sg/m	GAP	
2.23	āpaḥ	ap	nom/pl/f	DIVERGE	acc.sg.n;nom.sg.m;nom.sg.n;voc.sg.n
2.28	avyaktādīni	a-vyakta-ādi	nom/pl/n	GAP	
2.28	vyakta-madhyāni	vyakta-madhya	nom/pl/n	GAP	
2.28	avyakta-nidhanāni	a-vyakta-nidhana	nom/pl/n	GAP	
