rule	category	count	pct	examples
a a → ā	vowel coalescence	193	5.66	1.11 eva · 1.13 eva · 1.17 ca · 1.26 tatra
aḥ a → o '	visarga	139	4.07	1.13 tumulaḥ · 1.31 śreyaḥ · 1.35 ghnataḥ · 1.40 adharmaḥ
ḥ t → s t	visarga	128	3.75	1.02 duryodhanaḥ · 1.08 saumadattiḥ · 1.13 śabdaḥ · 1.34 putrāḥ
m p → ṃ p	anusvāra / nasal	113	3.31	1.39 doṣam · 2.07 tvām · 2.11 tvam · 2.15 puruṣam
m s → ṃ s	anusvāra / nasal	109	3.19	1.21 ratham · 1.30 gāṇḍīvam · 1.32 rājyam · 1.45 hantum
m t → ṃ t	anusvāra / nasal	106	3.11	1.07 asmākam · 1.10 aparyāptam · 1.10 paryāptam · 1.21 hṛṣīkeśam
ḥ c → ś c	visarga	101	2.96	1.01 pāṇḍavāḥ · 1.04 virāṭaḥ · 1.04 drupadaḥ · 1.05 dhṛṣṭa-ketuḥ
a e → ai	vowel coalescence	101	2.96	1.01 ca · 1.03 paśya · 1.14 ca · 1.19 ca
m v → ṃ v	anusvāra / nasal	100	2.93	1.02 pāṇḍavānīkam · 1.12 siṁha-nādam · 1.43 kula-ghnānām · 1.44 niyatam
m c → ṃ c	anusvāra / nasal	98	2.87	1.03 mahatīm · 1.19 pṛthivīm · 1.25 sarveṣām · 1.29 mukham
i a → y a	vowel coalescence	91	2.67	1.30 śaknomi · 1.38 yadi · 2.22 jīrṇāni · 2.40 api
m k → ṃ k	anusvāra / nasal	83	2.43	1.32 vijayam · 1.40 kulam · 1.42 kula-ghnānām · 1.45 pāpam
m b → ṃ b	anusvāra / nasal	74	2.17	1.15 mahā-śaṅkham · 1.30 avasthātum · 1.32 kim · 1.33 rājyam
m n → ṃ n	anusvāra / nasal	70	2.05	1.32 kim · 1.33 kāṅkṣitam · 1.35 kim · 1.39 katham
m d → ṃ d	anusvāra / nasal	69	2.02	1.02 vyūḍham · 1.03 vyūḍhām · 1.12 śaṅkham · 1.15 deva-dattam
m y → ṃ y	anusvāra / nasal	69	2.02	2.13 kaumāram · 2.19 hantāram · 2.21 nityam · 2.48 samatvam
m m → ṃ m	anusvāra / nasal	65	1.91	1.38 doṣam · 2.03 klaibyam · 2.19 enam · 2.26 tvam
aḥ m → o m	visarga	56	1.64	2.69 paśyataḥ · 3.16 indriyārāmaḥ · 3.29 akṛtsna-vidaḥ · 3.31 anasūyantaḥ
e a → e '	vowel coalescence	53	1.55	1.21 me · 1.22 nirīkṣe · 1.23 avekṣe · 1.23 atra
ḥ u → Ø u	visarga	49	1.44	1.01 dhṛtarāṣṭraḥ · 1.02 saṁjayaḥ · 1.06 vikrāntaḥ · 1.21 arjunaḥ
ā a → ā	vowel coalescence	48	1.41	1.07 saṁjñā-artham · 1.47 uktvā · 2.05 hatvā · 2.26 tathā
t a → d a	consonant / other	46	1.35	1.36 āśrayet · 1.39 pāpāt · 2.27 tasmāt · 2.34 maraṇāt
m j → ṃ j	anusvāra / nasal	46	1.35	1.44 manuṣyāṇām · 2.12 aham · 2.13 yauvanam · 2.27 dhruvam
a ā → ā	vowel coalescence	44	1.29	1.36 eva · 2.08 ca · 2.12 na · 2.55 eva
aḥ b → o b	visarga	38	1.11	1.44 vāsaḥ · 2.05 śreyaḥ · 2.35 bahu-mataḥ · 2.40 mahataḥ
aḥ y → o y	visarga	38	1.11	2.06 garīyaḥ · 3.14 parjanyaḥ · 3.25 avidvāṁsaḥ · 4.30 yajña-vidaḥ
m ś → ṃ ś	anusvāra / nasal	36	1.06	1.46 aśastram · 1.47 cāpam · 2.07 aham · 2.26 enam
m g → ṃ g	anusvāra / nasal	36	1.06	2.09 hṛṣīkeśam · 2.51 padam · 4.13 sṛṣṭam · 4.17 boddhavyam
ḥ a → r a	visarga	36	1.06	2.16 ubhayoḥ · 2.24 sthāṇuḥ · 2.65 hāniḥ · 2.66 buddhiḥ
aḥ n → o n	visarga	34	1.0	2.16 bhāvaḥ · 2.40 pratyavāyaḥ · 2.45 nirdvaṁdvaḥ · 2.45 nitya-sattva-sthaḥ
ā e → ai	vowel coalescence	32	0.94	1.08 tathā · 1.13 sahasā · 1.34 tathā · 1.36 hatvā
i e → y e	vowel coalescence	31	0.91	1.38 api · 1.42 hi · 2.15 vyathayanti · 2.28 avyakta-nidhanāni
a i → e	vowel coalescence	29	0.85	2.12 na · 2.40 na · 2.61 yasya · 3.18 akṛtena
ḥ e → Ø e	visarga	29	0.85	2.19 yaḥ · 2.21 yaḥ · 2.24 aśoṣyaḥ · 3.12 stenaḥ
ḥ m → Ø m	visarga	28	0.82	1.04 śūrāḥ · 1.07 nāyakāḥ · 1.09 śūrāḥ · 3.13 santaḥ
m h → ṃ h	anusvāra / nasal	28	0.82	1.15 pāñca-janyam · 1.19 dhārtarāṣṭrāṇām · 1.37 vayam · 1.37 sva-janam
aḥ v → o v	visarga	28	0.82	2.16 asataḥ · 2.16 abhāvaḥ · 2.62 dhyāyataḥ · 3.35 sva-dharmaḥ
a u → o	vowel coalescence	24	0.7	1.12 vinadya · 2.18 nityasya · 2.32 ca · 2.65 asya
