whitney_no,root_iast,homonym,talmud_root,talmud_whitney_ref,talmud_tip,talmud_ryad,talmud_set,mp1_grade,mp2_grade,mp3_grade,alternation_class,mp1_deviation,derivation_method,grade_confidence,match_kind,unclassifiable_reason
1,aṃh,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
2,akṣ,1,akṣ,1 akṣ,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
3,akṣ,2,akṣ,2 akṣ,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
4,aṅg,,n̥g,aṅg,I,N₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
5,ac,,n̥c,"ac, añc",I,N₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
6,aj,,aj,aj,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
7,añj,,n̥j,añj,I,N₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
8,aṭ,,aṭ,aṭ,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
9,aṇṭh,,anṭh,aṇṭh,II,N,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
10,at,,at,at,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
11,ad,,ad,ad,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
12,an,,an,an,II,N,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
13,am,,m̥̄,am,I,M₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
14,ay,,i,"1 i, ī, ay",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
15,arc,,ṛc,"arc, ṛc",I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
16,arj,,ṛj,"ṛj, ṛñj, arj",I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
17,art,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
18,arh,,ṛh,arh,I,R₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
19,av,,o,av,II,U,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
20,aś,1,aś,"1 aś, aṃś",II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
21,aś,2,aś,2 aś,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
22,as,1,øs,1 as,I,A₁,,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
23,as,2,as,2 as,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
24,ah,,ah,ah,II,A₁,,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
25,āñch,,ānch,āñch,IV,N,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
26,āp,,āp,āp,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
27,ār,,ār,ār,IV,R,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
28,ās,,ās,ās,II,A₂,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
29,i,1,i,"1 i, ī, ay",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
30,i,2,in,"2 i, inv, in",III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
31,iṅg,,iṅg,iṅg,III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
32,ich,,iṣ,"is, ich",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
33,iṭ,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
34,iḍ,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
35,idh,,idh,"idh, indh",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
36,in,,in,"2 i, inv, in",III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
37,inakṣ,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
38,iyakṣ,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
39,irajy,,irajy,irajy,II,A₁,,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
40,iradh,,iradh,iradh,II,A₁,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
41,il,,il,il,I,I₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
42,iṣ,1,,,,,,,,,unclassifiable,,,,,no_authorial_binding
43,iṣ,2,iṣ,2 iṣ,I,I₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
44,ī,,i,"1 i, ī, ay",I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
45,īkṣ,,īkṣ,īkṣ,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
46,īṅkh,,īṅkh,īṅkh,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
47,īj,,ej,"ej, īj",II,I,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
48,īḍ,,īḍ,īḍ,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
49,īr,,īr,īr,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
50,īrṣy,,īrṣy,īrṣy,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
51,īś,,īś,īś,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
52,īṣ,,īṣ,"īṣ, eṣ",III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
53,īh,,īh,īh,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
54,u,,u,u,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
55,ukṣ,1,,,,,,,,,unclassifiable,,,,,no_authorial_binding
56,ukṣ,2,,,,,,,,,unclassifiable,,,,,no_authorial_binding
57,uc,,uc,uc,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
58,uch,,uøs,"1 vas, uṣ, uch",I,A₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
59,ujh,,ujh,ujh,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
60,uñch,,uñch,uñch,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
61,ud,,ud,"ud, und",I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
62,ubj,,ubj,ubj,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
63,ubh,,umbh,"ubh, umbh",III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
64,uṣ,1,uøs,"1 vas, uṣ, uch",I,A₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
65,uṣ,2,uṣ,2 uṣ,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
66,ūrṇu,1,,,,,,,,,unclassifiable,,,,,no_authorial_binding
