headword	skd_body_200	vcp_body_200
a	a¦, akAraH . AdyasvaravarRaH . asyoccAraRasTAnaM kaRWaH . sa tu hrasvo dIrGaH plutaSca Bavati . iti vyAkaraRaM .. asya leKanaprakAro yaTA, -- “dakzataH kuRqalI BUtvA kuYcitA vAmato gatA . tatordDvasaN	a¦ pu0 avati rakzati atati sAtatyena tizWatIti vA ava--ata-- vA qa . vizRO “akAro vizRuruddizwa ukArastu maheSvaraH . makArastu smftobrahmA praRavastu trayAtmaka” iti . asya (vizRoH) apatyam ata iY iH
aba	aba¦ i Na Sabde . iti kavikalpadrumaH .. i ambyate . Na ambate ambAMputtraH . iti caturBujaH durgAdAsaSca ..	aba¦ Sabde idit BvAdi0 Atma0 saka0 sew . ambate [Page0269-a+ 38] Ambizwa ambA ambAlA ambikA ambaram ambazWaH .
abadda	AbadDaH¦, puM, (AN + banDa + ktaH .) dfQabanDanaM . prema . alaNkAraH . iti viSvamedinyO .. (yaTA meGadUte 9 . “garBADAnakzaRaparicayAnnUnamAbadDamAlA” ..) yottraM . iti medinI ..	abadDa¦ tri0 banDa--kta na0 ta0 . 1 asaMbadDe 2 anvayaboDayogyatA- SUnye paramparavirudDe vAkye ca yaTA “yAvajjIvamahaM mOnI brahmacArI ca me pitA mAtA tu mama banDyAsIdaputraSca pitAmahaH” ityAdi vAk
abaddamuka	abadDamuKaH¦, tri, (na badDaM naYsamAsaH, abadDaM yaTA- BilAzakaTanena apratibadDaM muKaM yasya saH .) a- priyavAdI . durmmuKaH . ityamaraH .. (striyAM vA NIp abadDamuKI abadDamuKA) .	abadDamuKa¦ tri0 na badDaM yaTecCavAditayA apratirudDaM muKa- mAsyakriyA yasya striyAM vA NIp . apriyavAdini “satyaM brUyAt priyaM brUyAt na brUyAt satyamapriyamiti” manunA'priyavacanakaTanasya nizeDe
abala	abalaH¦, puM, (nAsti balaM yasya saH, kzaRaBaNguratvAt tasya taTAtvaM .) varuRavfkzaH . iti SabdacandrikA ..	abala¦ na0 na balaM sAmarTyamutkarzovA'BAve na0 ta0 . 1 balABAve “prAyaScittaM pradAtavyaM dfzwvA tasya balAbalam” smftiH . “ganDAnAYca rasAnAYca jYAtvA cArGabalAbalam” manuH . balamutkarzamabalamanut
abanda	abanDaH¦, tri, (banDa + Ryat, na banDyaH aPalaH naY- samAsaH .) saPalaH . PalakAle PalayuktavfkzaH . tatparyyAyaH . PalegrahiH 2 . ityamaraH .. Pala- grahiH 3 . iti tawwIkA .. amoGaPalodayaH 4 . iti r	AbanDa¦ pu0 A + banDa--GaY . 1 dfQabanDe, karaRe GaY . 2 yoktre ADAre GaY . 3 premRi ca . lyuw AbanDanapyatra na0 .
abandya	abanDyaH¦, tri, (banDe sADuriti banDyaH, banDa + yat, tato najsamAsaH .) PalavAn . PalakAle Pala- yuktavfkzaH . tatparyyAyaH . PalegrahiH 2 PalagrahiH 3 . ityamaraH .. (“karttuM yacca praBavati mahImu	abanDya¦ tri0 banDyaH aPalaH . 1 saPale, “abanDyaM divasaM kuryyAt dAnADyayanakarmmaBiH” smftiH 2 aPalaBinne PalakAle Pala- yukte vfkze pu0 .
abasa	ABAsaH¦, puM, (AN + BAs + pacAdyac .) sadfSaH . prativimbaM . iti vedAntaH .. dIptiH . aBiprAyaH .. (prativimbAdivadavAstavasvarUpamavidyAkAryyaM, mf- zAbudDiH . yaTA aDyAtmarAmAyaRe, -- “ABAzastu mfz	ABAsa¦ pu0 ABAsate A + BAsa ac . upADitulyatayA BAsamAne 1 prativimbe “ABAsorUpasUryyakavat” SA0 sU0 “budDivftticidABAsO dvAvetO vyApnuto Gawam . tatrA- jYAnaM DiyA naSyedABAsAttu GawaH sPuret” vedA0 
abasvara	ABAsvaraH¦, puM, (AN + BAs + varac .) catuHzazwi- saNKyakagaRadevatAviSezaH . ityamaraH .. (yaduktaM, A- BAsvarAScatuHzazwi . yadvA, -- “AtmA jYAtA damo dAntaH SAntirjYAnaM SamastapaH . kAmaH kroDo ma	ABAsvara¦ tri0 A + BAsa--varac . 1 samyagdIptiSole catuH bazwimite 2 gaRadevaBede “AtmA jYAtA damodAntaH SAnti- rjYAmaM SamastapaH . kAmaH kroDomadomoho dvAdaSABAsvarA- ime” ityukte 3dvAdaSamite gaRaB
abati	ABAtiH¦, strI, (AN + BA + ktin dIptiH, jyo- tiH .) CAyA . iti rAjanirGaRwaH ..	ABAti¦ strI ABAti tyulparUpatayA A + BA--ktic . prativimbe rAjani0 . tasya vimbatulyatayA drIptestaTAtvam .
