rule	category	count	pct	examples
a a → ā	vowel coalescence	399	8.02	tābhir dharmārthau yad vidyāt tad vidyānāṃ vidyātvam dharma+arthau→dharmārthau · dharmādharmau trayyām arthānarthau vārttāyāṃ nayānayau daṇḍanītyāṃ balābale ca etāsāṃ hetubhir anvīkṣamāṇā lokasya upakaroti vyasane 'bhyudaye ca buddhim avasthāpayati prajñāvākyakriyāvaiśāradyaṃ ca karoti dharma+adharmau→dharmādharmau · dharmādharmau trayyām arthānarthau vārttāyāṃ nayānayau daṇḍanītyāṃ balābale ca etāsāṃ hetubhir anvīkṣamāṇā lokasya upakaroti vyasane 'bhyudaye ca buddhim avasthāpayati prajñāvākyakriyāvaiśāradyaṃ ca karoti artha+anarthau→arthānarthau · dharmādharmau trayyām arthānarthau vārttāyāṃ nayānayau daṇḍanītyāṃ balābale ca etāsāṃ hetubhir anvīkṣamāṇā lokasya upakaroti vyasane 'bhyudaye ca buddhim avasthāpayati prajñāvākyakriyāvaiśāradyaṃ ca karoti naya+anayau→nayānayau
m v → ṃ v	anusvāra / nasal	361	7.25	tābhir dharmārthau yad vidyāt tad vidyānāṃ vidyātvam vidyānāṃ+vidyā · karṇatvagakṣijihvāghrāṇendriyāṇāṃ śabdasparśarūparasagandheṣvavipratipattir indriyajayaḥ śāstrānuṣṭhānaṃ vā anuṣṭhānam→śāstrānuṣṭhānaṃ +vā · sa sattribhiḥ śapathapūrvam ekaikam amātyam upajāpayet adhārmiko 'yaṃ rājā sādhu dhārmikam anyam asya tatkulīnam aparuddhaṃ kulyam ekapragrahaṃ sāmantam āṭavikam aupapādikaṃ vā pratipādayāmaḥ sarveṣām etad rocate kathaṃ vā tava iti aupapādikaṃ+vā · sa sattribhiḥ śapathapūrvam ekaikam amātyam upajāpayet adhārmiko 'yaṃ rājā sādhu dhārmikam anyam asya tatkulīnam aparuddhaṃ kulyam ekapragrahaṃ sāmantam āṭavikam aupapādikaṃ vā pratipādayāmaḥ sarveṣām etad rocate kathaṃ vā tava iti kathaṃ+vā
m c → ṃ c	anusvāra / nasal	270	5.43	sāṃkhyaṃ yogo lokāyataṃ cetyānvīkṣikī lokāyataṃ+ca · dharmādharmau trayyām arthānarthau vārttāyāṃ nayānayau daṇḍanītyāṃ balābale ca etāsāṃ hetubhir anvīkṣamāṇā lokasya upakaroti vyasane 'bhyudaye ca buddhim avasthāpayati prajñāvākyakriyāvaiśāradyaṃ ca karoti vaiśāradyam→prajñāvākyakriyāvaiśāradyaṃ +ca · mānād rāvaṇaḥ paradārān aprayacchan duryodhano rājyād aṃśaṃ ca aṃśaṃ+ca · teṣāṃ janapadabhijanam avagrahaṃ cāptataḥ parīkṣeta samānavidyebhyaḥ śilpaṃ śāstracakṣuṣmattāṃ ca karmārambheṣu prajñāṃ dhārayiṣṇutāṃ dākṣyaṃ ca kathāyogeṣu vāgmitvaṃ prāgalbhyaṃ pratibhānavattvaṃ ca saṃvāsibhyaḥ śīlabalārogyasattvayogam astambham acāpalaṃ ca pratyakṣataḥ sampriyatvam avairatvaṃ ca avagrahaṃ+ca
m p → ṃ p	anusvāra / nasal	255	5.12	teṣāṃ janapadabhijanam avagrahaṃ cāptataḥ parīkṣeta samānavidyebhyaḥ śilpaṃ śāstracakṣuṣmattāṃ ca karmārambheṣu prajñāṃ dhārayiṣṇutāṃ dākṣyaṃ ca kathāyogeṣu vāgmitvaṃ prāgalbhyaṃ pratibhānavattvaṃ ca saṃvāsibhyaḥ śīlabalārogyasattvayogam astambham acāpalaṃ ca pratyakṣataḥ sampriyatvam avairatvaṃ ca prāgalbhyaṃ+pratibhānavat · teṣāṃ janapadabhijanam avagrahaṃ cāptataḥ parīkṣeta samānavidyebhyaḥ śilpaṃ śāstracakṣuṣmattāṃ ca karmārambheṣu prajñāṃ dhārayiṣṇutāṃ dākṣyaṃ ca kathāyogeṣu vāgmitvaṃ prāgalbhyaṃ pratibhānavattvaṃ ca saṃvāsibhyaḥ śīlabalārogyasattvayogam astambham acāpalaṃ ca pratyakṣataḥ sampriyatvam avairatvaṃ ca tvam→vāgmitvaṃ +prāgalbhyaṃ · svayaṃ dṛṣṭaṃ pratyakṣam dṛṣṭaṃ+pratyakṣam · paropadiṣṭaṃ parokṣam upadiṣṭam→paropadiṣṭaṃ +parokṣam
m k → ṃ k	anusvāra / nasal	213	4.28	purohitam uditoditakulaśīlaṃ sāṅge vede daive nimitte daṇḍanītyāṃ cābhivinītam āpadāṃ daivamānuṣīṇām atharvabhir upāyaiśca pratikartāraṃ kurvīta pratikartāraṃ+kurvīta · brāhmaṇenaidhitaṃ kṣatraṃ mantrimantrābhimantritam edhitam→brāhmaṇenaidhitaṃ +kṣatraṃ · sa sattribhiḥ śapathapūrvam ekaikam amātyam upajāpayet adhārmiko 'yaṃ rājā sādhu dhārmikam anyam asya tatkulīnam aparuddhaṃ kulyam ekapragrahaṃ sāmantam āṭavikam aupapādikaṃ vā pratipādayāmaḥ sarveṣām etad rocate kathaṃ vā tava iti aparuddhaṃ+kulyam · tasmād bāhyam adhiṣṭhānaṃ kṛtvā kārye caturvidhe adhiṣṭhānaṃ+kṛtvā
m s → ṃ s	anusvāra / nasal	173	3.48	purohitam uditoditakulaśīlaṃ sāṅge vede daive nimitte daṇḍanītyāṃ cābhivinītam āpadāṃ daivamānuṣīṇām atharvabhir upāyaiśca pratikartāraṃ kurvīta śīlam→uditoditakulaśīlaṃ +sa · sa sattribhiḥ śapathapūrvam ekaikam amātyam upajāpayet adhārmiko 'yaṃ rājā sādhu dhārmikam anyam asya tatkulīnam aparuddhaṃ kulyam ekapragrahaṃ sāmantam āṭavikam aupapādikaṃ vā pratipādayāmaḥ sarveṣām etad rocate kathaṃ vā tava iti pragraham→ekapragrahaṃ +sāmantam · sarvapravrajitāśca svaṃ svaṃ vargam evam upajapeyuḥ svaṃ+svaṃ · taṃ sattriṇaḥ saṃsthāsvarpayeyuḥ taṃ+sattriṇaḥ
a u → o	vowel coalescence	171	3.44	paropadiṣṭaṃ parokṣam para+upadiṣṭam→paropadiṣṭaṃ · purohitam uditoditakulaśīlaṃ sāṅge vede daive nimitte daṇḍanītyāṃ cābhivinītam āpadāṃ daivamānuṣīṇām atharvabhir upāyaiśca pratikartāraṃ kurvīta udita+udita→uditoditakulaśīlaṃ · iti dharmopadhā dharma+upadhā→dharmopadhā · iti kāmopadhā kāma+upadhā→kāmopadhā
m d → ṃ d	anusvāra / nasal	133	2.67	teṣāṃ janapadabhijanam avagrahaṃ cāptataḥ parīkṣeta samānavidyebhyaḥ śilpaṃ śāstracakṣuṣmattāṃ ca karmārambheṣu prajñāṃ dhārayiṣṇutāṃ dākṣyaṃ ca kathāyogeṣu vāgmitvaṃ prāgalbhyaṃ pratibhānavattvaṃ ca saṃvāsibhyaḥ śīlabalārogyasattvayogam astambham acāpalaṃ ca pratyakṣataḥ sampriyatvam avairatvaṃ ca tām→dhārayiṣṇutāṃ +dākṣyaṃ · svayaṃ dṛṣṭaṃ pratyakṣam svayaṃ+dṛṣṭaṃ · purohitam uditoditakulaśīlaṃ sāṅge vede daive nimitte daṇḍanītyāṃ cābhivinītam āpadāṃ daivamānuṣīṇām atharvabhir upāyaiśca pratikartāraṃ kurvīta āpadāṃ+daiva · na tveva kuryād ātmānaṃ devīṃ vā lakṣyam īśvaraḥ ātmānaṃ+devīṃ
aḥ v → o v	visarga	127	2.55	yathā dāṇḍakyo nāma bhojaḥ kāmād brāhmaṇakanyām abhimanyamānaḥ sabandhurāṣṭro vinanāśa karālaśca vaidehaḥ rāṣṭraḥ→sabandhurāṣṭro +vinanāśa · sabandhurāṣṭrā rājāno vineśur ajitendriyāḥ rājāno+vineśur · jānapado 'bhijātaḥ svavagrahaḥ kṛtaśilpaścakṣuṣmān prājño dhārayiṣṇur dakṣo vāgmī pragalbhaḥ pratipattimān utsāhaprabhāvayuktaḥ kleśasahaḥ śucir maitro dṛḍhabhaktiḥ śīlabalārogyasattvayuktaḥ stambhacāpalahīnaḥ sampriyo vairāṇām akartetyamātyasampat dakṣo+vāgmī · jānapado 'bhijātaḥ svavagrahaḥ kṛtaśilpaścakṣuṣmān prājño dhārayiṣṇur dakṣo vāgmī pragalbhaḥ pratipattimān utsāhaprabhāvayuktaḥ kleśasahaḥ śucir maitro dṛḍhabhaktiḥ śīlabalārogyasattvayuktaḥ stambhacāpalahīnaḥ sampriyo vairāṇām akartetyamātyasampat sampriyo+vairāṇām
aḥ d → o d	visarga	123	2.47	jānapado 'bhijātaḥ svavagrahaḥ kṛtaśilpaścakṣuṣmān prājño dhārayiṣṇur dakṣo vāgmī pragalbhaḥ pratipattimān utsāhaprabhāvayuktaḥ kleśasahaḥ śucir maitro dṛḍhabhaktiḥ śīlabalārogyasattvayuktaḥ stambhacāpalahīnaḥ sampriyo vairāṇām akartetyamātyasampat maitro+dṛḍha · sattriṇo dvaṃdvinas tīrthasabhāpūgajanasamavāyeṣu vivādaṃ kuryuḥ sattriṇo+dvaṃdvinas · sarvaguṇasampannaścāyaṃ rājā śrūyate na cāsya kaścid guṇo dṛśyate yaḥ paurajānapadān daṇḍakarābhyāṃ pīḍayati iti guṇo+dṛśyate · tathāpyatuṣyato daṇḍakarasādhanādhikāreṇa janapadavidveṣaṃ grāhayet atuṣyataḥ→tathāpyatuṣyato +daṇḍa
ḥ c → ś c	visarga	117	2.35	yathā dāṇḍakyo nāma bhojaḥ kāmād brāhmaṇakanyām abhimanyamānaḥ sabandhurāṣṭro vinanāśa karālaśca vaidehaḥ karālaḥ+ca→karālaśca · kopājjanamejayo brāhmaṇeṣu vikrāntaḥ tālajaṅghaśca bhṛguṣu tālajaṅghaḥ+ca→tālajaṅghaśca · lobhād ailaścāturvarṇyam atyāhārayamāṇaḥ sauvīraścājabinduḥ ailaḥ+cāturvarṇyam→ailaścāturvarṇyam · ambarīṣaśca nābhāgo bubhujāte ciraṃ mahīm ambarīṣaḥ+ca→ambarīṣaśca
m m → ṃ m	anusvāra / nasal	114	2.29	ambarīṣaśca nābhāgo bubhujāte ciraṃ mahīm ciraṃ+mahīm · brāhmaṇenaidhitaṃ kṣatraṃ mantrimantrābhimantritam kṣatraṃ+mantri · tam arthamānābhyāṃ protsāhya mantrī brūyāt rājānaṃ māṃ ca pramāṇaṃ kṛtvā yasya yad akuśalaṃ paśyasi tat tadānīm eva pratyādiśa iti rājānaṃ+māṃ · ye cāpy asaṃbandhino 'vaśyabhartavyāste lakṣaṇam aṅgavidyāṃ jambhakavidyāṃ māyāgatam āśramadharmaṃ nimittam antaracakram ityadhīyānāḥ sattriṇaḥ saṃsargavidyāṃ ca vidyām→jambhakavidyāṃ +māyā
a ā → ā	vowel coalescence	105	2.11	teṣāṃ janapadabhijanam avagrahaṃ cāptataḥ parīkṣeta samānavidyebhyaḥ śilpaṃ śāstracakṣuṣmattāṃ ca karmārambheṣu prajñāṃ dhārayiṣṇutāṃ dākṣyaṃ ca kathāyogeṣu vāgmitvaṃ prāgalbhyaṃ pratibhānavattvaṃ ca saṃvāsibhyaḥ śīlabalārogyasattvayogam astambham acāpalaṃ ca pratyakṣataḥ sampriyatvam avairatvaṃ ca karma+ārambheṣu→karmārambheṣu · karmaphalācca sarvapravrajitānāṃ grāsācchādanāvasathān pratividadhyāt grāsa+ācchādana→grāsācchādanāvasathān · evaṃ śatrau ca mitre ca madhyame cāvapeccarān ca+āvapet→cāvapeccarān · vane vanacarāḥ kāryāḥ śramaṇāṭavikādayaḥ śramaṇa+āṭavika→śramaṇāṭavikādayaḥ
m n → ṃ n	anusvāra / nasal	101	2.03	dharmādharmau trayyām arthānarthau vārttāyāṃ nayānayau daṇḍanītyāṃ balābale ca etāsāṃ hetubhir anvīkṣamāṇā lokasya upakaroti vyasane 'bhyudaye ca buddhim avasthāpayati prajñāvākyakriyāvaiśāradyaṃ ca karoti vārttāyāṃ+naya · nāgatvāntaṃ nivarteta sthitā sattvavatāṃ dhṛtau antam→nāgatvāntaṃ +nivarteta · ye cāpy asaṃbandhino 'vaśyabhartavyāste lakṣaṇam aṅgavidyāṃ jambhakavidyāṃ māyāgatam āśramadharmaṃ nimittam antaracakram ityadhīyānāḥ sattriṇaḥ saṃsargavidyāṃ ca dharmam→āśramadharmaṃ +nimittam · bhikṣukīpratiṣedhe dvāḥsthaparamparā mātāpitṛvyañjanāḥ śilpakārikāḥ kuśīlavā dāsyo vā gītapāṭhyavādyabhāṇḍagūḍhalekhyasaṃjñābhir vā cāraṃ nirhareyuḥ cāraṃ+nirhareyuḥ
m t → ṃ t	anusvāra / nasal	79	1.59	samedhāśāstibhiścābhigatānām aṅgavidyayā śiṣyasaṃjñābhiśca karmāṇyabhijane avasitānyādiśet alpalābham agnidāhaṃ corabhayaṃ dūṣyavadhaṃ tuṣṭidānaṃ videśapravṛttijñānam idam adya śvo vā bhaviṣyati idaṃ vā rājā kariṣyati iti vadham→dūṣyavadhaṃ +tuṣṭi · teṣāṃ muṇḍajaṭilavyañjanair yo yadbhaktiḥ kṛtyapakṣīyastaṃ tenopajāpayet tam→kṛtyapakṣīyastaṃ +tena · yad asya kāryam abhipretaṃ tatpratirūpakaṃ mantriṇaḥ pṛcchet kāryam idam evam āsīt evaṃ vā yadi bhavet tat kathaṃ kartavyam iti abhipretaṃ+tad · mahādoṣam upapannaṃ tu bhavati upapannaṃ+tu
m ś → ṃ ś	anusvāra / nasal	78	1.57	āśrayaḥ sarvadharmāṇāṃ śaśvad ānvīkṣikī matā dharmāṇām→sarvadharmāṇāṃ +śaśvad · karṇatvagakṣijihvāghrāṇendriyāṇāṃ śabdasparśarūparasagandheṣvavipratipattir indriyajayaḥ śāstrānuṣṭhānaṃ vā indriyāṇām→karṇatvagakṣijihvāghrāṇendriyāṇāṃ +śabda · teṣāṃ janapadabhijanam avagrahaṃ cāptataḥ parīkṣeta samānavidyebhyaḥ śilpaṃ śāstracakṣuṣmattāṃ ca karmārambheṣu prajñāṃ dhārayiṣṇutāṃ dākṣyaṃ ca kathāyogeṣu vāgmitvaṃ prāgalbhyaṃ pratibhānavattvaṃ ca saṃvāsibhyaḥ śīlabalārogyasattvayogam astambham acāpalaṃ ca pratyakṣataḥ sampriyatvam avairatvaṃ ca śilpaṃ+śāstra · tam ācāryaṃ śiṣyaḥ pitaraṃ putro bhṛtyaḥ svāminam iva cānuvarteta ācāryaṃ+śiṣyaḥ
m r → ṃ r	anusvāra / nasal	72	1.45	purohitam ayājyayājanādhyāpane niyuktam amṛṣyamāṇaṃ rājāvakṣipet amṛṣyamāṇaṃ+rājā · śaucāśaucam amātyānāṃ rājā mārgeta sattribhiḥ amātyānāṃ+rājā · sattvaprajñāvākyaśaktisampannānāṃ rājabhāgyam anuvyāharenmantrisaṃyogaṃ ca brūyāt sampannānām→sattvaprajñāvākyaśaktisampannānāṃ +rāja · pūjitāścārthamānābhyāṃ rājñā rājopajīvinām mānābhyām→pūjitāścārthamānābhyāṃ +rājñā
ḥ t → s t	visarga	71	1.43	ye ca kāraṇād abhikruddhāstān arthamānābhyāṃ śamayet akāraṇakruddhāṃstūṣṇīṃ daṇḍena rājadviṣṭakāriṇaśca abhikruddhāḥ+tān→abhikruddhāstān · ye janapade śūrāstyaktātmāno hastinaṃ vyālaṃ vā dravyahetoḥ pratiyodhayeyuste tīkṣṇāḥ śūrāḥ+tyakta→śūrāstyaktātmāno · ye janapade śūrāstyaktātmāno hastinaṃ vyālaṃ vā dravyahetoḥ pratiyodhayeyuste tīkṣṇāḥ pratiyodhayeyuḥ+te→pratiyodhayeyuste · teṣāṃ bāhyaṃ cāraṃ chattrabhṛṅgāravyajanapādukāsanayānavāhanopagrāhiṇas tīkṣṇā vidyuḥ upagrāhinaḥ→chattrabhṛṅgāravyajanapādukāsanayānavāhanopagrāhiṇas +tīkṣṇā
t a → d a	consonant / other	70	1.41	lobhād ailaścāturvarṇyam atyāhārayamāṇaḥ sauvīraścājabinduḥ lobhād+ailaḥ · mānād rāvaṇaḥ paradārān aprayacchan duryodhano rājyād aṃśaṃ ca rājyād+aṃśaṃ · yaugapadyāt tu karmaṇām anekatvād anekasthatvācca deśakālātyayo mā bhūd iti parokṣam amātyaiḥ kārayedityamātyakarma tvāt→anekatvād +aneka · tam arthamānābhyāṃ protsāhya mantrī brūyāt rājānaṃ māṃ ca pramāṇaṃ kṛtvā yasya yad akuśalaṃ paśyasi tat tadānīm eva pratyādiśa iti yad+akuśalaṃ
m bh → ṃ bh	anusvāra / nasal	68	1.37	sa vārttākarmapradiṣṭāyāṃ bhūmau prabhūtahiraṇyāntevāsī karma kārayet pradiṣṭāyām→vārttākarmapradiṣṭāyāṃ +bhūmau · sa kṛṣikarmapradiṣṭāyāṃ bhūmau iti samānaṃ pūrveṇa pradiṣṭāyām→kṛṣikarmapradiṣṭāyāṃ +bhūmau · sa vaṇikkarmapradiṣṭāyāṃ bhūmau iti samānaṃ pūrveṇa pradiṣṭāyām→vaṇikkarmapradiṣṭāyāṃ +bhūmau · taṃ bhikṣukyaḥ saṃsthāsvarpayeyuḥ taṃ+bhikṣukyaḥ
i a → y a	vowel coalescence	66	1.33	jayatyajitam atyantaṃ śāstrānugamaśastritam jayati+ajitam→jayatyajitam · ityarthopadhā iti+artha→ityarthopadhā · samedhāśāstibhiścābhigatānām aṅgavidyayā śiṣyasaṃjñābhiśca karmāṇyabhijane avasitānyādiśet alpalābham agnidāhaṃ corabhayaṃ dūṣyavadhaṃ tuṣṭidānaṃ videśapravṛttijñānam idam adya śvo vā bhaviṣyati idaṃ vā rājā kariṣyati iti karmāṇi+abhijane→karmāṇyabhijane · ye cāpy asaṃbandhino 'vaśyabhartavyāste lakṣaṇam aṅgavidyāṃ jambhakavidyāṃ māyāgatam āśramadharmaṃ nimittam antaracakram ityadhīyānāḥ sattriṇaḥ saṃsargavidyāṃ ca api→cāpy +a
m g → ṃ g	anusvāra / nasal	64	1.29	karmaphalācca sarvapravrajitānāṃ grāsācchādanāvasathān pratividadhyāt pravrajitānām→sarvapravrajitānāṃ +grāsa · tathāpyatuṣyato daṇḍakarasādhanādhikāreṇa janapadavidveṣaṃ grāhayet vidveṣam→janapadavidveṣaṃ +grāhayet · tair mantrayamāṇo hi mantrasiddhiṃ guptiṃ ca labhate iti siddhim→mantrasiddhiṃ +guptiṃ · aṭavyantapālapurarāṣṭramukhyaiśca pratisaṃsargaṃ gacchet pratisaṃsargaṃ+gacchet
ā a → ā	vowel coalescence	59	1.19	mantripurohitasakhaḥ sāmānyeṣvadhikaraṇeṣu sthāpayitvāmātyān upadhābhiḥ śodhayet sthāpayitvā+amātyān→sthāpayitvāmātyān · purohitam ayājyayājanādhyāpane niyuktam amṛṣyamāṇaṃ rājāvakṣipet rājā+avakṣipet→rājāvakṣipet · kāpaṭikaścātra pūrvāvaruddhasteṣām arthamānāvakṣiptam ekaikam amātyam upajapet asatpravṛtto 'yaṃ rājā sādhvenaṃ hatvānyaṃ pratipādayāmaḥ sarveṣām etad rocate kathaṃ vā tava iti hatvā+anyam→hatvānyaṃ · tathāpyatuṣyato daṇḍakarasādhanādhikāreṇa janapadavidveṣaṃ grāhayet tathā+api→tathāpyatuṣyato
ḥ a → r a	visarga	51	1.02	dharmādharmau trayyām arthānarthau vārttāyāṃ nayānayau daṇḍanītyāṃ balābale ca etāsāṃ hetubhir anvīkṣamāṇā lokasya upakaroti vyasane 'bhyudaye ca buddhim avasthāpayati prajñāvākyakriyāvaiśāradyaṃ ca karoti hetubhir+anvīkṣamāṇā · tadviruddhavṛttir avaśyendriyaś cāturanto api rājā sadyo vinaśyati vṛttiḥ→tadviruddhavṛttir +avaśya · harṣād vātāpir agastyam atyāsādayan vṛṣṇisaṃghaśca dvaipāyanam iti vātāpir+agastyam · sabandhurāṣṭrā rājāno vineśur ajitendriyāḥ vineśur+ajita
