rule	category	count	pct	examples
ḥ c → ś c	visarga	291	7.81	prathamacaramatayālpārdhakatipayanemāś ca nemāḥ→prathamacaramatayālpārdhakatipayanemāś +ca · taddhitaś ca asarvavibhaktiḥ taddhitaś+ca · avyayībhāvaś ca avyayībhāvaś+ca · vañciluñcyṛtaś ca ṛtaḥ→vañciluñcyṛtaś +ca
a a → ā	vowel coalescence	170	4.56	na padāntadvirvacanavareyalopasvarasavarṇānusvāradīrghajaścarvidhiṣu pada+anta→padāntadvirvacanavareyalopasvarasavarṇānusvāradīrghajaścarvidhiṣu · tatpuruṣaḥ samānādhikaraṇaḥ karmadhārayaḥ samāna+adhikaraṇaḥ→samānādhikaraṇaḥ · napuṃsakam anapuṃsakenaikavac cāsyānyatarasyām ca+asya→cāsyānyatarasyām · itaretarānyonyopapadāc ca itaretara+anyonya→itaretarānyonyopapadāc
a ā → ā	vowel coalescence	146	3.92	tulyāsyaprayatnaṃ savarṇam tulya+āsya→tulyāsyaprayatnaṃ · sarvādīni sarvanāmāni sarva+ādīni→sarvādīni · udupadhād bhāvādikarmaṇor anyatarasyām bhāva+ādi→bhāvādikarmaṇor · tasyādita udāttam ardhahrasvam tasya+āditaḥ→tasyādita
aḥ a → o a	visarga	145	3.89	halo 'nantarāḥ saṃyogaḥ laḥ→halo +'nantarāḥ · mukhanāsikāvacano 'nunāsikaḥ vacanaḥ→mukhanāsikāvacano +'nunāsikaḥ · midaco 'ntyātparaḥ caḥ→midaco +antyāt · alo 'ntyasya laḥ→alo +'ntyasya
t a → d a	consonant / other	99	2.66	arthavad adhātur apratyayaḥ prātipadikam arthavad+a · tad aśiṣyaṃ sañjñāpramāṇatvāt tad+a · ādarānādarayoḥ sadasatī sat+asatī→sadasatī · yāvad avadhāraṇe yāvad+avadhāraṇe
i a → y a	vowel coalescence	98	2.63	ādyantavad ekasmin ādi+anta→ādyantavad · ādyantau ṭakitau ādi+antau→ādyantau · yajñakarmaṇy ajapanyūṅkhasāmasu karmaṇi→yajñakarmaṇy +a · rucyarthānām prīyamāṇaḥ ruci+arthānām→rucyarthānām
ḥ a → r a	visarga	98	2.63	ādir antyena sahetā ādir+antyena · udupadhād bhāvādikarmaṇor anyatarasyām karmaṇoḥ→bhāvādikarmaṇor +anyatarasyām · devabrahmaṇor anudāttaḥ brahmaṇoḥ→devabrahmaṇor +anudāttaḥ · arthavad adhātur apratyayaḥ prātipadikam dhātuḥ→adhātur +a
t c → c c	consonant / other	82	2.2	halantāc ca antāt→halantāc +ca · napuṃsakam anapuṃsakenaikavac cāsyānyatarasyām vat→anapuṃsakenaikavac +ca · itaretarānyonyopapadāc ca upapadāt→itaretarānyonyopapadāc +ca · akarmakāc ca akarmakāc+ca
m c → ṃ c	anusvāra / nasal	72	1.93	indhibhavatibhyāṃ ca bhavatibhyām→indhibhavatibhyāṃ +ca · viśeṣaṇānāṃ ca ajāteḥ viśeṣaṇānāṃ+ca · phalgunīproṣṭhapadānāṃ ca nakṣatre proṣṭhapadānām→phalgunīproṣṭhapadānāṃ +ca · dīrghaṃ ca dīrghaṃ+ca
ḥ t → s t	visarga	65	1.75	taparas tatkālasya paraḥ→taparas +tad · yena vidhis tadantasya vidhis+tad · vṛddhir yasyācām ādis tadvṛddham ādis+tat · mṛṣas titikṣāyām mṛṣas+titikṣāyām
