rule	category	count	pct	examples
m k → ṃ k	anusvāra / nasal	50	6.93	etāvantam ahaṃ kālaṃ mohenaiva viḍambitaḥ ahaṃ+kālaṃ · araṇyam iva saṃvṛttaṃ kva ratiṃ karavāṇy aham saṃvṛttaṃ+kva · araṇyam iva saṃvṛttaṃ kva ratiṃ karavāṇy aham ratiṃ+karavāṇy · āścaryaṃ kāmam ākāṅkṣet kālam antam anuśritaḥ āścaryaṃ+kāmam
aḥ n → o n	visarga	41	5.68	asaṅgo nispṛhaḥ śānto bhramāt saṃsāravān iva asaṅgo+nispṛhaḥ · niḥsaṅgo niṣkriyo 'si tvaṃ svaprakāśo nirañjanaḥ niḥsaṅgo+niṣkriyo · nirapekṣo nirvikāro nirbharaḥ śītalāśayaḥ nirapekṣo+nirvikāro · nirapekṣo nirvikāro nirbharaḥ śītalāśayaḥ nirvikāro+nirbharaḥ
m v → ṃ v	anusvāra / nasal	37	5.12	tvayā vyāptam idaṃ viśvaṃ tvayi protaṃ yathārthataḥ idaṃ+viśvaṃ · sākāram anṛtaṃ viddhi nirākāraṃ tu niścalam anṛtaṃ+viddhi · ātmano na tathā bhinnaṃ viśvam ātmavinirgatam bhinnaṃ+viśvam · ātmatanmatram evedaṃ tadvad viśvaṃ vicāritam viśvaṃ+vicāritam
m n → ṃ n	anusvāra / nasal	32	4.43	nityaṃ nirantaraṃ brahma sarvabhūtagaṇe tathā nityaṃ+nirantaraṃ · tathā viśvaṃ mayi kﾱptaṃ mayā vyāptaṃ nirantaram vyāptaṃ+nirantaram · aho ahaṃ namo mahyaṃ vināśo yasya nāsti me ahaṃ+namo · aho ahaṃ namo mahyaṃ eko 'haṃ dehavān api ahaṃ+namo
aḥ a → o '	visarga	26	3.6	asaṅgo 'si nirākāro viśvasākṣī sukhī bhava asaṅgo+'si · dehābhimānapāśena ciraṃ baddho 'si putraka baddho+'si · niḥsaṅgo niṣkriyo 'si tvaṃ svaprakāśo nirañjanaḥ niṣkriyo+'si · ajñānād bhāti yatredaṃ so 'ham asmi nirañjanaḥ so+'ham
ḥ t → s t	visarga	26	3.6	ānandaparamānandaḥ sa bodhas tvaṃ sukhaṃ cara bodhas+tvaṃ · yathā na toyato bhinnās taraṅgāḥ phenabudbudāḥ bhinnās+taraṅgāḥ · dhīras tu bhojyamāno 'pi pīḍyamāno 'pi sarvadā dhīras+tu · na te saṅgo 'sti kenāpi kiṃ śuddhas tyaktum icchasi śuddhas+tyaktum
m t → ṃ t	anusvāra / nasal	26	3.6	tvayā vyāptam idaṃ viśvaṃ tvayi protaṃ yathārthataḥ viśvaṃ+tvayi · sākāram anṛtaṃ viddhi nirākāraṃ tu niścalam nirākāraṃ+tu · yathā prakāśayāmy eko deham enaṃ tathā jagat enaṃ+tathā · prakāśo me nijaṃ rūpaṃ nātirikto 'smy ahaṃ tataḥ ahaṃ+tataḥ
ḥ u → Ø u	visarga	22	3.05	janaka uvāca janaka+uvāca · aṣṭāvakra uvāca aṣṭāvakra+uvāca · janaka uvāca janaka+uvāca · aṣṭāvakra uvāca aṣṭāvakra+uvāca
m p → ṃ p	anusvāra / nasal	22	3.05	vairāgyaṃ ca kathaṃ prāptam etad brūhi mama prabho kathaṃ+prāptam · yadi dehaṃ pṛthak kṛtya citi viśrāmya tiṣṭhasi dehaṃ+pṛthak · kūṭasthaṃ bodham advaitam ātmānaṃ paribhāvaya ātmānaṃ+paribhāvaya · saśarīram aho viśvaṃ parityajya mayādhunā viśvaṃ+parityajya
m s → ṃ s	anusvāra / nasal	19	2.63	eṣāṃ sākṣiṇam ātmānaṃ cidrūpaṃ viddhi muktaye eṣāṃ+sākṣiṇam · ānandaparamānandaḥ sa bodhas tvaṃ sukhaṃ cara tvaṃ+sukhaṃ · viśvaṃ sphurati yatredaṃ taraṅgā iva sāgare viśvaṃ+sphurati · ceṣṭamānaṃ śarīraṃ svaṃ paśyaty anyaśarīravat śarīraṃ+svaṃ
