rule	category	count	pct	examples
a a → ā	vowel coalescence	2261	8.17	śarkarākṣo hiraṇyākṣo lokākṣaḥ paiṅgireva ca loka+akṣaḥ→lokākṣaḥ · vaikhānasā vālakhilyāstathā cānye maharṣayaḥ ca+anye→cānye · tapasastejasā dīptā hūyamānā ivāgnayaḥ iva+agnayaḥ→ivāgnayaḥ · dharmārthakāmamokṣāṇāmārogyaṃ mūlam uttamam dharma+artha→dharmārthakāmamokṣāṇāmārogyaṃ
m v → ṃ v	anusvāra / nasal	1165	4.21	athāto dīrghaṃjīvitīyam adhyāyaṃ vyākhyāsyāmaḥ adhyāyaṃ+vyākhyāsyāmaḥ · ahamarthe niyujyeyam atreti prathamaṃ vacaḥ prathamaṃ+vacaḥ · provāca vinayāddhīmān ṛṣīṇāṃ vākyam uttamam ṛṣīṇāṃ+vākyam · dīrghamāyuścikīrṣanto vedaṃ vardhanamāyuṣaḥ vedaṃ+vardhanam
m p → ṃ p	anusvāra / nasal	1159	4.19	brahmaṇā hi yathāproktam āyurvedaṃ prajāpatiḥ āyurvedaṃ+prajāpatiḥ · tadā bhūteṣvanukrośaṃ puraskṛtya maharṣayaḥ anukrośam→bhūteṣvanukrośaṃ +puraskṛtya · padairalpairmatiṃ buddhvā vipulāṃ paramarṣaye vipulāṃ+parama · trisūtraṃ śāśvataṃ puṇyaṃ bubudhe yaṃ pitāmahaḥ śāśvataṃ+puṇyaṃ
m s → ṃ s	anusvāra / nasal	1139	4.12	hetuliṅgauṣadhajñānaṃ svasthāturaparāyaṇam jñānam→hetuliṅgauṣadhajñānaṃ +svastha · atha bhelādayaś cakruḥ svaṃ svaṃ tantraṃ kṛtāni ca svaṃ+svaṃ · śrāvayāmāsur ātreyaṃ sarṣisaṃghaṃ sumedhasaḥ ātreyaṃ+sa · śrāvayāmāsur ātreyaṃ sarṣisaṃghaṃ sumedhasaḥ saṃgham→sarṣisaṃghaṃ +sumedhasaḥ
m c → ṃ c	anusvāra / nasal	1089	3.94	sukhopaviṣṭāste tatra puṇyāṃ cakruḥ kathāmimām puṇyāṃ+cakruḥ · sāmānyaṃ ca viśeṣaṃ ca guṇān dravyāṇi karma ca sāmānyaṃ+ca · sāmānyaṃ ca viśeṣaṃ ca guṇān dravyāṇi karma ca viśeṣaṃ+ca · samavāyaṃ ca tajjñātvā tantroktaṃ vidhimāsthitāḥ samavāyaṃ+ca
a ā → ā	vowel coalescence	891	3.22	iti ha smāha bhagavānātreyaḥ sma+āha→smāha · agastyo vāmadevaśca mārkaṇḍeyāśvalāyanau mārkaṇḍeya+āśvalāyanau→mārkaṇḍeyāśvalāyanau · viśvāmitrāśmarathyau ca bhārgavaścyavano'bhijit viśvāmitra+āśmarathyau→viśvāmitrāśmarathyau · so 'bhigamya jayāśīrbhirabhinandya sureśvaram jaya+āśīrbhiḥ→jayāśīrbhirabhinandya
a u → o	vowel coalescence	750	2.71	sukhopaviṣṭāste tatra puṇyāṃ cakruḥ kathāmimām sukha+upaviṣṭāḥ→sukhopaviṣṭāste · kaḥ syātteṣāṃ śamopāya ityuktvā dhyānamāsthitāḥ śama+upāyaḥ→śamopāya · sa vakṣyati śamopāyaṃ yathāvad amaraprabhuḥ śama+upāyam→śamopāyaṃ · tadbrūhi me śamopāyaṃ yathāvadamaraprabho śama+upāyam→śamopāyaṃ
m t → ṃ t	anusvāra / nasal	727	2.63	so 'nantapāraṃ triskandhamāyurvedaṃ mahāmatiḥ pāram→'nantapāraṃ +tri · ṛṣibhyo'nadhikaṃ tacca śaśaṃsānavaśeṣayan anadhikam→ṛṣibhyo'nadhikaṃ +tat · atha bhelādayaś cakruḥ svaṃ svaṃ tantraṃ kṛtāni ca svaṃ+tantraṃ · sa pumāṃścetanaṃ tacca taccādhikaraṇaṃ smṛtam cetanam→pumāṃścetanaṃ +tat
ḥ c → ś c	visarga	655	2.37	aṅgirā jamadagniśca vasiṣṭhaḥ kaśyapo bhṛguḥ jamadagniḥ+ca→jamadagniśca · agastyo vāmadevaśca mārkaṇḍeyāśvalāyanau vāmadevaḥ+ca→vāmadevaśca · sāṃkṛtyo baijavāpiśca kuśiko bādarāyaṇaḥ baijavāpiḥ+ca→baijavāpiśca · śaunakaḥ śākuneyaśca maitreyo maimatāyaniḥ śākuneyaḥ+ca→śākuneyaśca
m k → ṃ k	anusvāra / nasal	653	2.36	atha bhelādayaś cakruḥ svaṃ svaṃ tantraṃ kṛtāni ca tantraṃ+kṛtāni · ityuktaṃ kāraṇaṃ kāryaṃ dhātusāmyamihocyate kāraṇaṃ+kāryaṃ · ityuktaṃ kāraṇaṃ kāryaṃ dhātusāmyamihocyate uktam→ityuktaṃ +kāraṇaṃ · tathā sukhānāṃ yogastu sukhānāṃ kāraṇaṃ samaḥ sukhānāṃ+kāraṇaṃ
m m → ṃ m	anusvāra / nasal	520	1.88	dharmārthakāmamokṣāṇāmārogyaṃ mūlam uttamam ārogyam→dharmārthakāmamokṣāṇāmārogyaṃ +mūlam · so 'nantapāraṃ triskandhamāyurvedaṃ mahāmatiḥ āyurvedam→triskandhamāyurvedaṃ +mahāmatiḥ · buddher viśeṣas tatrāsīnnopadeśāntaraṃ muneḥ antaram→tatrāsīnnopadeśāntaraṃ +muneḥ · tasyāyuṣaḥ puṇyatamo vedo vedavidāṃ mataḥ vidām→vedavidāṃ +mataḥ
i a → y a	vowel coalescence	501	1.81	praśāmyatyauṣadhaiḥ pūrvo daivayuktivyapāśrayaiḥ praśāmyati+auṣadhaiḥ→praśāmyatyauṣadhaiḥ · aṣṭau mūtrāṇi saṃkhyātānyaṣṭāveva payāṃsi ca saṃkhyātāni+aṣṭa→saṃkhyātānyaṣṭāveva · daśa yānyavaśiṣṭāni tānyuktāni virecane yāni+avaśiṣṭāni→yānyavaśiṣṭāni · uktāni lavaṇānyūrdhvaṃ mūtrāṇyaṣṭau nibodha me mūtrāṇi+aṣṭa→mūtrāṇyaṣṭau
ḥ t → s t	visarga	486	1.76	ṛṣiprokto bharadvājas tasmācchakram upāgamat bharadvājas+tasmāt · vaikhānasā vālakhilyāstathā cānye maharṣayaḥ vālakhilyāḥ+tathā→vālakhilyāstathā · tapasastejasā dīptā hūyamānā ivāgnayaḥ tapasaḥ+tejasā→tapasastejasā · rogāstasyāpahartāraḥ śreyaso jīvitasya ca rogāḥ+tasya→rogāstasyāpahartāraḥ
