rule	category	count	pct	examples
a a → ā	vowel coalescence	35	8.22	vyaktānurāgam iva khelatanaṅgakhedasvedāmbupūram anupūrayatu priyam vaḥ vyakta+anurāgam→vyaktānurāgam · adya utsaṅgavasadbhujaṅgakavalakleśāt iva īśācalam prāleyaplavanecchayā anusarati śrīkhaṇḍaśailānilaḥ īśa+acalam→īśācalam · kṛtaparirambhaṇacumbanayā parirabhya kṛtādharapānam kṛta+adharapānam→kṛtādharapānam · kṛtānutāpaḥ sa kalindanandinītaṭāntakuñje viṣasāda mādhavaḥ kṛta+anutāpaḥ→kṛtānutāpaḥ
a ā → ā	vowel coalescence	34	7.98	vahasi vapuṣi viśade vasanam jaladābham halahatibhītimilitayamunābham jalada+ābham→jaladābham · paulastyam jayate halam kalayate kāruṇyam ātanvate mlecchān mūrchayate daśākṛtikṛte kṛṣṇāya tubhyam namaḥ daśa+ākṛti→daśākṛtikṛte · madhumuranarakavināśana garuḍāsana e garuḍa+āsanaḥ→garuḍāsana · alasanimīlitalocanayā pulakāvalilalitakapolam pulaka+āvali→pulakāvalilalitakapolam
iḥ h → Ø h	visarga	27	6.34	keśava dhṛtamīnaśarīra jaya jagadīśa hare jagadīśa+hare · keśava dhṛtakacchaparūpa jaya jagadīśa hare jagadīśa+hare · keśava dhṛtaśūkararūpa jaya jagadīśa hare jagadīśa+hare · keśava dhṛtanaraharirūpa jaya jagadīśa hare jagadīśa+hare
iḥ j → Ø j	visarga	20	4.69	keśava dhṛtamīnaśarīra jaya jagadīśa hare śarīraiḥ→dhṛtamīnaśarīra +jaya · keśava dhṛtakacchaparūpa jaya jagadīśa hare rūpaiḥ→dhṛtakacchaparūpa +jaya · keśava dhṛtaśūkararūpa jaya jagadīśa hare rūpaiḥ→dhṛtaśūkararūpa +jaya · keśava dhṛtanaraharirūpa jaya jagadīśa hare rūpaiḥ→dhṛtanaraharirūpa +jaya
iḥ m → Ø m	visarga	20	4.69	pāṇau mā kuru cūtasāyakam amum mā cāpam āropaya krīḍānirjitaviśva mūrchitajanāghātena kim pauruṣam viśvaiḥ→krīḍānirjitaviśva +mūrchita · sā virahe tava dīnā mādhava manasijaviśikhabhayāt iva bhāvanayā tvayi līnā mādhava+manasija · sā virahe tava dīnā mādhava manasijaviśikhabhayāt iva bhāvanayā tvayi līnā mādhava+manasija · sā virahe tava dīnā mādhava manasijaviśikhabhayāt iva bhāvanayā tvayi līnā mādhava+manasija
iḥ y → Ø y	visarga	16	3.76	harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam mādhava+yāhi · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam locanaiḥ→sarasīruhalocana +yā · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam mādhava+yāhi · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam locanaiḥ→sarasīruhalocana +yā
e k → ava k	consonant / other	14	3.29	tava karakamalavare nakham adbhutaśṛṅgam dalitahiraṇyakaśiputanubhṛṅgam tava+kara · moham tāvat ayam ca tanvi tanutām bimbādharaḥ rāgavān sadvṛttastanamaṇḍalaḥ tava katham prāṇaiḥ mama krīḍati tava+katham · rādhikā virahe tava keśava tava+keśava · rādhikā virahe tava keśava tava+keśava
ā a → ā	vowel coalescence	13	3.05	kāpi vilāsavilolavilocanakhelanajanitamanojam kā+api→kāpi · kāpi kapolatale militā lapitum kimapi śrutimūle kā+api→kāpi · kāpi harim anubhavati kṛtasukṛtakāminī kā+api→kāpi · viśaṅkamānā ramitam kayāpi janārdanam dṛṣṭavat etat āha kayā+api→kayāpi
a u → o	vowel coalescence	12	2.82	śṛṅgārottarasatprameyaracanaiḥ ācāryagovardhanaspardhī ko 'pi na viśrutaḥ śrutidharaḥ dhoyī kavikṣmāpatiḥ śṛṅgāra+uttara→śṛṅgārottarasatprameyaracanaiḥ · viśveṣām anurañjanena janayan ānandam indīvaraśreṇīśyāmalakomalaiḥ upanayan aṅgaiḥ anaṅgotsavam anaṅga+utsavam→anaṅgotsavam · kiṃca snigdharasālamaulimukulāni ālokya harṣodayāt unmīlanti kuhūḥ kuhūḥ iti kalottālāḥ pikānām giraḥ harṣa+udayāt→harṣodayāt · kiṃca snigdharasālamaulimukulāni ālokya harṣodayāt unmīlanti kuhūḥ kuhūḥ iti kalottālāḥ pikānām giraḥ kala+uttālāḥ→kalottālāḥ
iḥ dh → Ø dh	visarga	12	2.82	keśava dhṛtamīnaśarīra jaya jagadīśa hare keśava+dhṛta · keśava dhṛtakacchaparūpa jaya jagadīśa hare keśava+dhṛta · keśava dhṛtaśūkararūpa jaya jagadīśa hare keśava+dhṛta · keśava dhṛtanaraharirūpa jaya jagadīśa hare keśava+dhṛta
e v → ava v	consonant / other	10	2.35	tava virahe vanamālī sakhi sīdati tava+virahe · tava virahe vanamālī sakhi sīdati tava+virahe · tava virahe vanamālī sakhi sīdati tava+virahe · tava virahe vanamālī sakhi sīdati tava+virahe
e h → ava h	consonant / other	10	2.35	harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam tava+harati · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam tava+harati · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam tava+harati · caraṇakamalagaladalaktakasiktam idam tava hṛdayam udāram tava+hṛdayam
t a → d a	consonant / other	8	1.88	sphuradatimuktalatāparirambhaṇamukulitapulakitacūte vṛndāvanavipine parisaraparigatayamunājalapūte sphurat+atimukta→sphuradatimuktalatāparirambhaṇamukulitapulakitacūte · saṃcaradadharasudhāmadhuradhvanimukharitamohanavaṃśam saṃcarat+adhara→saṃcaradadharasudhāmadhuradhvanimukharitamohanavaṃśam · aviralanipatitamadanaśarāt iva bhavadavanāya viśālam bhavat+avanāya→bhavadavanāya · daśanapadam bhavadadharagatam mama janayati cetasi khedam bhavat+adhara→bhavadadharagatam
e d → ava d	consonant / other	8	1.88	sā virahe tava dīnā mādhava manasijaviśikhabhayāt iva bhāvanayā tvayi līnā tava+dīnā · sā virahe tava dīnā mādhava manasijaviśikhabhayāt iva bhāvanayā tvayi līnā tava+dīnā · sā virahe tava dīnā mādhava manasijaviśikhabhayāt iva bhāvanayā tvayi līnā tava+dīnā · sā virahe tava dīnā mādhava manasijaviśikhabhayāt iva bhāvanayā tvayi līnā tava+dīnā
e y → ihari y	consonant / other	8	1.88	harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam hare→harihari +yāhi · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam hare→harihari +yāhi · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam hare→harihari +yāhi · harihari yāhi mādhava yāhi keśava mā vada kaitavavādam tām anusara sarasīruhalocana yā tava harati viṣādam hare→harihari +yāhi
m _ → m aye	anusvāra / nasal	8	1.88	mādhave mā kuru mānini mānam aye mānam+aye · mādhave mā kuru mānini mānam aye mānam+aye · mādhave mā kuru mānini mānam aye mānam+aye · mādhave mā kuru mānini mānam aye mānam+aye
h → hari h	consonant / other	7	1.64	harihari hatādaratayā gatā sā kupitā iva hari→harihari +hata · harihari hatādaratayā gatā sā kupitā iva hari→harihari +hata · harihari hatādaratayā gatā sā kupitā iva hari→harihari +hata · harihari hatādaratayā gatā sā kupitā iva hari→harihari +hata
iḥ p → Ø p	visarga	5	1.17	chalayasi vikramaṇe balim adbhutavāmana padanakhanīrajanitajanapāvana vāmanaiḥ→adbhutavāmana +pada · āśleṣāt anu cumbanāt anu nakhollekhāt anu svāntaja prodbodhāt anu saṃbhramāt anu ratārambhāt anu prītayoḥ jaiḥ→svāntaja +prodbodhāt · manobhavānandana candanānila prasīda re dakṣiṇa muñca vāmatām anilaiḥ→candanānila +prasīda · bādhām vidhehi malayānila pañcabāṇa prāṇān gṛhāṇa na gṛham punaḥ āśrayiṣye pañcabāṇa+prāṇān
iḥ v → Ø v	visarga	5	1.17	vimuktabādhām kuruṣe na rādhām upendra vajrāt api dāruṇaḥ asi upendra+vajrāt · tava kitava vidhāya amandakandarpacintām rasajaladhinimagnā dhyānalagnā mṛgākṣī kitava+vidhāya · kṣaṇam jagatprāṇa vidhāya mādhavaṃ puraḥ mama prāṇaharaḥ bhaviṣyasi jagatprāṇa+vidhāya · vihitakalaṅkakalam kamalānana viśramitaśramaśīkare ānanaiḥ→kamalānana +viśramita
s t → ḥ t	consonant / other	4	0.94	itaḥ tataḥ tām anusṛtya rādhikām anaṅgabāṇavraṇakhinnamānasaḥ itaḥ+tataḥ · itaḥ tataḥ tām anusṛtya rādhikām anaṅgabāṇavraṇakhinnamānasaḥ tataḥ+tām · dhyāyan tvām aniśam japan api tava eva ālāpamantrāvalīm bhūyaḥ tvatkucakumbhanirbharaparīrambhāmṛtam vāñchati bhūyaḥ+tvad · nāsā abhyeti tilaprasūnapadavīm kundābhadanti priye prāyaḥ tvanmukhasevayā vijayate viśvam saḥ puṣpāyudhaḥ prāyaḥ+tvad
iḥ t → Ø t	visarga	4	0.94	pratipadam idam api nigadati mādhava tava caraṇe patitā aham mādhava+tava · smarāturām daivatavaidyahṛdya tvadaṅgasaṅgāmṛtamātrasādhyām hṛdyaiḥ→daivatavaidyahṛdya +tvad · daśanavasanam aruṇam tava kṛṣṇa tanoti tanoḥ anurūpam kṛṣṇa+tanoti · mama adya prakhyātapraṇayabharabhaṅgena kitava tvadālokaḥ śokād api kim api lajjām janayati kitava+tvad
i a → y a	vowel coalescence	3	0.7	ittham nandanideśataḥ calitayoḥ pratyadhvakuñjadrumam rādhāmādhavayoḥ jayanti yamunākūle rahaḥkelayaḥ prati+adhva→pratyadhvakuñjadrumam · sā mām drakṣyati vakṣyati smarakathām pratyaṅgam āliṅganaiḥ prītim yāsyati raṃsyate sakhi samāgatya iti cintākulaḥ prati+aṅgam→pratyaṅgam · dhūrtānām abhisārasatvarahṛdām viṣvaknikuñje sakhi dhvāntam nīlanicolacāru sudṛśām pratyaṅgam āliṅgati prati+aṅgam→pratyaṅgam
d a → t a	consonant / other	3	0.7	kelikalākutukena ca kācit amum yamunājalakūle kācit+amum · kvacit api latākuñje guñjanmadhuvratamaṇḍalī mukharaśikhare līnā dīnā api uvāca rahaḥ sakhīm kvacit+api · vadasi yadi kiṃcit api dantarucikaumudī harati daratimiram atighoram kiṃcit+api
s p → ḥ p	consonant / other	3	0.7	svacchandam vrajasundarībhiḥ abhitaḥ pratiaṅgam āliṅgitaḥ śṛṅgāraḥ sakhi mūrtimān iva madhau mugdhaḥ hariḥ krīḍati abhitaḥ+prati · dhyānalayena puraḥ parikalpya bhavantam atīva durāpam puraḥ+parikalpya · aṅgeṣu ābharaṇam karoti bahuśaḥ patre api saṃcāriṇi prāptam tvām pariśaṅkate vitanute śayyām ciram dhyāyati bahuśaḥ+patre
