rule	category	count	pct	examples
a a → ā	vowel coalescence	2303	6.49	sūryaprabhābhidhānaśca lambakaḥ syādathāṣṭamaḥ sūryaprabha+abhidhānaḥ→sūryaprabhābhidhānaśca · alaṃkaravatī cātha tataḥ śaktiyaśā bhavet ca+atha→cātha · aucityānvayarakṣā ca yathāśakti vidhīyate aucitya+anvaya→aucityānvayarakṣā · kathārasāvighātena kāvyāṃśasya ca yojanā kāvya+aṃśasya→kāvyāṃśasya
m t → ṃ t	anusvāra / nasal	1664	4.69	yathā mūlaṃ tathaivaitanna manāgapyatikramaḥ mūlaṃ+tathā · yadbhavānī sutābhāvaṃ trijagajjananī gatā bhāvam→sutābhāvaṃ +trijagat · uttaraṃ tasya śikharaṃ kailāsākhyo mahāgiriḥ uttaraṃ+tasya · ahaṃ tvayatnāditi yo hasatīva svakāntibhiḥ ahaṃ+tu
m s → ṃ s	anusvāra / nasal	1407	3.97	yojanānāṃ sahasrāṇi bahūnyākramya tiṣṭhati yojanānāṃ+sahasrāṇi · ityuvāca giraṃ so 'tha tvatkarṇaviṣasūcikām giraṃ+so · vidyādharāṇāṃ saptānāmapūrvaṃ caritādbhutam vidyādharāṇāṃ+saptānām · atha jātu yāti kāle gaurī papraccha śaṃkaraṃ sadayā śaṃkaraṃ+sa
m p → ṃ p	anusvāra / nasal	1168	3.29	asti māmīkṣituṃ pūrvaṃ brahmā nārāyaṇastathā īkṣitum→māmīkṣituṃ +pūrvaṃ · tasyāntamīkṣituṃ prāyādeka ūrdhvamadho 'paraḥ īkṣitum→tasyāntamīkṣituṃ +prāyāt · sa mahyaṃ bhavatīṃ prādāddharmādibhyo 'parāśca tāḥ bhavatīṃ+prādāt · niruddhe nandinā dvāre haro vaktuṃ pracakrame vaktuṃ+pracakrame
ḥ t → s t	visarga	1118	3.15	carācaragurus tatra nivasatyambikāsakhaḥ guruḥ→carācaragurus +tatra · stutibhistoṣayāmāsa bhavānīpatimīśvaram stutibhiḥ+toṣayāmāsa→stutibhistoṣayāmāsa · tasyāḥ stutivacohṛṣṭas tām aṅkam adhiropya saḥ hṛṣṭaḥ→stutivacohṛṣṭas +tām · asti māmīkṣituṃ pūrvaṃ brahmā nārāyaṇastathā nārāyaṇaḥ+tathā→nārāyaṇastathā
ā a → ā	vowel coalescence	1047	2.95	mahābhiṣekānugatastataḥ syātpañcalambakaḥ mahā+abhiṣeka→mahābhiṣekānugatastataḥ · devi tvaṃ ca tathānyāśca bahvyo 'jāyanta kanyakāḥ tathā+anyāḥ→tathānyāśca · śrutvātha gatvā bhāryāyai jayāyai so 'pyavarṇayat śrutvā+atha→śrutvātha · sāpi tadvismayāviṣṭā gatvā girisutāgrataḥ sā+api→sāpi
a ā → ā	vowel coalescence	1023	2.88	kiṃ na bhartā mamāhūtastvayā tātocyatāmiti mama+āhūtaḥ→mamāhūtastvayā · ityuktvā virate śaṃbhau devī kopākulābravīt kopa+ākulā→kopākulābravīt · anyac ca mālyavān api nagaravare supratiṣṭhitākhye saḥ supratiṣṭhita+ākhye→supratiṣṭhitākhye · tapasārādhitā devī svapnādeśena sā ca tam svapna+ādeśena→svapnādeśena
m v → ṃ v	anusvāra / nasal	938	2.65	gaṅgāṃ vahannamansaṃdhyāṃ vijito 'si na kiṃ mama gaṅgāṃ+vahan · gaṅgāṃ vahannamansaṃdhyāṃ vijito 'si na kiṃ mama saṃdhyām→vahannamansaṃdhyāṃ +vijito · praviṣṭaḥ śrutavānsarvaṃ varṇyamānaṃ pinākinā sarvam→śrutavānsarvaṃ +varṇyamānaṃ · ko hi vittaṃ rahasyaṃ vā strīṣu śaknoti gūhitum rahasyaṃ+vā
m c → ṃ c	anusvāra / nasal	895	2.52	naravāhanadattasya jananaṃ ca tataḥ param jananaṃ+ca · kiṃ ca me pūrvajāyā tvamityuktavati śaṃkare kiṃ+ca · devi tvaṃ ca tathānyāśca bahvyo 'jāyanta kanyakāḥ tvaṃ+ca · pitā tvāṃ ca niyuṅkte sma śuśrūṣāyai mamātitheḥ tvāṃ+ca
aḥ a → o '	visarga	854	2.41	tataḥ provāca girijā prasanno 'si yadi prabho prasanno+'si · devi tvaṃ ca tathānyāśca bahvyo 'jāyanta kanyakāḥ bahvyo+'jāyanta · yajñe kadācidāhūtāstena jāmātaro 'khilāḥ jāmātaro+'khilāḥ · ityuvāca giraṃ so 'tha tvatkarṇaviṣasūcikām so+'tha
