rule	category	count	pct	examples
a a → ā	vowel coalescence	105	6.78	iha śiṣṭānuśiṣṭānāṃ śiṣṭānām api sarvathā śiṣṭa+anuśiṣṭānām→śiṣṭānuśiṣṭānāṃ · sargabandhāṃśarūpatvād anuktaḥ padyavistaraḥ sargabandha+aṃśa→sargabandhāṃśarūpatvād · nagarārṇavaśailartucandrārkodayavarṇanaiḥ nagara+arṇava→nagarārṇavaśailartucandrārkodayavarṇanaiḥ · svaguṇāviṣkriyā doṣo nātra bhūtārthaśaṃsinaḥ na+atra→nātra
a ā → ā	vowel coalescence	62	4.01	yadi śabdāhvayaṃ jyotir āsaṃsāraṃ na dīpyate śabda+āhvayam→śabdāhvayaṃ · bhedaś ca dṛṣṭo lambhādir ucchvāso vāstu kiṃ tataḥ lambha+ādiḥ→lambhādir · atraivāntarbhaviṣyanti śeṣāś cākhyānajātayaḥ ca+ākhyāna→cākhyānajātayaḥ · miśrāṇi nāṭakādīni teṣām anyatra vistaraḥ nāṭaka+ādīni→nāṭakādīni
i a → y a	vowel coalescence	53	3.42	nyūnam apy atra yaiḥ kaiścid aṅgaiḥ kāvyaṃ na duṣyati apy+atra · api tv aniyamo dṛṣṭas tatrāpy anyair udīraṇāt api→tatrāpy +anyair · gadyapadyamayī kācit campūr ity abhidhīyate ity+abhidhīyate · tadbhavas tatsamo deśīty anekaḥ prākṛtakramaḥ iti→deśīty +anekaḥ
m t → ṃ t	anusvāra / nasal	45	2.91	idam andhaṃ tamaḥ kṛtsnaṃ jāyeta bhuvanatrayam andhaṃ+tamaḥ · śarīraṃ tāvadiṣṭārthavyavacchinnā padāvalī śarīraṃ+tāvat · guṇataḥ prāg upanyasya nāyakaṃ tena vidviṣām nāyakaṃ+tena · bhedaś ca dṛṣṭo lambhādir ucchvāso vāstu kiṃ tataḥ kiṃ+tataḥ
a u → o	vowel coalescence	38	2.45	tad alpam api nopekṣyaṃ kāvye duṣṭaṃ kathaṃcana na+upekṣyam→nopekṣyaṃ · caturvargaphalāyattaṃ caturodāttanāyakam catura+udātta→caturodāttanāyakam · vipralambhair vivāhaiś ca kumārodayavarṇanaiḥ kumāra+udaya→kumārodayavarṇanaiḥ · kāvyaṃ kalpottarasthāyi jāyate sadalaṃkṛti kalpa+uttara→kalpottarasthāyi
ḥ t → s t	visarga	37	2.39	chandovicityāṃ sakalas tatprabandho nidarśitaḥ sakalas+tad · api tv aniyamo dṛṣṭas tatrāpy anyair udīraṇāt dṛṣṭas+tatra · tadbhavas tatsamo deśīty anekaḥ prākṛtakramaḥ tadbhavas+tatsamo · anuprāsadhiyā gauḍais tad iṣṭaṃ bandhagauravāt gauḍais+tad
m k → ṃ k	anusvāra / nasal	36	2.33	tad alpam api nopekṣyaṃ kāvye duṣṭaṃ kathaṃcana duṣṭaṃ+kathaṃcana · tad alpam api nopekṣyaṃ kāvye duṣṭaṃ kathaṃcana upekṣyam→nopekṣyaṃ +kāvye · sā vidyā naur vivikṣūṇāṃ gambhīraṃ kāvyasāgaram gambhīraṃ+kāvya · muktakaṃ kulakaṃ kośaḥ saṃghāta iti tādṛśaḥ muktakaṃ+kulakaṃ
m v → ṃ v	anusvāra / nasal	33	2.13	guṇadoṣān aśāstrajñaḥ kathaṃ vibhajate naraḥ kathaṃ+vibhajate · ataḥ prajānāṃ vyutpattim abhisaṃdhāya sūrayaḥ prajānāṃ+vyutpattim · vācāṃ vicitramārgāṇāṃ nibabandhuḥ kriyāvidhim vācāṃ+vicitra · anyo vaktā svayaṃ veti kīdṛg vā bhedalakṣaṇam svayaṃ+vā
m p → ṃ p	anusvāra / nasal	32	2.07	ādirājayaśobimbam ādarśaṃ prāpya vāṅmayam ādarśaṃ+prāpya · teṣām asaṃnidhāne 'pi na svayaṃ paśya naśyati svayaṃ+paśya · duṣprayuktā punar gotvaṃ prayoktuḥ saiva śaṃsati tvam→gotvaṃ +prayoktuḥ · tad etad vāṅmayaṃ bhūyaḥ saṃskṛtaṃ prākṛtaṃ tathā saṃskṛtaṃ+prākṛtaṃ
i e → y e	vowel coalescence	32	2.07	nirākaraṇam ity eṣa mārgaḥ prakṛtisundaraḥ ity+eṣa · tat kathākhyāyikety ekā jātiḥ saṃjñādvayāṅkitā iti→kathākhyāyikety +ekā · yāti prākṛtam ity evaṃ vyavahāreṣu saṃnidhim ity+evaṃ · gṛhāṇi nāma tāny eva taporāśir bhavādṛśaḥ tāny+eva
