rule	category	count	pct	examples
a a → ā	vowel coalescence	23014	5.91	nārāyaṇasyāṃśajam ekaputraṃ dvaipāyanaṃ vedanidhiṃ namāmi nārāyaṇasya+aṃśa→nārāyaṇasyāṃśajam · pārāśaryavacaḥsarojam amalaṃ gītārthagandhotkaṭaṃ nānākhyānakakesaraṃ harikathāsambodhanābodhitam gīta+artha→gītārthagandhotkaṭaṃ · vāgīśādyāḥ sumanasaḥ sarvārthānām u... sarva+arthānām→sarvārthānām · śuklāmbaradharaṃ devaṃ śaśivarṇaṃ caturbhujam śukla+ambara→śuklāmbaradharaṃ
m p → ṃ p	anusvāra / nasal	15052	3.87	yasyāsyakamalakośe vāṅmayam amṛtaṃ pibati lokaḥ amṛtaṃ+pibati · pitāmahādyaṃ pravadanti ṣaṣṭhaṃ maharṣim akṣayyavibhūtiyuktam ādyam→pitāmahādyaṃ +pravadanti · pāpaṃ praṇaśyati vṛkodarakīrtanena pāpaṃ+praṇaśyati · evaṃ pṛṣṭo 'bravīt samyag yathāvallomaharṣaṇiḥ evaṃ+pṛṣṭo
ḥ t → s t	visarga	12503	3.21	.. tvā kṛtakṛtyāḥ syus taṃ namāmi gajānanam syus+taṃ · athāpṛcchad ṛṣis tatra kaścit prastāvayan kathāḥ ṛṣis+tatra · kuta āgamyate saute kva cāyaṃ vihṛtas tvayā vihṛtas+tvayā · vākyaṃ vacanasampannas teṣāṃ tu caritāśrayam sampannaḥ→vacanasampannas +teṣāṃ
m s → ṃ s	anusvāra / nasal	12210	3.14	jñānānandamayaṃ devaṃ nirmalaṃ sphaṭikākṛtim nirmalaṃ+sphaṭika · ādhāraṃ sarvavidyānāṃ hayagrīvam upāsmahe ādhāraṃ+sarva · nārāyaṇaṃ suraguruṃ jagadekanāthaṃ bhaktapriyaṃ sakalalokanamaskṛtaṃ ca nārāyaṇaṃ+suraguruṃ · nārāyaṇaṃ suraguruṃ jagadekanāthaṃ bhaktapriyaṃ sakalalokanamaskṛtaṃ ca priyam→bhaktapriyaṃ +sakala
m t → ṃ t	anusvāra / nasal	12167	3.12	parāśarātmajaṃ vande śukatātaṃ taponidhim tātam→śukatātaṃ +tapas · sukhāsīnaṃ tatas taṃ tu viśrāntam upalakṣya ca taṃ+tu · sukhāsīnaṃ tatas taṃ tu viśrāntam upalakṣya ca āsīnam→sukhāsīnaṃ +tatas · vākyaṃ vacanasampannas teṣāṃ tu caritāśrayam teṣāṃ+tu
ḥ c → ś c	visarga	11553	2.97	apṛcchat sa tapovṛddhiṃ sadbhiścaivābhinanditaḥ sadbhiḥ+ca→sadbhiścaivābhinanditaḥ · surair brahmarṣibhiścaiva śrutvā yad abhipūjitam brahmarṣibhiḥ+ca→brahmarṣibhiścaiva · vedaiś caturbhiḥ samitāṃ vyāsasyādbhutakarmaṇaḥ vedaiś+caturbhiḥ · vistaraiśca samāsaiśca dhāryate yad dvijātibhiḥ vistaraiḥ+ca→vistaraiśca
m v → ṃ v	anusvāra / nasal	11370	2.92	nārāyaṇasyāṃśajam ekaputraṃ dvaipāyanaṃ vedanidhiṃ namāmi dvaipāyanaṃ+veda · vyāsaṃ vasiṣṭhanaptāraṃ śakteḥ pautram akalmaṣam vyāsaṃ+vasiṣṭha · parāśarātmajaṃ vande śukatātaṃ taponidhim ātmajam→parāśarātmajaṃ +vande · pārāśaryaḥ parvasu rūpaṃ vivṛṇotu rūpaṃ+vivṛṇotu
m c → ṃ c	anusvāra / nasal	10920	2.8	śuklāmbaradharaṃ devaṃ śaśivarṇaṃ caturbhujam varṇam→śaśivarṇaṃ +catur · nārāyaṇaṃ suraguruṃ jagadekanāthaṃ bhaktapriyaṃ sakalalokanamaskṛtaṃ ca namaskṛtam→sakalalokanamaskṛtaṃ +ca · nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam naraṃ+ca · devīṃ sarasvatīṃ caiva tato jayam udīrayet sarasvatīṃ+ca
m k → ṃ k	anusvāra / nasal	8321	2.14	bhūyād bhāratapaṅkajaṃ kalimalapradhvaṃsi naḥ śreyase paṅkajam→bhāratapaṅkajaṃ +kali · pāṇḍavānāṃ kurūṇāṃ ca sarveṣāṃ ca mahīkṣitām pāṇḍavānāṃ+kurūṇāṃ · pravakṣyāmi mataṃ kṛtsnaṃ vyāsasyāmitatejasaḥ mataṃ+kṛtsnaṃ · avyaktaṃ kāraṇaṃ sūkṣmaṃ yat tat sadasadātmakam avyaktaṃ+kāraṇaṃ
m m → ṃ m	anusvāra / nasal	8035	2.06	pitāmahādyaṃ pravadanti ṣaṣṭhaṃ maharṣim akṣayyavibhūtiyuktam ṣaṣṭhaṃ+mahā · loke sajjanaṣaṭpadair aharahaḥ pepīyamānaṃ mudā pepīyamānaṃ+mudā · śrutaṃ me bhāratākhyānaṃ dharmakāmārthamokṣadam śrutaṃ+me · ṛṣīṇām agratas tatra dharmiṣṭhānāṃ mahātmanām dharmiṣṭhānāṃ+mahātmanām
a ā → ā	vowel coalescence	7424	1.91	yasyāsyakamalakośe vāṅmayam amṛtaṃ pibati lokaḥ yasya+āsya→yasyāsyakamalakośe · pitāmahādyaṃ pravadanti ṣaṣṭhaṃ maharṣim akṣayyavibhūtiyuktam pitāmaha+ādyam→pitāmahādyaṃ · vāgīśādyāḥ sumanasaḥ sarvārthānām u... vāgīśa+ādyāḥ→vāgīśādyāḥ · parāśarātmajaṃ vande śukatātaṃ taponidhim parāśara+ātmajam→parāśarātmajaṃ
m n → ṃ n	anusvāra / nasal	6731	1.73	nārāyaṇasyāṃśajam ekaputraṃ dvaipāyanaṃ vedanidhiṃ namāmi nidhim→vedanidhiṃ +namāmi · pārāśaryavacaḥsarojam amalaṃ gītārthagandhotkaṭaṃ nānākhyānakakesaraṃ harikathāsambodhanābodhitam utkaṭam→gītārthagandhotkaṭaṃ +nānā · .. tvā kṛtakṛtyāḥ syus taṃ namāmi gajānanam taṃ+namāmi · jñānānandamayaṃ devaṃ nirmalaṃ sphaṭikākṛtim devaṃ+nirmalaṃ
m d → ṃ d	anusvāra / nasal	6249	1.6	nārāyaṇasyāṃśajam ekaputraṃ dvaipāyanaṃ vedanidhiṃ namāmi putram→ekaputraṃ +dvaipāyanaṃ · śuklāmbaradharaṃ devaṃ śaśivarṇaṃ caturbhujam dharam→śuklāmbaradharaṃ +devaṃ · jñānānandamayaṃ devaṃ nirmalaṃ sphaṭikākṛtim mayam→jñānānandamayaṃ +devaṃ · samantapañcakaṃ nāma puṇyaṃ dvijaniṣevitam puṇyaṃ+dvija
a e → ai	vowel coalescence	6205	1.59	nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam ca+eva→caiva · devīṃ sarasvatīṃ caiva tato jayam udīrayet ca+eva→caiva · kālaḥ kamalapattrākṣa śaṃsaitat pṛcchato mama śaṃsa+etat→śaṃsaitat · vistīryaitan mahajjñānam ṛṣiḥ saṃkṣepam abravīt vistīrya+etat→vistīryaitan
aḥ v → o v	visarga	5088	1.31	jayati parāśarasūnuḥ satyavatīhṛdayanandano vyāsaḥ nandanaḥ→satyavatīhṛdayanandano +vyāsaḥ · dharmadṛḍhabaddhamūlo vedaskandhaḥ purāṇaśākhāḍhyaḥ mūlaḥ→dharmadṛḍhabaddhamūlo +veda · kratukusumo mokṣaphalo jayati kalpadrumo viṣṇuḥ kalpadrumo+viṣṇuḥ · namo vai brahmanidhaye vāsiṣṭhāya namo namaḥ namo+vai
m y → ṃ y	anusvāra / nasal	4988	1.28	yaḥ śvetatvam upāgataḥ kṛtayuge tretāyuge raktatāṃ yugme yaḥ kapilaḥ kalau ca bhagavān kṛṣṇatvam āyāga [... au3 Zeichenjh] raktatāṃ+yugme · gatavān asmi taṃ deśaṃ yuddhaṃ yatrābhavat purā deśaṃ+yuddhaṃ · gatavān asmi taṃ deśaṃ yuddhaṃ yatrābhavat purā yuddhaṃ+yatra · avyaktaṃ kāraṇaṃ sūkṣmaṃ yat tat sadasadātmakam sūkṣmaṃ+yat
aḥ m → o m	visarga	4936	1.27	kratukusumo mokṣaphalo jayati kalpadrumo viṣṇuḥ kusumaḥ→kratukusumo +mokṣa · kālaḥ kamalapattrākṣa śaṃsaitat pṛcchato mama pṛcchato+mama · saṃvatsarartavo māsāḥ pakṣāhorātrayaḥ kramāt ṛtavaḥ→saṃvatsarartavo +māsāḥ · duryodhano manyumayo mahādrumaḥ skandhaḥ karṇaḥ śakunis tasya śākhāḥ duryodhano+manyu
ḥ u → Ø u	visarga	4919	1.26	lomaharṣaṇaputra ugraśravāḥ sūtaḥ paurāṇiko naimiṣāraṇye śaunakasya kulapater dvādaśavārṣike sattre putraḥ→lomaharṣaṇaputra +ugraśravāḥ · sūta uvāca sūta+uvāca · janamejayena pṛṣṭaḥ san vaiśampāyana uktavān vaiśampāyana+uktavān · janamejayasya yāṃ rājño vaiśampāyana uktavān vaiśampāyana+uktavān
m ś → ṃ ś	anusvāra / nasal	4909	1.26	vyāsaṃ vasiṣṭhanaptāraṃ śakteḥ pautram akalmaṣam naptāram→vasiṣṭhanaptāraṃ +śakteḥ · śuklāmbaradharaṃ devaṃ śaśivarṇaṃ caturbhujam devaṃ+śaśi · saṃhitāṃ śrotum icchāmo dharmyāṃ pāpabhayāpahām saṃhitāṃ+śrotum · maṅgalyaṃ maṅgalaṃ viṣṇuṃ vareṇyam anaghaṃ śucim anaghaṃ+śucim
ā a → ā	vowel coalescence	4637	1.19	śrutvāhaṃ tā vicitrārthā mahābhāratasaṃśritāḥ śrutvā+aham→śrutvāhaṃ · putrā vivasvataḥ sarve mahyas teṣāṃ tathāvaraḥ tathā+avaraḥ→tathāvaraḥ · manvādi bhārataṃ kecid āstīkādi tathāpare tathā+apare→tathāpare · manye śreṣṭhatamaṃ tvādya rahasyajñānavedanāt tvā+adya→tvādya
a u → o	vowel coalescence	4524	1.16	saṃskāropagatāṃ brāhmīṃ nānāśāstropabṛṃhitām saṃskāra+upagatām→saṃskāropagatāṃ · sāṅgopaniṣadānāṃ ca vedānāṃ vistarakriyā sāṅga+upaniṣadānām→sāṅgopaniṣadānāṃ · yadi jñānahutāśena tvayā nojjvalitaṃ bhavet na+ujjvalitam→nojjvalitaṃ · araṇīparvarūpāḍhyo virāṭodyogasāravān virāṭa+udyoga→virāṭodyogasāravān
