rule	category	count	pct	examples
a a → ā	vowel coalescence	111	8.23	tad yatrobhe bhāvapradhāne bhavataḥ pūrvāparībhūtaṃ bhāvam ākhyātenācaṣṭe pūrva+aparībhūtam→pūrvāparībhūtaṃ · vyāptimattvāttu śabdasyāṇīyastvācca śabdena sañjñākaraṇaṃ vyavahārārthaṃ loke śabdasya+aṇīyas→śabdasyāṇīyastvācca · vyāptimattvāttu śabdasyāṇīyastvācca śabdena sañjñākaraṇaṃ vyavahārārthaṃ loke vyavahāra+artham→vyavahārārthaṃ · nāparabhāvam ācaṣṭe na pratiṣedhati na+apara→nāparabhāvam
i i → ī	vowel coalescence	61	4.53	tad yāni catvāri padajātāni nāmākhyāte copasarganipātāśca tānīmāni bhavanti tāni+imāni→tānīmāni · vrajati pacatīti pacati+iti→pacatīti · bhavatīti bhāvasya bhavati+iti→bhavatīti · āste śete vrajati tiṣṭhatīti tiṣṭhati+iti→tiṣṭhatīti
i a → y a	vowel coalescence	48	3.56	te nigantava eva santo nigamanān nighaṇṭava ucyanta ityaupamanyavaḥ iti+aupamanyavaḥ→ityaupamanyavaḥ · vipariṇamata ity apracyavamānasya tattvād vikāram ity+a · ā ityarvāgarthe iti+arvāk→ityarvāgarthe · ati su ityabhipūjitārthe iti+abhipūjita→ityabhipūjitārthe
i e → y e	vowel coalescence	33	2.45	apakṣīyata ityetenaiva vyākhyātaḥ pratilomam iti+etena→ityetenaiva · pra parā ityetasya prātilomyam iti+etasya→ityetasya · nirdur ityetayoḥ prātilomyam iti+etayoḥ→ityetayoḥ · ud ityetayoḥ prātilomyam iti+etayoḥ→ityetayoḥ
ḥ i → Ø i	visarga	32	2.37	tam imam samāmnāyaṃ nighaṇṭava ityācakṣate nighaṇṭava+iti · nigamā ime bhavanti nigamā+ime · ada iti sattvānām upadeśaḥ ada+iti · indra iva indra+iva
aḥ bh → o bh	visarga	31	2.3	neti pratiṣedhārthīyo bhāṣāyām arthīyaḥ→pratiṣedhārthīyo +bhāṣāyām · śaśvad iti vicikitsārthīyo bhāṣāyām arthīyaḥ→vicikitsārthīyo +bhāṣāyām · nūnam iti vicikitsārthīyo bhāṣāyām arthīyaḥ→vicikitsārthīyo +bhāṣāyām · varo varayitavyo bhavati varayitavyo+bhavati
aḥ n → o n	visarga	30	2.23	te nigantava eva santo nigamanān nighaṇṭava ucyanta ityaupamanyavaḥ santo+nigamanān · durmadāso na surāyām durmadāso+na · dyur ityahno nāmadheyam ahnaḥ→ityahno +nāmadheyam · anyo nāneyaḥ anyo+na
m s → ṃ s	anusvāra / nasal	30	2.23	upakramaprabhṛtyapavargaparyantaṃ mūrtaṃ sattvabhūtaṃ sattvanāmabhiḥ mūrtaṃ+sattva · upakramaprabhṛtyapavargaparyantaṃ mūrtaṃ sattvabhūtaṃ sattvanāmabhiḥ bhūtam→sattvabhūtaṃ +sattva · vardhata iti svāṅgābhyuccayaṃ sāṃyaugikānāṃ vārthānām abhyuccayam→svāṅgābhyuccayaṃ +sāṃyaugikānāṃ · ceti samuccayārtha ubhābhyāṃ samprayujyate ubhābhyāṃ+samprayujyate
m v → ṃ v	anusvāra / nasal	30	2.23	indriyanityaṃ vacanam audumbarāyaṇaḥ nityam→indriyanityaṃ +vacanam · ayugapad utpannānāṃ vā śabdānām itaretaropadeśaḥ utpannānāṃ+vā · vyāptimattvāttu śabdasyāṇīyastvācca śabdena sañjñākaraṇaṃ vyavahārārthaṃ loke karaṇam→sañjñākaraṇaṃ +vyavahāra · vardhata iti svāṅgābhyuccayaṃ sāṃyaugikānāṃ vārthānām sāṃyaugikānāṃ+vā
ḥ v → r v	visarga	27	2.0	śaknoter vā śaknoter+vā · vāyur vā tvā manur vā tvā vāyur+vā · vāyur vā tvā manur vā tvā manur+vā · dāśater vā syāddānakarmaṇaḥ dāśater+vā
a ā → ā	vowel coalescence	25	1.85	tad yāni catvāri padajātāni nāmākhyāte copasarganipātāśca tānīmāni bhavanti nāma+ākhyāte→nāmākhyāte · tatraitan nāmākhyātayor lakṣaṇaṃ pradiśanti nāma+ākhyātayoḥ→nāmākhyātayor · tad yatrobhe bhāvapradhāne bhavataḥ pūrvāparībhūtaṃ bhāvam ākhyātenācaṣṭe ākhyātena+ācaṣṭe→ākhyātenācaṣṭe · ato 'nye bhāvavikārā eteṣām eva vikārā bhavantīti ha smāha sma+āha→smāha
a i → e	vowel coalescence	24	1.78	vardhate vijayeneti vā vijayena+iti→vijayeneti · vardhate śarīreṇeti vā śarīreṇa+iti→śarīreṇeti · iveti bhāṣāyāṃ ca iva+iti→iveti · neti pratiṣedhārthīyo bhāṣāyām na+iti→neti
m n → ṃ n	anusvāra / nasal	23	1.71	tam imam samāmnāyaṃ nighaṇṭava ityācakṣate samāmnāyaṃ+nighaṇṭava · tatra catuṣṭvaṃ nopapadyate catuṣṭvaṃ+na · tad ya eṣu padārthaḥ prāhurime taṃ nāmākhyātayor arthavikaraṇam taṃ+nāma · idaṃ nu kariṣyati idaṃ+nu
a u → o	vowel coalescence	23	1.71	tad yāni catvāri padajātāni nāmākhyāte copasarganipātāśca tānīmāni bhavanti ca+upasarga→copasarganipātāśca · tad yatrobhe bhāvapradhāne bhavataḥ pūrvāparībhūtaṃ bhāvam ākhyātenācaṣṭe yatra+ubhe→yatrobhe · tatra catuṣṭvaṃ nopapadyate na+upapadyate→nopapadyate · ayugapad utpannānāṃ vā śabdānām itaretaropadeśaḥ itaretara+upadeśaḥ→itaretaropadeśaḥ
m p → ṃ p	anusvāra / nasal	21	1.56	tatraitan nāmākhyātayor lakṣaṇaṃ pradiśanti lakṣaṇaṃ+pradiśanti · ityasvayaṃ pṛṣṭe svayam→ityasvayaṃ +pṛṣṭe · manasāṃ prajaveṣv asamā babhūvuḥ manasāṃ+prajaveṣv · śacīr madanta uta dakṣiṇābhir nej jihmāyantyo narakaṃ patāma narakaṃ+patāma
i ā → y ā	vowel coalescence	19	1.41	tam imam samāmnāyaṃ nighaṇṭava ityācakṣate iti+ācakṣate→ityācakṣate · abhīty ābhimukhyaṃ iti→abhīty +ābhimukhyaṃ · apy ādhyātaṃ vinaśyati apy+ādhyātaṃ · anakter ity āgrāyaṇaḥ ity+āgrāyaṇaḥ
ḥ bh → Ø bh	visarga	19	1.41	samāhatā bhavanti samāhatā+bhavanti · yad vā samāhṛtā bhavanti samāhṛtā+bhavanti · ṣaḍbhāvavikārā bhavantīti vārṣyāyaṇiḥ vikārāḥ→ṣaḍbhāvavikārā +bhavanti · ato 'nye bhāvavikārā eteṣām eva vikārā bhavantīti ha smāha vikārā+bhavanti
ā a → ā	vowel coalescence	19	1.41	teṣāṃ manuṣyavad devatābhidhānam devatā+abhidhānam→devatābhidhānam · vardhata iti svāṅgābhyuccayaṃ sāṃyaugikānāṃ vārthānām vā+arthānām→vārthānām · teṣām ete catvāra upamārthe bhavanti upamā+arthe→upamārthe · veti vicāraṇārthe vicāraṇā+arthe→vicāraṇārthe
t a → d a	consonant / other	19	1.41	nanvetad akārṣīt etat→nanvetad +akārṣīt · atha yasyāgamād arthapṛthaktvam aha vijñāyate na tvauddeśikam iva vigraheṇa pṛthaktvāt sa karmopasaṃgrahaḥ āgamāt→yasyāgamād +artha · na nūnam asti no śvaḥ kastadveda yadadbhutam yat+adbhutam→yadadbhutam · kastadveda yadadbhutam yat+adbhutam→yadadbhutam
m bh → ṃ bh	anusvāra / nasal	18	1.34	tad yatrobhe bhāvapradhāne bhavataḥ pūrvāparībhūtaṃ bhāvam ākhyātenācaṣṭe aparībhūtam→pūrvāparībhūtaṃ +bhāvam · parivṛḍhaṃ bhavati parivṛḍhaṃ+bhavati · vidastataraṃ bhavati vidastataraṃ+bhavati · bilvaṃ bharaṇād vā bhedanād vā bilvaṃ+bharaṇād
ḥ i → r i	visarga	18	1.34	vrajyā paktir iti paktir+iti · na nirbaddhā upasargā arthān nirāhuriti śākaṭāyanaḥ nirāhuḥ+iti→nirāhuriti · tad ya eṣu padārthaḥ prāhurime taṃ nāmākhyātayor arthavikaraṇam prāhuḥ+ime→prāhurime · agnir iva agnir+iva
e a → e '	vowel coalescence	18	1.34	jāyate 'sti vipariṇamate vardhate 'pakṣīyate vinaśyatīti jāyate+'sti · jāyate 'sti vipariṇamate vardhate 'pakṣīyate vinaśyatīti vardhate+'pakṣīyate · atha ye pravṛtte 'rthe 'mitākṣareṣu grantheṣu vākyapūraṇā āgacchanti padapūraṇās te mitākṣareṣv anarthakāḥ pravṛtte+'rthe · athāpi na cety eṣa id ity etena samprayujyate 'nupṛṣṭe samprayujyate+'nupṛṣṭe
