rule	category	count	pct	examples
a a → ā	vowel coalescence	5581	6.34	kālāgnisadṛśaḥ krodhe kṣamayā pṛthivīsamaḥ kāla+agni→kālāgnisadṛśaḥ · dhanadena samas tyāge satye dharma ivāparaḥ iva+aparaḥ→ivāparaḥ · tasyābhiṣekasambhārān dṛṣṭvā bhāryātha kaikayī tasya+abhiṣeka→tasyābhiṣekasambhārān · vivāsanaṃ ca rāmasya bharatasyābhiṣecanam bharatasya+abhiṣecanam→bharatasyābhiṣecanam
m p → ṃ p	anusvāra / nasal	3360	3.82	nāradaṃ paripapraccha vālmīkir munipuṃgavam nāradaṃ+paripapraccha · etad icchāmy ahaṃ śrotuṃ paraṃ kautūhalaṃ hi me śrotuṃ+paraṃ · jyeṣṭhaṃ śreṣṭhaguṇair yuktaṃ priyaṃ daśarathaḥ sutam yuktaṃ+priyaṃ · taṃ vrajantaṃ priyo bhrātā lakṣmaṇo 'nujagāma ha vrajantaṃ+priyo
m s → ṃ s	anusvāra / nasal	3168	3.6	maharṣe tvaṃ samartho 'si jñātum evaṃvidhaṃ naram tvaṃ+samartho · tam evaṃguṇasampannaṃ rāmaṃ satyaparākramam rāmaṃ+satya · mārgamāṇo vane sītāṃ rākṣasaṃ saṃdadarśa ha rākṣasaṃ+saṃdadarśa · rāmāyāveditaṃ sarvaṃ praṇayād duḥkhitena ca āveditam→rāmāyāveditaṃ +sarvaṃ
ḥ t → s t	visarga	3094	3.51	dhanadena samas tyāge satye dharma ivāparaḥ samas+tyāge · te vanena vanaṃ gatvā nadīs tīrtvā bahūdakāḥ nadīs+tīrtvā · devagandharvasaṃkāśās tatra te nyavasan sukham saṃkāśāḥ→devagandharvasaṃkāśās +tatra · citrakūṭaṃ gate rāme putraśokāturas tadā āturaḥ→putraśokāturas +tadā
m v → ṃ v	anusvāra / nasal	3080	3.5	tapaḥsvādhyāyanirataṃ tapasvī vāgvidāṃ varam vidām→vāgvidāṃ +varam · sa jagāma vanaṃ vīraḥ pratijñām anupālayan vanaṃ+vīraḥ · taṃ vrajantaṃ priyo bhrātā lakṣmaṇo 'nujagāma ha taṃ+vrajantaṃ · sa jagāma vanaṃ vīro rāmapādaprasādakaḥ vanaṃ+vīro
m t → ṃ t	anusvāra / nasal	3056	3.47	tapaḥsvādhyāyanirataṃ tapasvī vāgvidāṃ varam niratam→tapaḥsvādhyāyanirataṃ +tapasvī · sutīkṣṇaṃ cāpy agastyaṃ ca agastyabhrātaraṃ tathā bhrātaram→agastyabhrātaraṃ +tathā · kharaṃ triśirasaṃ caiva dūṣaṇaṃ caiva rākṣasam kharaṃ+triśirasaṃ · jagāma sahamarīcas tasyāśramapadaṃ tadā padam→tasyāśramapadaṃ +tadā
ḥ c → ś c	visarga	2589	2.94	ko nv asmin sāmprataṃ loke guṇavān kaś ca vīryavān kaś+ca · dharmajñaś ca kṛtajñaś ca satyavākyo dṛḍhavrataḥ kṛtajñaś+ca · dharmajñaś ca kṛtajñaś ca satyavākyo dṛḍhavrataḥ jñaḥ→dharmajñaś +ca · vidvān kaḥ kaḥ samarthaś ca kaś caikapriyadarśanaḥ samarthaś+ca
a ā → ā	vowel coalescence	2182	2.48	śrūyatām iti cāmantrya prahṛṣṭo vākyam abravīt ca+āmantrya→cāmantrya · niyatātmā mahāvīryo dyutimān dhṛtimān vaśī niyata+ātmā→niyatātmā · nandigrāme 'karod rājyaṃ rāmāgamanakāṅkṣayā rāma+āgamana→rāmāgamanakāṅkṣayā · tatrāgamanam ekāgre daṇḍakān praviveśa ha tatra+āgamanam→tatrāgamanam
m c → ṃ c	anusvāra / nasal	2164	2.46	dharmajñaḥ satyasaṃdhaś ca prajānāṃ ca hite rataḥ prajānāṃ+ca · vivāsanaṃ ca rāmasya bharatasyābhiṣecanam vivāsanaṃ+ca · sutīkṣṇaṃ cāpy agastyaṃ ca agastyabhrātaraṃ tathā sutīkṣṇaṃ+ca · sutīkṣṇaṃ cāpy agastyaṃ ca agastyabhrātaraṃ tathā agastyaṃ+ca
m m → ṃ m	anusvāra / nasal	2155	2.45	niyujyamāno rājyāya naicchad rājyaṃ mahābalaḥ rājyaṃ+mahā · samāśvāsya ca vaidehīṃ mardayāmāsa toraṇam vaidehīṃ+mardayāmāsa · tataḥ sugrīvasahito gatvā tīraṃ mahodadheḥ tīraṃ+mahā · sa muhūrtaṃ gate tasmin devalokaṃ munis tadā lokam→devalokaṃ +munis
m k → ṃ k	anusvāra / nasal	1868	2.12	etad icchāmy ahaṃ śrotuṃ paraṃ kautūhalaṃ hi me paraṃ+kautūhalaṃ · ramyam āvasathaṃ kṛtvā ramamāṇā vane trayaḥ āvasathaṃ+kṛtvā · so 'bhigamya mahātmānaṃ kṛtvā rāmaṃ pradakṣiṇam mahātmānaṃ+kṛtvā · samudraṃ kṣobhayāmāsa śarair ādityasaṃnibhaiḥ samudraṃ+kṣobhayāmāsa
m r → ṃ r	anusvāra / nasal	1700	1.93	tam evaṃguṇasampannaṃ rāmaṃ satyaparākramam sampannam→evaṃguṇasampannaṃ +rāmaṃ · vivāsayāmāsa sutaṃ rāmaṃ daśarathaḥ priyam sutaṃ+rāmaṃ · sītāpy anugatā rāmaṃ śaśinaṃ rohiṇī yathā śaśinaṃ+rohiṇī · nandigrāme 'karod rājyaṃ rāmāgamanakāṅkṣayā rājyaṃ+rāma
m n → ṃ n	anusvāra / nasal	1695	1.92	maharṣe tvaṃ samartho 'si jñātum evaṃvidhaṃ naram evaṃvidhaṃ+naram · mune vakṣyāmy ahaṃ buddhvā tair yuktaḥ śrūyatāṃ naraḥ śrūyatāṃ+naraḥ · rakṣasāṃ nihatāny āsan sahasrāṇi caturdaśa rakṣasāṃ+nihatāny · sahāyaṃ varayāmāsa mārīcaṃ nāma rākṣasam mārīcaṃ+nāma
m d → ṃ d	anusvāra / nasal	1691	1.92	jyeṣṭhaṃ śreṣṭhaguṇair yuktaṃ priyaṃ daśarathaḥ sutam priyaṃ+daśarathaḥ · pūrvaṃ dattavarā devī varam enam ayācata pūrvaṃ+datta · vivāsayāmāsa sutaṃ rāmaṃ daśarathaḥ priyam rāmaṃ+daśarathaḥ · pāduke cāsya rājyāya nyāsaṃ dattvā punaḥ punaḥ nyāsaṃ+dattvā
m ś → ṃ ś	anusvāra / nasal	1398	1.59	etad icchāmy ahaṃ śrotuṃ paraṃ kautūhalaṃ hi me ahaṃ+śrotuṃ · jyeṣṭhaṃ śreṣṭhaguṇair yuktaṃ priyaṃ daśarathaḥ sutam jyeṣṭhaṃ+śreṣṭha · sītāpy anugatā rāmaṃ śaśinaṃ rohiṇī yathā rāmaṃ+śaśinaṃ · agastyavacanāc caiva jagrāhaindraṃ śarāsanam aindram→jagrāhaindraṃ +śarāsanam
