rule	category	count	pct	examples
a a → ā	vowel coalescence	22	7.38	apare māheśvarāḥ parameśvaratādātmyavādino'pi piṇḍasthairye sarvābhimatā jīvanmuktiḥ setsyatītyāsthāya piṇḍasthairyopāyaṃ pāradādipadavedanīyaṃ rasameva saṃgirante rasasya pāradatvaṃ saṃsāraparapāraprāpaṇahetutvena sarva+abhimatā→sarvābhimatā · pārado gadito yasmāt parārthaṃ sādhakottamaiḥ para+artham→parārthaṃ · prakārāntareṇāpi jīvanmuktiyuktau neyaṃ vācoyuktiryuktimatīti cen na ṣaṭsvapi darśaneṣu dehapātānantaraṃ mukter uktatayā tatra viśvāsānupapattyā nirvicikitsapravṛtteranupapatteḥ prakāra+antareṇa→prakārāntareṇāpi · prakārāntareṇāpi jīvanmuktiyuktau neyaṃ vācoyuktiryuktimatīti cen na ṣaṭsvapi darśaneṣu dehapātānantaraṃ mukter uktatayā tatra viśvāsānupapattyā nirvicikitsapravṛtteranupapatteḥ dehapāta+anantaram→dehapātānantaraṃ
m v → ṃ v	anusvāra / nasal	12	4.03	prakārāntareṇāpi jīvanmuktiyuktau neyaṃ vācoyuktiryuktimatīti cen na ṣaṭsvapi darśaneṣu dehapātānantaraṃ mukter uktatayā tatra viśvāsānupapattyā nirvicikitsapravṛtteranupapatteḥ iyam→neyaṃ +vācoyuktiḥ · lakṣaṇaṃ dṛśyate yasya mūrchitaṃ taṃ vadanti hi taṃ+vadanti · yasyaitāni na dṛśyante taṃ vidyān mṛtasūtakam taṃ+vidyān · nanu saccidānandātmakaparatattvasphuraṇādeva muktisiddhau kim anena divyadehasampādanaprayāseneti cet tad etad avārttaṃ vārttaśarīrālābhe tadvārttāyā ayogāt avārttaṃ+vārtta
m r → ṃ r	anusvāra / nasal	11	3.69	apare māheśvarāḥ parameśvaratādātmyavādino'pi piṇḍasthairye sarvābhimatā jīvanmuktiḥ setsyatītyāsthāya piṇḍasthairyopāyaṃ pāradādipadavedanīyaṃ rasameva saṃgirante rasasya pāradatvaṃ saṃsāraparapāraprāpaṇahetutvena vedanīyam→pāradādipadavedanīyaṃ +rasam · tasmāt taṃ rakṣayetpiṇḍaṃ rasaiścaiva rasāyanairiti taṃ+rakṣayet · tasmāt taṃ rakṣayetpiṇḍaṃ rasaiścaiva rasāyanairiti piṇḍam→rakṣayetpiṇḍaṃ +rasaiḥ · tanuṃ rasamayīmāpya tadātmakakathācaṇāḥ tanuṃ+rasa
m d → ṃ d	anusvāra / nasal	11	3.69	saṃsārasya paraṃ pāraṃ datte'sau pāradaḥ smṛta iti pāraṃ+datte · tasmājjīvanmuktiṃ samīhamānena yoginā prathamaṃ divyatanurvidheyā haragaurīsṛṣṭisaṃyogajanitatvaṃ ca rasasya harajatvenābhrakasya gaurīsambhavatvena tattadātmakatvamuktam prathamaṃ+divya · anayormelanaṃ devi mṛtyudāridryanāśanamiti melanam→anayormelanaṃ +devi · atyalpam idam ucyate devadaityamunimānavādiṣu bahavo rasasāmarthyād divyaṃ dehamāśritya jīvanmuktimāśritāḥ śrūyante raseśvarasiddhānte divyaṃ+deham
a ā → ā	vowel coalescence	10	3.36	apare māheśvarāḥ parameśvaratādātmyavādino'pi piṇḍasthairye sarvābhimatā jīvanmuktiḥ setsyatītyāsthāya piṇḍasthairyopāyaṃ pāradādipadavedanīyaṃ rasameva saṃgirante rasasya pāradatvaṃ saṃsāraparapāraprāpaṇahetutvena pārada+ādi→pāradādipadavedanīyaṃ · karāmalakavatsāpi pratyakṣā nopalabhyate kara+āmalaka→karāmalakavatsāpi · munayo vālakhilyādyā nṛpāḥ someśvarādayaḥ vālakhilya+ādyāḥ→vālakhilyādyā · munayo vālakhilyādyā nṛpāḥ someśvarādayaḥ someśvara+ādayaḥ→someśvarādayaḥ
m s → ṃ s	anusvāra / nasal	10	3.36	apare māheśvarāḥ parameśvaratādātmyavādino'pi piṇḍasthairye sarvābhimatā jīvanmuktiḥ setsyatītyāsthāya piṇḍasthairyopāyaṃ pāradādipadavedanīyaṃ rasameva saṃgirante rasasya pāradatvaṃ saṃsāraparapāraprāpaṇahetutvena tvam→pāradatvaṃ +saṃsāra · pārado gadito yasmāt parārthaṃ sādhakottamaiḥ artham→parārthaṃ +sādhaka · tasmājjīvanmuktiṃ samīhamānena yoginā prathamaṃ divyatanurvidheyā haragaurīsṛṣṭisaṃyogajanitatvaṃ ca rasasya harajatvenābhrakasya gaurīsambhavatvena tattadātmakatvamuktam jīvanmuktim→tasmājjīvanmuktiṃ +samīhamānena · nanu jīvatvaṃ nāma saṃsāritvaṃ tadviparītatvaṃ muktatvaṃ tathā ca parasparaviruddhayoḥ katham ekāyatanatvam upapannaṃ syāditi cet tad anupapannaṃ vikalpānupapatteḥ muktistāvat sarvatīrthakarasaṃmatā sā kiṃ jñeyapade niviśate na vā carame śaśaviṣāṇakalpā syāt prathame na jīvanaṃ varjanīyam ajīvato jñātṛtvānupapatteḥ upapannaṃ+syāt
t a → d a	consonant / other	9	3.02	tadapyuktaṃ tathaiva tat+api→tadapyuktaṃ · nanu saccidānandātmakaparatattvasphuraṇādeva muktisiddhau kim anena divyadehasampādanaprayāseneti cet tad etad avārttaṃ vārttaśarīrālābhe tadvārttāyā ayogāt etad+avārttaṃ · nanu jīvatvaṃ nāma saṃsāritvaṃ tadviparītatvaṃ muktatvaṃ tathā ca parasparaviruddhayoḥ katham ekāyatanatvam upapannaṃ syāditi cet tad anupapannaṃ vikalpānupapatteḥ muktistāvat sarvatīrthakarasaṃmatā sā kiṃ jñeyapade niviśate na vā carame śaśaviṣāṇakalpā syāt prathame na jīvanaṃ varjanīyam ajīvato jñātṛtvānupapatteḥ tad+an · nanvetat sāvayavaṃ rūpavad avabhāsamānaṃ nṛkaṇṭhoravāṅgaṃ saditi na saṃgacchata ityādinākṣepapuraḥsaraṃ sanakādipratyakṣaṃ sahasraśīrṣā puruṣa ityādiśruti tamadbhutaṃ bālakamambujekṣaṇaṃ caturbhujaṃ śaṅkhagadādyudāyudham ityādi purāṇalakṣaṇena pramāṇatrayeṇa siddhaṃ nṛpañcānanāṅgaṃ kathamasat syāditi rūpavad+avabhāsamānaṃ
ḥ c → ś c	visarga	9	3.02	tasmāt taṃ rakṣayetpiṇḍaṃ rasaiścaiva rasāyanairiti rasaiḥ+ca→rasaiścaiva · ete'nye bahavaḥ siddhā jīvanmuktāścaranti hi jīvanmuktāḥ+caranti→jīvanmuktāścaranti · rasaśca pavanaśceti karmayogo dvidhā smṛtaḥ rasaḥ+ca→rasaśca · baddhaḥ khecaratāṃ kuryādraso vāyuśca bhairavīti vāyuḥ+ca→vāyuśca
m n → ṃ n	anusvāra / nasal	9	3.02	nanu vinaśvaratayā dṛśyamānasya dehasya kathaṃ nityatvam avamīyata iti cenmaivaṃ maṃsthāḥ ṣāṭkauśikasya śarīrasyānityatve rasābhrakapadābhilapyaharagaurīsṛṣṭijātasya nityatvopapatteḥ kathaṃ+nitya · yogyaṃ taṃ na samādhau pratihatabuddhīndriyaprasaram taṃ+na · nanu jīvatvaṃ nāma saṃsāritvaṃ tadviparītatvaṃ muktatvaṃ tathā ca parasparaviruddhayoḥ katham ekāyatanatvam upapannaṃ syāditi cet tad anupapannaṃ vikalpānupapatteḥ muktistāvat sarvatīrthakarasaṃmatā sā kiṃ jñeyapade niviśate na vā carame śaśaviṣāṇakalpā syāt prathame na jīvanaṃ varjanīyam ajīvato jñātṛtvānupapatteḥ tvam→jīvatvaṃ +nāma · nanvetat sāvayavaṃ rūpavad avabhāsamānaṃ nṛkaṇṭhoravāṅgaṃ saditi na saṃgacchata ityādinākṣepapuraḥsaraṃ sanakādipratyakṣaṃ sahasraśīrṣā puruṣa ityādiśruti tamadbhutaṃ bālakamambujekṣaṇaṃ caturbhujaṃ śaṅkhagadādyudāyudham ityādi purāṇalakṣaṇena pramāṇatrayeṇa siddhaṃ nṛpañcānanāṅgaṃ kathamasat syāditi avabhāsamānaṃ+nṛ
m p → ṃ p	anusvāra / nasal	8	2.68	apare māheśvarāḥ parameśvaratādātmyavādino'pi piṇḍasthairye sarvābhimatā jīvanmuktiḥ setsyatītyāsthāya piṇḍasthairyopāyaṃ pāradādipadavedanīyaṃ rasameva saṃgirante rasasya pāradatvaṃ saṃsāraparapāraprāpaṇahetutvena upāyam→piṇḍasthairyopāyaṃ +pārada · saṃsārasya paraṃ pāraṃ datte'sau pāradaḥ smṛta iti paraṃ+pāraṃ · ye cātyaktaśarīrā haragaurīsṛṣṭijāntaraṃ prāptāḥ antaram→haragaurīsṛṣṭijāntaraṃ +prāptāḥ · ayamevāsyārthaḥ parameśvareṇa parameśvarīṃ prati prapañcitaḥ parameśvarīṃ+prati
t u → d u	consonant / other	8	2.68	taduktam tat+uktam→taduktam · taduktamācāryaiḥ tat+uktam→taduktamācāryaiḥ · tatprapañcastu govindabhagavatpādācāryasarvajñarāmeśvarabhaṭṭārakaprabhṛtibhiḥ prācīnairācāryairnirūpita iti granthabhūyastvabhayād udāsyate bhayāt→granthabhūyastvabhayād +udāsyate · taduktaṃ rasārṇave tat+uktam→taduktaṃ
m t → ṃ t	anusvāra / nasal	8	2.68	tadapyuktaṃ tathaiva uktam→tadapyuktaṃ +tathā · abhrakastava bījaṃ tu mama bījaṃ tu pāradaḥ bījaṃ+tu · abhrakastava bījaṃ tu mama bījaṃ tu pāradaḥ bījaṃ+tu · lakṣaṇaṃ dṛśyate yasya mūrchitaṃ taṃ vadanti hi mūrchitaṃ+taṃ
aḥ v → o v	visarga	7	2.35	munayo vālakhilyādyā nṛpāḥ someśvarādayaḥ munayo+vālakhilya · carvaṭiḥ kapilo vyāliḥ kāpāliḥ kandalāyanaḥ kapilo+vyāliḥ · baddhaḥ khecaratāṃ kuryādraso vāyuśca bhairavīti rasaḥ→kuryādraso +vāyuḥ · nānāvarṇo bhavet sūto vihāya ghanacāpalam sūto+vihāya
m c → ṃ c	anusvāra / nasal	6	2.01	tasmājjīvanmuktiṃ samīhamānena yoginā prathamaṃ divyatanurvidheyā haragaurīsṛṣṭisaṃyogajanitatvaṃ ca rasasya harajatvenābhrakasya gaurīsambhavatvena tattadātmakatvamuktam tvam→haragaurīsṛṣṭisaṃyogajanitatvaṃ +ca · ārdratvaṃ ca ghanatvaṃ ca tejo gauravacāpalam tvam→ārdratvaṃ +ca · ārdratvaṃ ca ghanatvaṃ ca tejo gauravacāpalam tvam→ghanatvaṃ +ca · yaṃ jarayā jharjharitaṃ kāsaśvāsādiduḥkhaviśadaṃ ca viśadam→kāsaśvāsādiduḥkhaviśadaṃ +ca
m k → ṃ k	anusvāra / nasal	6	2.01	baddhaḥ khecaratāṃ kuryādraso vāyuśca bhairavīti khecaratāṃ+kuryāt · samānaṃ kurute devi pratyayaṃ dehalohayoḥ samānaṃ+kurute · yaṃ jarayā jharjharitaṃ kāsaśvāsādiduḥkhaviśadaṃ ca jharjharitaṃ+kāsa · nanvetat sāvayavaṃ rūpavad avabhāsamānaṃ nṛkaṇṭhoravāṅgaṃ saditi na saṃgacchata ityādinākṣepapuraḥsaraṃ sanakādipratyakṣaṃ sahasraśīrṣā puruṣa ityādiśruti tamadbhutaṃ bālakamambujekṣaṇaṃ caturbhujaṃ śaṅkhagadādyudāyudham ityādi purāṇalakṣaṇena pramāṇatrayeṇa siddhaṃ nṛpañcānanāṅgaṃ kathamasat syāditi aṅgam→nṛpañcānanāṅgaṃ +katham
