rule	category	count	pct	examples
a a → ā	vowel coalescence	66	10.54	utkṣepaṇāvakṣepaṇākuñcanaprasāraṇagamanāni pañca karmāṇi utkṣepaṇa+avakṣepaṇa→utkṣepaṇāvakṣepaṇākuñcanaprasāraṇagamanāni · sā dvividhā nityānityā ca nitya+anityā→nityānityā · śarīrāntaḥsaṃcārī vāyuḥ prāṇaḥ śarīra+antar→śarīrāntaḥsaṃcārī · sa caiko 'py upādhibhedāt prāṇāpānādisaṃjñā labhate prāṇa+apāna→prāṇāpānādisaṃjñā
m p → ṃ p	anusvāra / nasal	39	6.23	nityaṃ paramāṇurūpam nityaṃ+paramāṇu · tac ca pratyātmaniyatatvād anantaṃ paramāṇurūpaṃ nityaṃ ca anantaṃ+paramāṇu · tac ca śuklanīlapītaraktaharitakapiśacitrabhedāt saptavidhaṃ pṛthivījalatejovṛtti saptavidhaṃ+pṛthivī · rūpādicatuṣṭayaṃ pṛthivyāṃ pākajam anityaṃ ca pṛthivyāṃ+pāka
m s → ṃ s	anusvāra / nasal	30	4.79	bālānāṃ sukhabodhāya kriyate tarkasaṃgrahaḥ bālānāṃ+sukha · param aparaṃ ceti dvividhaṃ sāmānyam dvividhaṃ+sāmānyam · bhuktasya pariṇāmahetur audaryam ākarajaṃ suvarṇādi jam→ākarajaṃ +suvarṇa · indriyaṃ sparśagrāhakaṃ tvaksarvaśarīravarti indriyaṃ+sparśa
a ā → ā	vowel coalescence	20	3.19	bhuktasya pariṇāmahetur audaryam ākarajaṃ suvarṇādi suvarṇa+ādi→suvarṇādi · viṣayo vṛkṣādikampanahetuḥ vṛkṣa+ādi→vṛkṣādikampanahetuḥ · atītādivyavahārahetuḥ kālaḥ atīta+ādi→atītādivyavahārahetuḥ · sukhādyupalabdhisādhanam indriyaṃ manaḥ sukha+ādi→sukhādyupalabdhisādhanam
ḥ c → ś c	visarga	19	3.04	rūparasagandhasparśasaṃkhyāparimāṇapṛthaktvasaṃyogavibhāgaparatvāparatvagurutvadravatvasnehaśabdabuddhisukhaduḥkhecchādveṣaprayatnadharmādharmasaṃskārāś caturviṃśatiguṇāḥ saṃskārāḥ→rūparasagandhasparśasaṃkhyāparimāṇapṛthaktvasaṃyogavibhāgaparatvāparatvagurutvadravatvasnehaśabdabuddhisukhaduḥkhecchādveṣaprayatnadharmādharmasaṃskārāś +caturviṃśati · abhāvaś caturvidhaḥ abhāvaś+caturvidhaḥ · tā dvividhāḥ nityā anityāś ca anityāś+ca · viṣayaś caturvidhaḥ viṣayaś+caturvidhaḥ
a i → e	vowel coalescence	18	2.88	param aparaṃ ceti dvividhaṃ sāmānyam ca+iti→ceti · prāgabhāvaḥ pradhvaṃsābhāvo 'tyantābhāvo 'nyonyābhāvaś ceti ca+iti→ceti · punas trividhā śarīrendriyaviṣayabhedāt śarīra+indriya→śarīrendriyaviṣayabhedāt · punas trividhāḥ śarīrendriyaviṣayabhedāt śarīra+indriya→śarīrendriyaviṣayabhedāt
aḥ v → o v	visarga	18	2.88	nityadravyavṛttayo viśeṣās tv anantā eva vṛttayaḥ→nityadravyavṛttayo +viśeṣās · viṣayo vṛkṣādikampanahetuḥ viṣayo+vṛkṣa · sa caiko vibhur nityaś ca ekaḥ→caiko +vibhur · jīvātmā pratiśarīraṃ bhinno vibhur nityaś ca bhinno+vibhur
ḥ t → s t	visarga	17	2.72	nityadravyavṛttayo viśeṣās tv anantā eva viśeṣās+tv · samavāyas tv eka eva samavāyas+tv · uṣṇas tejasi uṣṇas+tejasi · yatra yatra dhūmas tatrāgnir iti sāhacaryaniyamo vyāptiḥ dhūmas+tatra
t i → d i	consonant / other	15	2.4	abhāvapratyakṣe viśeṣaṇaviśeṣyabhāvaḥ sannikarṣo ghaṭābhāvavad bhṛtalam ity atra cakṣuḥsaṃyukte bhūtale ghaṭābhāvasya viśeṣaṇatvāt abhāvavat→ghaṭābhāvavad +ity · tasmād indriyaṃ pratyakṣapramāṇam iti siddham tasmād+indriyaṃ · dhūmavattvād iti hetuḥ tvāt→dhūmavattvād +iti · yad itarebhyo na bhidyate na tad gandhavat yad+itarebhyo
m c → ṃ c	anusvāra / nasal	13	2.08	param aparaṃ ceti dvividhaṃ sāmānyam aparaṃ+ca · tad dvividhaṃ nityam anityaṃ ca anityaṃ+ca · indriyaṃ rūpagrāhakaṃ cakṣuḥ kṛṣṇatārāgravarti grāhakam→rūpagrāhakaṃ +cakṣuḥ · tac caikaṃ vibhu nityaṃ ca nityaṃ+ca
m v → ṃ v	anusvāra / nasal	11	1.76	nidhāya hṛdi viśveśaṃ vidhāya guruvandanam viśveśaṃ+vidhāya · śarīraṃ varuṇaloke śarīraṃ+varuṇa · bhaumaṃ vahnyādikam bhaumaṃ+vahni · abindhanaṃ divyaṃ vidyudādi divyaṃ+vidyut
m n → ṃ n	anusvāra / nasal	11	1.76	indriyaṃ gandhagrāhakaṃ ghrāṇaṃ nāsāgravarti ghrāṇaṃ+nāsā · tad dvividhaṃ nityam anityaṃ ca dvividhaṃ+nityam · tac ca pratyātmaniyatatvād anantaṃ paramāṇurūpaṃ nityaṃ ca rūpam→paramāṇurūpaṃ +nityaṃ · anyatrāpākajaṃ nityam antyaṃ ca apākajam→anyatrāpākajaṃ +nityam
m k → ṃ k	anusvāra / nasal	11	1.76	anityaṃ kāryarūpam anityaṃ+kārya · asādhāraṇam kāraṇaṃ karaṇam kāraṇaṃ+karaṇam · yat samavetaṃ kāryam utpadyate tat samavāyikāraṇam samavetaṃ+kāryam · tadubhayabhinnaṃ kāraṇaṃ nimittakāraṇam bhinnam→tadubhayabhinnaṃ +kāraṇaṃ
m t → ṃ t	anusvāra / nasal	11	1.76	indriyaṃ sparśagrāhakaṃ tvaksarvaśarīravarti grāhakam→sparśagrāhakaṃ +tvac · bhāsvaraśuklaṃ tejasi śuklam→bhāsvaraśuklaṃ +tejasi · dvitvādikaṃ tu sarvatrānityam eva ādikam→dvitvādikaṃ +tu · kāraṇaṃ trividhaṃ samavāyyasamavāyinimittabhedāt kāraṇaṃ+trividhaṃ
m j → ṃ j	anusvāra / nasal	10	1.6	indriyaṃ rasagrāhakaṃ rasanaṃ jihvāgravarti rasanaṃ+jihvā · abhāsvaraśuklaṃ jale śuklam→abhāsvaraśuklaṃ +jale · sāṃsiddhikaṃ jale naimittikaṃ pṛthivītejasoḥ sāṃsiddhikaṃ+jale · saṃskāramātrajanyaṃ jñānaṃ smṛtiḥ janyam→saṃskāramātrajanyaṃ +jñānaṃ
aḥ n → o n	visarga	10	1.6	sa dvividho nityo 'nityaś ca dvividho+nityo · yad itarebhyo na bhidyate na tad gandhavat itarebhyo+na · tasmān na tatheti atra yad gandhavat tad itarabhinnam ity anvayadṛṣṭānto nāsti pṛthivīmātrasya pakṣatvāt dṛṣṭāntaḥ→anvayadṛṣṭānto +na · yathā śabdo nityaḥ śabdatvād iti śabdo+nityaḥ
i a → y a	vowel coalescence	10	1.6	kāraṇaṃ trividhaṃ samavāyyasamavāyinimittabhedāt samavāyi+asamavāyi→samavāyyasamavāyinimittabhedāt · abhāvapratyakṣe viśeṣaṇaviśeṣyabhāvaḥ sannikarṣo ghaṭābhāvavad bhṛtalam ity atra cakṣuḥsaṃyukte bhūtale ghaṭābhāvasya viśeṣaṇatvāt ity+atra · anena pratipāditālliṅgāt paro'py agniṃ pratipadyate api→paro'py +agniṃ · yatra dhūmas tatrāgnir yathā mahānasa ity anvayavyāptiḥ ity+anvayavyāptiḥ
aḥ a → o a	visarga	9	1.44	prāgabhāvaḥ pradhvaṃsābhāvo 'tyantābhāvo 'nyonyābhāvaś ceti abhāvaḥ→pradhvaṃsābhāvo +'tyantābhāvo · sa caiko 'py upādhibhedāt prāṇāpānādisaṃjñā labhate ekaḥ→caiko +'py · tadvati tatprakārako 'nubhavo yathārthaḥ prakārakaḥ→tatprakārako +'nubhavo · tadabhāvavati tatprakārako 'nubhavo 'yathārthaḥ prakārakaḥ→tatprakārako +'nubhavo
t a → d a	consonant / other	9	1.44	tac ca pratyātmaniyatatvād anantaṃ paramāṇurūpaṃ nityaṃ ca tvāt→pratyātmaniyatatvād +anantaṃ · kāryeṇa kāraṇena vā sahaikasminn arthe samavetatve sati yat kāraṇaṃ tad asamavāyikāraṇam tad+asamavāyi · tad etattrividhakāraṇamadhye yad asādhāraṇaṃ kāraṇaṃ tad eva karaṇam yad+asādhāraṇaṃ · yat tu svayaṃ dhūmād agnim anumāya parapratipattyarthaṃ pañcāvayavavākyaṃ prayukte tat parārthānumānam dhūmād+agnim
aḥ g → o g	visarga	9	1.44	cakṣurmātragrāhyo guṇo rūpam grāhyaḥ→cakṣurmātragrāhyo +guṇo · rasanagrāhyo guṇo rasaḥ grāhyaḥ→rasanagrāhyo +guṇo · ghrāṇagrāhyo guṇo gandhaḥ guṇo+gandhaḥ · ghrāṇagrāhyo guṇo gandhaḥ grāhyaḥ→ghrāṇagrāhyo +guṇo
ḥ a → r a	visarga	8	1.28	bhuktasya pariṇāmahetur audaryam ākarajaṃ suvarṇādi hetuḥ→pariṇāmahetur +audaryam · sa ca dvividhaḥ surabhirasurabhiś ca surabhiḥ+asurabhiḥ→surabhirasurabhiś · sā dvividhā smṛtiranubhavaś ca smṛtiḥ+anubhavaḥ→smṛtiranubhavaś · yathā vahnir anuṣṇo dravyatvād iti vahnir+anuṣṇo
