rule	category	count	pct	examples
a a → ā	vowel coalescence	293	5.91	niṣekādyāḥ śmaśānāntās teṣāṃ vai mantrataḥ kriyāḥ śmaśāna+antāḥ→śmaśānāntās · garbhāṣṭame 'ṣṭame vābde brāhmaṇasyopanāyanam garbha+aṣṭame→garbhāṣṭame · sūryasya cāpy upasthānaṃ gāyatryāḥ pratyahaṃ japaḥ ca+api→cāpy · guruṃ caivāpy upāsīta svādhyāyārthaṃ samāhitaḥ svādhyāya+artham→svādhyāyārthaṃ
ḥ t → s t	visarga	213	4.29	yasmin deśe mṛgaḥ kṛṣṇas tasmin dharmān nibodhata kṛṣṇas+tasmin · brahmakṣatriyaviṭśūdrā varṇās tv ādyās trayo dvijāḥ varṇās+tv · brahmakṣatriyaviṭśūdrā varṇās tv ādyās trayo dvijāḥ ādyās+trayo · niṣekādyāḥ śmaśānāntās teṣāṃ vai mantrataḥ kriyāḥ antāḥ→śmaśānāntās +teṣāṃ
m p → ṃ p	anusvāra / nasal	177	3.57	snānam abdaivatair mantrair mārjanaṃ prāṇasaṃyamaḥ mārjanaṃ+prāṇasaṃyamaḥ · pratipraṇavasaṃyuktāṃ trir ayaṃ prāṇasaṃyamaḥ ayaṃ+prāṇasaṃyamaḥ · japann āsīta sāvitrīṃ pratyag ā tārakodayāt sāvitrīṃ+pratyag · saṃdhyāṃ prāk prātar evaṃ hi tiṣṭhed ā sūryadarśanāt saṃdhyāṃ+prāk
m s → ṃ s	anusvāra / nasal	158	3.18	yogīśvaraṃ yājñavalkyaṃ sampūjya munayo 'bruvan yājñavalkyaṃ+sampūjya · samyaksaṃkalpajaḥ kāmo dharmamūlam idaṃ smṛtam idaṃ+smṛtam · sā brūte yaṃ sa dharmaḥ syād eko vādhyātmavittamaḥ yaṃ+sa · garbhādhānam ṛtau puṃsaḥ savanaṃ spandanāt purā savanaṃ+spandanāt
ḥ c → ś c	visarga	158	3.18	śātātapo vasiṣṭhaś ca dharmaśāstraprayojakāḥ vasiṣṭhaś+ca · gṛhītaśiśnaś cotthāya mṛdbhir abhyuddhṛtair jalaiḥ śiśnaḥ→gṛhītaśiśnaś +ca · śudhyeran strī ca śūdraś ca sakṛt spṛṣṭābhir antataḥ śūdraś+ca · āhūtaś cāpy adhīyīta labdhaṃ cāsmai nivedayet āhūtaś+ca
m c → ṃ c	anusvāra / nasal	153	3.08	guruṃ caivāpy upāsīta svādhyāyārthaṃ samāhitaḥ guruṃ+ca · āhūtaś cāpy adhīyīta labdhaṃ cāsmai nivedayet labdhaṃ+ca · daṇḍājinopavītāni mekhalāṃ caiva dhārayet mekhalāṃ+ca · yajñānāṃ tapasāṃ caiva śubhānāṃ caiva karmaṇām tapasāṃ+ca
m v → ṃ v	anusvāra / nasal	151	3.04	niṣekādyāḥ śmaśānāntās teṣāṃ vai mantrataḥ kriyāḥ teṣāṃ+vai · tūṣṇīm etāḥ kriyāḥ strīṇāṃ vivāhas tu samantrakaḥ strīṇāṃ+vivāhas · tadabhāve 'sya tanaye patnyāṃ vaiśvānare 'pi vā patnyāṃ+vaiśvānare · vedaṃ vratāni vā pāraṃ nītvā hy ubhayam eva vā vedaṃ+vratāni
m t → ṃ t	anusvāra / nasal	117	2.36	ayaṃ tu paramo dharmo yad yogenātmadarśanam ayaṃ+tu · pratipraṇavasaṃyuktāṃ trir ayaṃ prāṇasaṃyamaḥ saṃyuktām→pratipraṇavasaṃyuktāṃ +trir · agnikāryaṃ tataḥ kuryāt saṃdhyayor ubhayor api kāryam→agnikāryaṃ +tataḥ · hitaṃ tasyācaren nityaṃ manovākkāyakarmabhiḥ hitaṃ+tasya
m d → ṃ d	anusvāra / nasal	113	2.28	hṛtkaṇṭhatālugābhis tu yathāsaṃkhyaṃ dvijātayaḥ yathāsaṃkhyaṃ+dvijātayaḥ · prativedaṃ brahmacaryaṃ dvādaśābdāni pañca vā brahmacaryaṃ+dvādaśa · gurave tu varaṃ dattvā snāyād vā tadanujñayā varaṃ+dattvā · anākhyāya dadad doṣaṃ daṇḍya uttamasāhasam doṣaṃ+daṇḍya
a ā → ā	vowel coalescence	110	2.22	varṇāśrametarāṇāṃ no brūhi dharmān aśeṣataḥ varṇa+āśrama→varṇāśrametarāṇāṃ · yamāpastambasaṃvartāḥ kātyāyanabṛhaspatī yama+āpastamba→yamāpastambasaṃvartāḥ · ayaṃ tu paramo dharmo yad yogenātmadarśanam yogena+ātma→yogenātmadarśanam · niṣekādyāḥ śmaśānāntās teṣāṃ vai mantrataḥ kriyāḥ niṣeka+ādyāḥ→niṣekādyāḥ
ā a → ā	vowel coalescence	109	2.2	mithilāsthaḥ sa yogīndraḥ kṣaṇaṃ dhyātvābravīn munīn dhyātvā+abravīt→dhyātvābravīn · sā brūte yaṃ sa dharmaḥ syād eko vādhyātmavittamaḥ vā+adhyātma→vādhyātmavittamaḥ · garbhāṣṭame 'ṣṭame vābde brāhmaṇasyopanāyanam vā+abde→vābde · itihāsāṃs tathā vidyāḥ śaktyādhīte hi yo 'nvaham śaktyā+adhīte→śaktyādhīte
a e → ai	vowel coalescence	106	2.14	guruṃ caivāpy upāsīta svādhyāyārthaṃ samāhitaḥ ca+eva→caivāpy · daṇḍājinopavītāni mekhalāṃ caiva dhārayet ca+eva→caiva · brahmacarye sthito naikam annam adyād anāpadi na+ekam→naikam · grahaṇāntikam ity eke keśāntaś caiva ṣoḍaśe ca+eva→caiva
m k → ṃ k	anusvāra / nasal	103	2.08	gandhalepakṣayakaraṃ śaucaṃ kuryād atandritaḥ śaucaṃ+kuryād · kaniṣṭhādeśinyaṅguṣṭhamūlāny agraṃ karasya ca agraṃ+karasya · brahmakṣatraviśāṃ kālaupanāyanikaḥ paraḥ viśām→brahmakṣatraviśāṃ +kāla · sāmāni tṛptiṃ kuryāc ca pitṝṇāṃ madhusarpiṣā tṛptiṃ+kuryāc
