name	devanagari_span	letters_only	it_marker	length
aK	अइउण्ऋऌक्	अइउऋऌ	क्	7
aC	अइउण्ऋऌक्एओङ्ऐऔच्	अइउऋऌएओऐऔ	च्	13
aTh	अइउण्ऋऌक्एओङ्ऐऔच्हयवरट्	अइउऋऌएओऐऔहयवर	ट्	18
aN1	अइउ	अइउ		3
aN2	अइउण्ऋऌक्एओङ्ऐऔच्हयवरट्लण्	अइउऋऌएओऐऔहयवरल	ण्	20
aM	अइउण्ऋऌक्एओङ्ऐऔच्हयवरट्लण्ञमङणनम्	अइउऋऌएओऐऔहयवरलञमङणन	म्	26
aL	अइउण्ऋऌक्एओङ्ऐऔच्हयवरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्शषसर्हल्	अइउऋऌएओऐऔहयवरलञमङणनझभघढधजबगडदखफछठथचटतकपशषसह	ल्	57
aS	अइउण्ऋऌक्एओङ्ऐऔच्हयवरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्	अइउऋऌएओऐऔहयवरलञमङणनझभघढधजबगडद	श्	39
iK	इउण्ऋऌक्	इउऋऌ	क्	6
iC	इउण्ऋऌक्एओङ्ऐऔच्	इउऋऌएओऐऔ	च्	12
iN2	इउण्ऋऌक्एओङ्ऐऔच्हयवरट्लण्	इउऋऌएओऐऔहयवरल	ण्	19
uK	उण्ऋऌक्	उऋऌ	क्	5
eG	एओङ्	एओ	ङ्	3
eC	एओङ्ऐऔच्	एओऐऔ	च्	6
aiC	ऐऔच्	ऐऔ	च्	3
khaY	खफछठथचटतव्कपय्	खफछठथचटतकप	य्	12
khaR	खफछठथचटतव्कपय्शषसर्	खफछठथचटतकपशषस	र्	16
naM	णनम्	णन	म्	3
caR	चटतव्कपय्शषसर्	चटतकपशषस	र्	11
chaV	छठथचटतव्	छठथचटत	व्	7
jaS	जबगडदश्	जबगडद	श्	6
jhaY	झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्	झभघढधजबगडदखफछठथचटतकप	य्	25
jhaR	झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्शषसर्	झभघढधजबगडदखफछठथचटतकपशषस	र्	29
jhaL	झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्शषसर्हल्	झभघढधजबगडदखफछठथचटतकपशषसह	ल्	31
jhaS	झभञ्घढधष्जबगडदश्	झभघढधजबगडद	श्	13
jhaSh	झभञ्घढधष्	झभघढध	ष्	7
baS	बगडदश्	बगडद	श्	5
bhaSh	भञ्घढधष्	भघढध	ष्	6
maY	मङणनम्झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्	मङणनझभघढधजबगडदखफछठथचटतकप	य्	30
yaNh	यवरट्लण्ञमङणनम्झभञ्	यवरलञमङणनझभ	ञ्	15
yaN	यवरट्लण्	यवरल	ण्	6
yaM	यवरट्लण्ञमङणनम्	यवरलञमङणन	म्	12
yaY	यवरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्	यवरलञमङणनझभघढधजबगडदखफछठथचटतकप	य्	37
yaR	यवरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्शषसर्	यवरलञमङणनझभघढधजबगडदखफछठथचटतकपशषस	र्	41
raNh	रट्लण्	रल	ण्	4
raL	रट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्शषसर्हल्	रलञमङणनझभघढधजबगडदखफछठथचटतकपशषसह	ल्	41
vaL	वरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्शषसर्हल्	वरलञमङणनझभघढधजबगडदखफछठथचटतकपशषसह	ल्	42
vaS	वरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्	वरलञमङणनझभघढधजबगडद	श्	24
shaR	शषसर्	शषस	र्	4
shaL	शषसर्हल्	शषसह	ल्	6
haL	हयवरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्खफछठथचटतव्कपय्शषसर्हल्	हयवरलञमङणनझभघढधजबगडदखफछठथचटतकपशषसह	ल्	44
haS	हयवरट्लण्ञमङणनम्झभञ्घढधष्जबगडदश्	हयवरलञमङणनझभघढधजबगडद	श्	26
