num	saying_id	difficulty	vocab	fusion	n_chunks	n_tokens	n_unanalyzable	pct_w1b	syllables	metre	metre_method	iast_head
1	Saying 1	0.5082	0.8654	0.1	9	10	5	0.25	32	anuṣṭubh	syllable-heuristic	aṃśo 'pi duṣṭadiṣṭānāṃ pareṣāṃ syādvināśakṛt
2	Saying 2	0.5628	0.7637	0.3333	16	24	5	0.579	48		unresolved	akaṇṭhasya kaṇṭhe kathaṃ puṣpamālā vinā nāsikāyāḥ kathaṃ dhū
3	Saying 3	0.4875	0.914	0.0	9	9	3	0.286	48	drutavilambita	vidyut-chandas	akaruṇatvamakāraṇavigrahaḥ paradhane parayoṣiti ca spṛhā
4	Saying 4	0.5182	0.7657	0.2353	13	17	2	0.375	32	anuṣṭubh	syllable-heuristic	akarmaṇāṃ vai bhūtānāṃ vṛttiḥ syānnahi kā ca na
5	Saying 5	0.5059	0.8691	0.0909	10	11	5	0.375	44		unresolved	akarmaśīlaṃ ca mahāśanaṃ ca lokadviṣṭaṃ bahumāyaṃ nṛśaṃsam
6	Saying 6	0.6063	0.7722	0.4167	7	12	2	0.625	32	anuṣṭubh	syllable-heuristic	akasmātprakriyā nṝṇāmakasmāccāpakarṣaṇam
7	Saying 7	0.5912	0.8023	0.35	13	20	3	0.5	32	anuṣṭubh	syllable-heuristic	akasmādiha yaḥ kaścidarthaṃ prāpnoti pūruṣaḥ
8	Saying 8	0.5467	0.8063	0.25	6	8	2	0.5	32	anuṣṭubh	syllable-heuristic	akasmādeva kupyanti prasīdantyanimittataḥ
9	Saying 9	0.5804	0.819	0.3077	9	13	4	0.4	32	anuṣṭubh	syllable-heuristic	akasmādeva tanvaṅgī jahāsa yadiyaṃ punaḥ
10	Saying 10	0.5183	0.6801	0.3333	8	12	2	0.625	32	upagīti	vidyut-chandas	akasmādeva yaḥ kopādabhīkṣṇaṃ bahu bhāṣate
11	Saying 11	0.5032	0.7247	0.25	9	12	2	0.75	32	anuṣṭubh	syllable-heuristic	akasmāddveṣṭi yo bhaktamājanmaparisevitam
12	Saying 12	0.6461	0.7253	0.5556	8	18	2	0.667	32	upagīti	vidyut-chandas	akāṇḍakopino bharturanyāsakteśca yoṣitaḥ
13	Saying 13	0.6436	0.915	0.3333	4	6	2	0.25	32	anuṣṭubh	syllable-heuristic	akāṇḍapātajātānāmārdrāṇāṃ marmabhedinām
14	Saying 14	0.5253	0.7157	0.3077	9	13	3	0.625	32	anuṣṭubh	syllable-heuristic	akāmasya kriyā kāciddṛśyate neha karhicit
15	Saying 15	0.6069	0.7004	0.5	7	14	2	0.545	32	anuṣṭubh	syllable-heuristic	akāmāṃ kāmayānasya śarīramupatapyate
16	Saying 16	0.5651	0.7679	0.3333	8	12	3	0.6	32	anuṣṭubh	syllable-heuristic	akāmānkāmayati yaḥ kāmayānānparityajet
17	Saying 17	0.5895	0.697	0.4667	8	15	1	0.6	31		unresolved	akāryakaraṇādbhītaḥ kāryāṇāṃ vivarjanāt
18	Saying 18	0.5385	0.7997	0.24	19	25	9	0.389	68	śikhariṇī	vidyut-chandas	akāryaṃ tathyaṃ vā bhavati vitathaṃ vā kimaparaṃ pratīte lok
