in_form	prefix_guess	dhatu	palsule_no	prefix	dhatu_check
abhigā	prati	gā	731	abhi	gā
abhīṣ	praty	bhīṣ	2152	a	bhīṣ
abhivṛ	abhi	vṛ	2927	abhi	vṛ
abhyas	abhy	as	97	abhy	as
adhigā	parā	gā	731	adhi	gā
āgā	pari	gā	731	ā	gā
ākṛ	pary	kṛ	471	ā	kṛ
anugā	adhi	gā	731	anu	gā
anukṛ	adhy	kṛ	471	anu	kṛ
anuvid	sam	vid	2885	anu	vid
apaci	saṃ	ci	958	apa	ci
apākṛ	upa	kṛ	471	apā	kṛ
as	api	as	97		as
aś	apy	aç	93		aç
āvṛ	apa	vṛ	2927	ā	vṛ
bhuj	apā	bhuj	2155		bhuj
ci	ava	ci	958		ci
dā	ati	dā	1470		dā
dhā	aty	dhā	1578		dhā
dhāv	anu	dhāv	1580		dhāv
gā	anv	gā	731		gā
gṛ	nis	gṛ	796		gṛ
iṣ	niḥ	iṣ	145		iṣ
kṛ	pra	kṛ	471		kṛ
kṣi	prā	kṣi	582		kṣi
naś	dus	naç	1682		naç
nī	duḥ	nī	1708		nī
nivas	dur	vas	2843	ni	vas
pā	vi	pā	1797		pā
parākṛ	vy	kṛ	471	parā	kṛ
paribhuj	ud	bhuj	2155	pari	bhuj
parici	ni	ci	958	pari	ci
parigā	ny	gā	731	pari	gā
parikṛ	su	kṛ	471	pari	kṛ
paripā	an	pā	1797	pari	pā
parivid	sa	vid	2885	pari	vid
parivṛ	a	vṛ	2927	pari	vṛ
pṛ	ā	pṛ	1905		pṛ
prabhuj		bhuj	2155	pra	bhuj
pragā		gā	731	pra	gā
pratikṛ		kṛ	471	prati	kṛ
pravas		vas	2843	pra	vas
pravṛ		vṛ	2927	pra	vṛ
prāvṛ		vṛ	2927	prā	vṛ
samanugā		gā	731	samanu	gā
samas		as	97	sam	as
samaś		aç	93	sam	aç
saṃgā		gā	731	saṃ	gā
saṃgṛ		gṛ	796	saṃ	gṛ
saṃhā		hā	3593	saṃ	hā
saṃkṛ		kṛ	471	saṃ	kṛ
samuddhṛ		dhṛ	1604	samud	dhṛ
samupāś		upāś		sam	upāś
saṃvid		vid	2885	saṃ	vid
saṃvṛ		vṛ	2927	saṃ	vṛ
śī		çī	3094		çī
sidh		sidh	3336		sidh
śikṣay		śikṣay			śikṣay
uddhṛ		dhṛ	1604	ud	dhṛ
udgā		gā	731	ud	gā
ūh		ūh	216		ūh
upagā		gā	731	upa	gā
upakṛ		kṛ	471	upa	kṛ
upās		upās			upās
upās		upās			upās
upāś		upāś			upāś
upasidh		sidh	3336	upa	sidh
vas		vas	2843		vas
vici		ci	958	vi	ci
vid		vid	2885		vid
vidhāv		dhāv	1580	vi	dhāv
vikṛ		kṛ	471	vi	kṛ
vinikṛ		kṛ	471	vini	kṛ
viprakṛ		kṛ	471	vipra	kṛ
vivas		vas	2843	vi	vas
vṛ		vṛ	2927		vṛ
abhigā		gā	731	abhi	gā
abhīṣ		bhīṣ	2152	a	bhīṣ
abhivṛ		vṛ	2927	abhi	vṛ
abhyas		as	97	abhy	as
adhigā		gā	731	adhi	gā
āgā		gā	731	ā	gā
ākṛ		kṛ	471	ā	kṛ
anugā		gā	731	anu	gā
anukṛ		kṛ	471	anu	kṛ
anuvid		vid	2885	anu	vid
apaci		ci	958	apa	ci
apākṛ		kṛ	471	apā	kṛ
as		as	97		as
aś		aç	93		aç
āvṛ		vṛ	2927	ā	vṛ
bhuj		bhuj	2155		bhuj
ci		ci	958		ci
dā		dā	1470		dā
dhā		dhā	1578		dhā
dhāv		dhāv	1580		dhāv
gā		gā	731		gā
gṛ		gṛ	796		gṛ
iṣ		iṣ	145		iṣ
kṛ		kṛ	471		kṛ
kṣi		kṣi	582		kṣi
naś		naç	1682		naç
nī		nī	1708		nī
nivas		vas	2843	ni	vas
pā		pā	1797		pā
parākṛ		kṛ	471	parā	kṛ
paribhuj		bhuj	2155	pari	bhuj
parici		ci	958	pari	ci
parigā		gā	731	pari	gā
parikṛ		kṛ	471	pari	kṛ
paripā		pā	1797	pari	pā
parivid		vid	2885	pari	vid
parivṛ		vṛ	2927	pari	vṛ
pṛ		pṛ	1905		pṛ
prabhuj		bhuj	2155	pra	bhuj
pragā		gā	731	pra	gā
pratikṛ		kṛ	471	prati	kṛ
pravas		vas	2843	pra	vas
pravṛ		vṛ	2927	pra	vṛ
prāvṛ		vṛ	2927	prā	vṛ
samanugā		gā	731	samanu	gā
samas		as	97	sam	as
samaś		aç	93	sam	aç
saṃgā		gā	731	saṃ	gā
saṃgṛ		gṛ	796	saṃ	gṛ
saṃhā		hā	3593	saṃ	hā
saṃkṛ		kṛ	471	saṃ	kṛ
samuddhṛ		dhṛ	1604	samud	dhṛ
samupāś		upāś		sam	upāś
