dcs_id	dcs_lemma_iast	slp1	normkey	in_cdsl	token_count	grammar
37875	tad	tad	tad	1	197078	pron
157144	ca	ca	ca	1	174392	ind
63331	iti	iti	iti	1	78497	ind
39754	eva	eva	eva	1	65406	ind
43432	na	na	na	1	63712	ind
37879	mad	mad	mad	1	62747	pron
37877	yad	yad	yad	1	62086	pron
37876	idam	idam	idam	1	52518	pron
37880	tvad	tvad	tvad	1	51156	pron
163744	etad	etad	etad	1	41418	pron
156168	kṛ	kf	kf	1	40555	2. Ā.
157250	bhū	BU	BU	1	40393	1. Ā.
21365	api	api	api	1	37468	ind
104444	sarva	sarva	sarva	1	37138	pron
82701	tu	tu	tu	1	37061	ind
156122	as	as	as	1	35467	2. P.
157264	vac	vac	vac	1	33948	2. P.
37544	mahat	mahat	mahat	1	26986	adj
75765	vā	vA	vA	1	25185	ind
95987	tathā	taTA	taTA	1	24786	ind
95922	tatas	tatas	tatas	1	24196	ind
109879	hi	hi	hi	1	23677	ind
118154	vai	vE	vE	1	23298	ind
86559	deva	deva	deva	1	22996	m
7467	atha	aTa	aTa	1	22983	ind
63807	iva	iva	iva	1	20318	ind
70467	rājan	rAjan	rAjan	1	19360	m
5705	agni	agni	agni	1	19309	m
156214	gam	gam	gam	1	18341	6. Ā.
39758	evam	evam	evam	1	16913	ind
213048	a	a	a	1	15354	ind
95978	tatra	tatra	tatra	1	15174	ind
57973	ādi	Adi	Adi	1	15011	m
157766	dṛś	dfS	dfS	1	14866	4. Ā.
202954	sa	sa	sa	1	14866	ind
37878	ka	ka	ka	1	14115	pron
73250	yathā	yaTA	yaTA	1	13910	ind
53136	artha	arTa	arTa	1	13703	mn
66869	loka	loka	loka	1	13498	m
39102	eka	eka	eka	1	13481	pron
57749	ātman	Atman	Atman	1	13409	m
204329	su	su	su	1	13180	ind
143659	punar	punar	punar	1	12502	ind
91970	dharma	Darma	Darma	1	12450	mn
63463	indra	indra	indra	1	12172	m
157372	dā	dA	dA	1	11970	1. Ā.
144475	putra	putra	putra	1	11750	m
164189	anya	anya	anya	1	11278	pron
163754	tva	tva	tva	1	10850	n
157409	śru	Sru	Sru	1	10505	4. P.
69571	rasa	rasa	rasa	1	10073	mn
12243	karman	karman	karman	1	9938	n
157262	brū	brU	brU	1	9781	6. P.
114356	sva	sva	sva	1	9459	adj
156124	ah	ah	ah	1	9447	1. P.
158058	vid	vid	vid	1	9391	1. Ā.
163234	para	para	para	1	9370	pron
166282	tri	tri	tri	1	9312	nr
157340	sthā	sTA	sTA	1	9268	1. Ā.
156584	jan	jan	jan	1	9247	4. P.
73227	yat	yat	yat	1	9083	ind
71929	rūpa	rUpa	rUpa	1	8869	n
157282	han	han	han	1	8744	8. P.
166401	enad	enad	enad	1	8521	pron
169970	ha	ha	ha	1	8223	ind
72936	yajña	yajYa	yajYa	1	8205	m
94899	pitṛ	pitf	pitf	1	8158	m
22761	kāla	kAla	kAla	1	8154	m
96104	tadā	tadA	tadA	1	8123	ind
164309	kaścit	kaScit	kaScit	0	7977	pron
154315	bala	bala	bala	1	7854	mn
7442	atra	atra	atra	1	7482	ind
36096	manas	manas	manas	1	7226	n
203521	tasmāt	tasmAt	tasmAt	1	7212	ind
66339	ratha	raTa	raTa	1	7091	m
13752	kāma	kAma	kAma	1	7075	m
156232	grah	grah	grah	1	7073	4. P.
105774	saha	saha	saha	1	6964	ind
63959	iha	iha	iha	1	6847	ind
157422	yaj	yaj	yaj	1	6755	2. P.
144647	puruṣa	puruza	puruza	1	6563	m
73699	yadi	yadi	yadi	1	6499	ind
157629	hu	hu	hu	1	6418	3. Ā.
154076	phala	Pala	Pala	1	6387	n
149177	brahman	brahman	brahman	1	6240	m
145625	pūrva	pUrva	pUrva	1	6148	pron
124503	guṇa	guRa	guRa	1	6053	mn
116433	śata	Sata	Sata	1	6046	mn
163158	prāp	prAp	prAp	1	6022	1.P.,5.Ā.,4.P.,5.P.
163742	adas	adas	adas	1	5996	pron
149743	brāhmaṇa	brAhmaRa	brAhmaRa	1	5958	m
157298	yuj	yuj	yuj	1	5933	1. P.
203679	tā	tA	tA	1	5919	f
166386	go	go	go	1	5821	mf
166107	sama	sama	sama	1	5763	pron
213041	ā	A	A	1	5743	ind
156090	prāṇa	prARa	prARa	1	5692	m
157263	yā	yA	yA	1	5649	2. Ā.
100106	soma	soma	soma	1	5626	m
167009	ap	ap	ap	1	5533	m
76023	vāc	vAc	vAc	1	5501	f
166283	dvi	dvi	dvi	1	5480	nr
154412	bahu	bahu	bahu	1	5432	adj
39042	ṛṣi	fzi	fzi	1	5352	m
92688	paśu	paSu	paSu	1	5296	m
111378	sahasra	sahasra	sahasra	1	5224	mn
48483	bhagavant	Bagavant	Bagavat	1	5188	m
213150	u	u	u	1	5143	ind
136827	mukha	muKa	muKa	1	5102	n
44242	nara	nara	nara	1	5101	m
11658	anta	anta	anta	1	5079	m
33528	nāma	nAma	nAma	1	5067	ind
44133	namas	namas	namas	1	5063	n
157151	jñā	jYA	jYA	1	5041	4. Ā.
96401	tapas	tapas	tapas	1	4968	n
55629	uttama	uttama	uttama	1	4922	adj
165692	pañcan	paYcan	paYcan	1	4859	adj
73233	yatra	yatra	yatra	1	4833	ind
65008	yoga	yoga	yoga	1	4779	m
156131	iṣ	iz	iz	1	4754	1. P.
157390	paś	paS	paS	1	4732	4. Ā.
90071	doṣa	doza	doza	1	4705	mn
157294	man	man	man	1	4697	1. Ā.
163231	catur	catur	catur	1	4670	nr
25207	bhūta	BUta	BUta	1	4653	mn
159723	āgam	Agam	Agam	1	4640	6.P.,1.P.,1.Ā.
20377	anna	anna	anna	1	4639	n
157327	dhā	DA	DA	1	4571	1. P.
137432	muni	muni	muni	1	4550	m
16405	parama	parama	parama	1	4512	adj
163749	pati	pati	pati	1	4489	m
153185	priya	priya	priya	1	4451	adj
40462	śrī	SrI	SrI	1	4422	f
150748	prajā	prajA	prajA	1	4379	f
139262	viśva	viSva	viSva	1	4365	pron
102548	strī	strI	strI	1	4304	f
83387	tejas	tejas	tejas	1	4294	n
170120	mā	mA	mA	1	4260	ind
149176	brahman	brahman	brahman	1	4235	n
116797	śara	Sara	Sara	1	4188	m
158167	smṛ	smf	smf	1	4142	1. Ā.
167498	vat	vat	vat	1	4125	ind
52879	ja	ja	ja	1	4118	adj
87452	jana	jana	jana	1	4096	m
166083	saptan	saptan	saptan	1	4083	adj
156588	ji	ji	ji	1	4082	9. P.
168377	div	div	div	1	4067	m
157391	pā	pA	pA	1	4063	1. Ā.
166143	vīra	vIra	vIra	1	4057	m
6823	atas	atas	atas	1	4039	ind
75767	vāta	vAta	vAta	1	4037	m
68470	vana	vana	vana	1	4029	n
150027	pṛthivī	pfTivI	pfTivI	1	4028	f
156249	car	car	car	1	4027	1. Ā.
167215	ati	ati	ati	1	4025	ind
1340	katham	kaTam	kaTam	1	3999	ind
121803	svāhā	svAhA	svAhA	1	3989	ind
55672	uttara	uttara	uttara	1	3969	adj
87156	devī	devI	devI	1	3940	f
157266	vad	vad	vad	1	3914	1. Ā.
35810	madhya	maDya	maDya	1	3880	n
142144	vīrya	vIrya	vIrya	1	3872	n
157281	muc	muc	muc	1	3850	6. Ā.
84570	diś	diS	diS	1	3832	f
213304	an	an	an	1	3823	ind
168349	ahar	ahar	ahar	1	3788	n
147116	divya	divya	divya	1	3781	adj
139532	viṣṇu	vizRu	vizRu	1	3776	m
70783	rāma	rAma	rAma	1	3747	m
93551	pāda	pAda	pAda	1	3747	m
7682	adya	adya	adya	1	3719	ind
156127	i	i	i	1	3673	9. P.
93423	pāṇḍava	pARqava	pARqava	1	3671	m
125251	gṛha	gfha	gfha	1	3650	mn
74430	varṇa	varRa	varRa	1	3633	mn
146511	daśan	daSan	daSan	1	3607	adj
60200	aśva	aSva	aSva	1	3593	m
106624	suta	suta	suta	1	3586	m
124569	guru	guru	guru	1	3582	m
99310	sūrya	sUrya	sUrya	1	3572	m
15753	pada	pada	pada	1	3564	mn
28931	nṛpa	nfpa	nfpa	1	3548	m
49231	bhavat	Bavat	Bavat	1	3518	adj
137542	mūla	mUla	mUla	1	3508	mn
156154	kathay	kaTay	kaTay	1	3474	10. Ā.
87093	devatā	devatA	devatA	1	3468	f
36369	mantra	mantra	mantra	1	3462	mn
6145	aṅga	aNga	aNga	1	3428	n
24793	kula	kula	kula	1	3394	n
116251	vrata	vrata	vrata	1	3393	n
76933	vāyu	vAyu	vAyu	1	3392	m
49485	bhāga	BAga	BAga	1	3389	m
116648	śabda	Sabda	Sabda	1	3389	m
33597	nāman	nAman	nAman	1	3386	n
148859	bāhu	bAhu	bAhu	1	3355	mf
131805	śiras	Siras	Siras	1	3351	n
158020	labh	laB	laB	1	3345	1. P.
71571	rudra	rudra	rudra	1	3336	m
5937	agra	agra	agra	1	3324	n
63664	indriya	indriya	indriya	1	3315	n
129336	gaṇa	gaRa	gaRa	1	3309	m
89644	jñāna	jYAna	jYAna	1	3290	n
69149	vara	vara	vara	1	3288	adj
48482	bhagavat	Bagavat	Bagavat	1	3272	adj
48908	bhaya	Baya	Baya	1	3270	n
74765	varṣa	varza	varza	1	3269	mn
163009	pravac	pravac	pravac	1	3242	3.Ā.,2.P.,3.P.
2744	karṇa	karRa	karRa	1	3228	m
37867	mahātman	mahAtman	mahAtman	1	3226	adj
109021	maya	maya	maya	1	3214	adj
102830	stha	sTa	sTa	1	3192	adj
166894	vipra	vipra	vipra	1	3191	m
85108	duḥkha	duHKa	duHKa	1	3185	n
159774	ādā	AdA	AdA	1	3158	3.Ā.,1.P.,3.P.,4.Ā.
157261	pat	pat	pat	1	3123	1. Ā.
113917	sma	sma	sma	1	3119	ind
17190	sadā	sadA	sadA	1	3100	ind
88026	jala	jala	jala	1	3097	n
95032	pitta	pitta	pitta	1	3097	n
67855	vacana	vacana	vacana	1	3089	n
161166	ghṛta	Gfta	Gfta	1	3085	n
158765	pūjay	pUjay	pUjay	0	3083	10. Ā.
78551	mātṛ	mAtf	mAtf	1	3078	f
100605	dakṣiṇa	dakziRa	dakziRa	1	3054	adj
122846	vidhi	viDi	viDi	1	3037	m
70209	rāja	rAja	rAja	1	3033	m
78185	mātra	mAtra	mAtra	1	3029	n
116860	śarīra	SarIra	SarIra	1	3025	n
166280	apara	apara	apara	1	3013	pron
151290	prajāpati	prajApati	prajApati	1	3007	m
148382	buddhi	budDi	budDi	1	3003	f
16581	sattva	sattva	sattva	1	2999	n
76075	vākya	vAkya	vAkya	1	2995	n
25418	bhūmi	BUmi	BUmi	1	2986	f
49850	bhāva	BAva	BAva	1	2986	m
87204	deśa	deSa	deSa	1	2984	m
16633	satya	satya	satya	1	2979	n
142998	veda	veda	veda	1	2954	m
40948	śreṣṭha	SrezWa	SrezWa	1	2952	adj
58039	āditya	Aditya	Aditya	1	2948	m
91276	dvija	dvija	dvija	1	2938	m
64536	yāvat	yAvat	yAvat	1	2921	ind
166517	hasta	hasta	hasta	1	2916	mn
67908	vajra	vajra	vajra	1	2898	mn
14320	kārya	kArya	kArya	1	2880	n
73645	yadā	yadA	yadA	1	2874	ind
106817	sukha	suKa	suKa	1	2869	n
126382	śubha	SuBa	SuBa	1	2859	adj
157397	pracch	pracC	pracC	0	2851	1. P.
163055	praviś	praviS	praviS	1	2848	4.P.,6.Ā.,6.P.
119534	svayam	svayam	svayam	1	2837	ind
166332	bhū	BU	BU	1	2826	f
4073	kṛṣṇa	kfzRa	kfzRa	1	2808	m
41703	ṣaṣ	zaz	zaz	1	2795	adj
157558	hṛ	hf	hf	1	2783	2. P.
59234	āyus	Ayus	Ayus	1	2770	n
202758	nityam	nityam	nityam	1	2758	ind
130008	gandha	ganDa	ganDa	1	2752	mn
157522	sṛj	sfj	sfj	1	2749	2. P.
129602	garbha	garBa	garBa	1	2744	m
163351	vidhā	viDA	viDA	1	2738	3.Ā.,3.P.
64795	yuddha	yudDa	yudDa	1	2727	n
143826	purā	purA	purA	1	2725	ind
140448	prathama	praTama	praTama	1	2716	adj
35443	madhu	maDu	maDu	1	2712	n
64099	īśvara	ISvara	ISvara	1	2706	m
157412	hā	hA	hA	1	2697	1. P.
64859	yudhiṣṭhira	yuDizWira	yuDizWira	1	2696	m
139407	viṣa	viza	viza	1	2694	n
61054	asura	asura	asura	1	2688	m
80283	lakṣaṇa	lakzaRa	lakzaRa	1	2688	n
108715	hari	hari	hari	1	2679	m
93767	pāpa	pApa	pApa	1	2677	n
157293	bhuj	Buj	Buj	1	2676	6. P.
121714	svarga	svarga	svarga	1	2663	m
157929	bandh	banD	banD	1	2654	4. P.
89764	deha	deha	deha	1	2630	mn
110756	hetu	hetu	hetu	1	2628	m
66051	raṇa	raRa	raRa	1	2620	m
130098	gati	gati	gati	1	2607	f
157973	mṛ	mf	mf	1	2601	4. Ā.
146419	darśana	darSana	darSana	1	2600	n
133175	māsa	mAsa	mAsa	1	2583	mn
14116	kāraṇa	kAraRa	kAraRa	1	2569	n
144438	puṇya	puRya	puRya	1	2564	adj
151755	prati	prati	prati	1	2559	ind
82616	tīrtha	tIrTa	tIrTa	1	2552	mn
116305	śakti	Sakti	Sakti	1	2551	f
39019	ṛṣabha	fzaBa	fzaBa	1	2550	m
1984	kapha	kaPa	kaPa	1	2534	m
91589	dhana	Dana	Dana	1	2524	n
60435	aṣṭan	azwan	azwan	1	2521	adj
102857	sthāna	sTAna	sTAna	1	2504	n
