lemma_slp1	varga	eid	mw_sense_units	pwg_sense_units
svar	AK-1.1	1	8	3
svarga	AK-1.1	1	6	1
nAka	AK-1.1	1	6	2
tridiva	AK-1.1	1	1	1
tridaSAlaya	AK-1.1	1	3	2
suraloka	AK-1.1	1	1	1
dyo	AK-1.1	1	2	1
div	AK-1.1	1	10	8
trivizwapa	AK-1.1	1	3	2
amara	AK-1.1	2	11	2
nirjaras	AK-1.1	2	0	1
deva	AK-1.1	2	23	3
tridaSa	AK-1.1	2	5	1
vibuDa	AK-1.1	2	8	2
sura	AK-1.1	2	8	1
suparvan	AK-1.1	2	14	1
sumanas	AK-1.1	2	17	1
tridiveSa	AK-1.1	2	1	1
divOkas	AK-1.1	2	6	1
Aditeya	AK-1.1	2	2	1
divizad	AK-1.1	2	2	2
leKa	AK-1.1	2	8	1
aditinandana	AK-1.1	2	1	1
Aditya	AK-1.1	2	11	3
fBava	AK-1.1	2	0	0
asvapna	AK-1.1	2	4	2
amartya	AK-1.1	2	3	1
amftAnDas	AK-1.1	2	1	1
barhirmuKa	AK-1.1	2	1	1
kratuBuj	AK-1.1	2	1	2
gIrvARa	AK-1.1	2	1	2
dAnavAri	AK-1.1	2	3	1
vfndAraka	AK-1.1	2	4	1
dEvata	AK-1.1	2	5	1
devatA	AK-1.1	2	5	3
Aditya	AK-1.1	3	11	3
viSva	AK-1.1	4	14	1
vasu	AK-1.1	5	36	2
tuzita	AK-1.1	6	2	2
ABAsvara	AK-1.1	7	3	1
anila	AK-1.1	8	10	1
mahArAjika	AK-1.1	9	1	1
sADya	AK-1.1	10	23	2
rudra	AK-1.1	11	15	1
gaRadevatA	AK-1.1	12	1	1
vidyADara	AK-1.1	13	6	1
apsaras	AK-1.1	14	2	4
yakza	AK-1.1	15	8	2
rakza	AK-1.1	16	3	1
ganDarva	AK-1.1	17	15	2
kinnara	AK-1.1	18	0	0
piSAca	AK-1.1	19	3	1
guhyaka	AK-1.1	20	4	3
sidDa	AK-1.1	21	39	1
BUta	AK-1.1	22	21	3
devayoni	AK-1.1	23	4	2
asura	AK-1.1	24	12	4
dEtya	AK-1.1	24	2	2
dEteya	AK-1.1	24	3	3
danuja	AK-1.1	24	1	1
indrAri	AK-1.1	24	1	1
dAnava	AK-1.1	24	2	3
SukraSizya	AK-1.1	24	1	1
ditisuta	AK-1.1	24	1	1
pUrvadeva	AK-1.1	24	2	1
suradviz	AK-1.1	24	2	1
sarvajYa	AK-1.1	25	5	1
sugata	AK-1.1	25	5	1
budDa	AK-1.1	25	8	2
DarmarAja	AK-1.1	25	7	2
taTAgata	AK-1.1	25	3	2
samantaBadra	AK-1.1	25	5	1
Bagavat	AK-1.1	25	9	0
mArajit	AK-1.1	25	1	1
lokajit	AK-1.1	25	5	1
jina	AK-1.1	25	10	3
zaqaBijYa	AK-1.1	25	2	1
daSabala	AK-1.1	25	1	1
advayavAdin	AK-1.1	25	1	2
vinAyaka	AK-1.1	25	12	1
munIndra	AK-1.1	25	6	1
SrIGana	AK-1.1	25	2	1
